Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.89,0.85,NO,N/A,61.56%,79.55%,118.6%,64.99%,86.93,0.4898,0.9967,0.229,0.491,0.75,0.464
3,0.58,0.24,NO,N/A,54.16%,63.82%,118.24%,51.91%,97.08,0.4296,1.0908,0.173,0.597,0.811,0.341
4,0.84,0.53,NO,N/A,38.7%,48.58%,103.38%,38.73%,80.03,0.3322,2.4757,0.096,0.362,0.895,0.627
5,0.99,0.97,NO,N/A,22.35%,32.54%,83.3%,19.37%,72.29,0.1888,0.555,0.043,0.309,0.952,0.655
6*,1.0,0.99,YES,Most Stab Sigs,13.7%,26.4%,59.87%,15.64%,47.42,0.1344,0.4027,0.017,0.099,0.982,0.89
7,0.84,-0.08,NO,N/A,11.97%,25.03%,60.04%,13.83%,47.44,0.1295,0.4107,0.013,0.104,0.986,0.884
8,0.68,-0.74,NO,N/A,11.02%,23.33%,61.26%,12.62%,45.7,0.1288,0.4285,0.012,0.106,0.987,0.881
9,0.59,-0.35,NO,N/A,12.63%,22.86%,56.68%,12.37%,42.9,0.1305,0.4124,0.011,0.09,0.988,0.899
10,0.57,-0.47,NO,N/A,8.82%,20.05%,56.69%,10.76%,39.16,0.1196,0.3923,0.009,0.078,0.991,0.912
11,0.46,-0.74,NO,N/A,9.62%,20.98%,56.02%,10.63%,42.86,0.1233,0.3927,0.008,0.094,0.991,0.894
12,0.52,-0.58,NO,N/A,8.61%,19.84%,52.63%,10.84%,35.8,0.1114,0.3019,0.007,0.05,0.992,0.949
13,0.46,-0.77,NO,N/A,8.02%,18.76%,55.26%,9.79%,40.6,0.1122,0.3898,0.007,0.086,0.992,0.903
14,0.46,-0.69,NO,N/A,7.37%,17.62%,50.5%,9.24%,33.21,0.1063,0.326,0.006,0.051,0.994,0.943
15,0.41,-0.68,NO,N/A,6.27%,15.98%,34.15%,8.15%,20.76,0.0992,0.2404,0.004,0.021,0.996,0.975
16,0.41,-0.7,NO,N/A,6.28%,15.47%,38.26%,7.72%,21.97,0.1012,0.252,0.004,0.02,0.995,0.978
17,0.37,-0.74,NO,N/A,6.12%,15.41%,39.85%,7.77%,21.94,0.1,0.283,0.004,0.022,0.996,0.976
18,0.37,-0.88,NO,N/A,5.44%,14.37%,29.43%,7.54%,19.28,0.0925,0.2276,0.003,0.017,0.996,0.981
19,0.36,-0.82,NO,N/A,5.33%,13.85%,27.23%,7.09%,20.48,0.0911,0.2122,0.003,0.021,0.997,0.976
20,0.38,-0.79,NO,N/A,5.21%,14.44%,29.54%,6.51%,17.69,0.0919,0.2473,0.003,0.015,0.997,0.983
