NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	207.938	33.042	48.369	22.249	0.17	0.968	50000.0
2	210.327	33.361	48.599	22.387	0.172	0.968	100000.0
3	210.81	33.552	48.956	22.766	0.169	0.968	110000.0
4	210.556	33.379	49.012	22.209	0.17	0.968	20000.0
5	211.882	33.76	49.001	22.498	0.171	0.968	20000.0
6	208.392	33.163	48.332	22.425	0.166	0.968	30000.0
7	210.404	33.437	49.28	22.698	0.172	0.967	60000.0
8	209.827	33.158	48.408	22.044	0.169	0.968	40000.0
9	211.39	33.831	48.559	22.681	0.174	0.966	50000.0
10	209.328	33.369	48.491	22.481	0.172	0.968	70000.0
11	208.984	33.032	48.207	21.916	0.167	0.969	30000.0
12	210.13	33.733	48.516	22.64	0.174	0.966	50000.0
13	208.335	32.94	48.151	21.985	0.168	0.969	70000.0
14	211.051	33.573	48.611	22.611	0.172	0.966	40000.0
15	211.534	33.516	49.095	22.654	0.171	0.967	40000.0
16	212.175	33.769	49.194	22.717	0.173	0.967	30000.0
17	210.649	33.287	48.616	22.259	0.171	0.968	40000.0
18	208.916	33.324	48.479	22.327	0.17	0.967	70000.0
19	211.977	33.679	49.017	22.711	0.171	0.967	40000.0
20	208.671	33.096	48.533	22.279	0.17	0.968	150000.0
21	211.526	33.798	48.71	22.84	0.173	0.966	40000.0
22	211.072	33.716	49.463	23.033	0.17	0.966	20000.0
23	209.833	33.491	48.393	22.46	0.17	0.967	50000.0
24	211.706	33.344	48.998	22.284	0.169	0.968	50000.0
25	208.65	33.151	48.527	22.341	0.169	0.967	20000.0
