MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
5:Ins:R:5	3.88E-05	4.41E-08	2.03E-08	4.42E-05	3.33E-08
2:Del:M:1	2.60E-04	7.00E-05	2.82E-05	4.73E-04	4.88E-08
3:Del:M:1	5.08E-04	6.23E-10	9.07E-05	7.59E-04	3.22E-08
3:Del:M:2	1.73E-04	2.04E-04	3.16E-05	2.49E-04	2.47E-04
4:Del:M:1	2.42E-04	7.11E-07	0.00E+00	3.62E-04	3.66E-04
4:Del:M:2	1.68E-04	1.38E-04	2.52E-05	3.01E-04	1.02E-04
4:Del:M:3	1.34E-04	9.67E-05	2.93E-05	2.55E-04	2.62E-04
5:Del:M:1	1.04E-02	2.34E-04	3.00E-08	2.15E-02	2.13E-03
5:Del:M:2	4.75E-03	1.81E-04	4.89E-04	9.98E-03	6.72E-04
5:Del:M:3	1.51E-03	1.86E-04	1.31E-04	3.20E-03	4.61E-04
5:Del:M:4	4.46E-04	1.37E-05	1.79E-05	1.10E-03	1.84E-04
5:Del:M:5	6.62E-04	1.18E-04	2.52E-04	1.19E-03	2.36E-09
