NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	49.672	17.987	11.784	10.898	0.094	0.992	40000.0
2	54.635	20.073	13.633	12.55	0.099	0.989	70000.0
3	55.097	20.083	12.882	12.112	0.106	0.989	40000.0
4	53.023	19.276	13.01	11.87	0.097	0.991	50000.0
5	49.383	17.281	11.857	10.688	0.094	0.992	50000.0
6	53.452	19.137	12.943	11.684	0.095	0.991	50000.0
7	52.553	19.226	12.816	11.856	0.096	0.99	70000.0
8	52.065	18.527	12.292	10.994	0.099	0.992	50000.0
9	55.379	20.071	13.482	12.448	0.097	0.989	40000.0
10	54.335	19.217	13.197	11.761	0.097	0.99	50000.0
