MutationType	ID83A	ID83B
1:Del:C:0	2.75E-03	1.46E-03
1:Del:C:1	1.25E-03	7.35E-04
1:Del:C:2	7.58E-04	3.96E-04
1:Del:C:3	3.17E-04	1.34E-04
1:Del:C:4	1.24E-04	3.54E-04
1:Del:C:5	2.62E-04	1.07E-03
1:Del:T:0	1.26E-03	8.31E-04
1:Del:T:1	3.52E-04	5.07E-04
1:Del:T:2	1.05E-03	5.33E-04
1:Del:T:3	8.24E-04	4.96E-04
1:Del:T:4	4.40E-04	1.73E-03
1:Del:T:5	7.91E-03	2.69E-02
1:Ins:C:0	3.71E-03	3.12E-03
1:Ins:C:1	7.11E-04	5.43E-04
1:Ins:C:2	2.69E-04	2.00E-04
1:Ins:C:3	7.60E-05	5.43E-05
1:Ins:C:4	4.09E-05	2.74E-05
1:Ins:C:5	2.59E-05	2.67E-05
1:Ins:T:0	2.10E-02	1.73E-02
1:Ins:T:1	9.02E-03	7.63E-03
1:Ins:T:2	2.89E-03	2.29E-03
1:Ins:T:3	1.57E-03	1.35E-03
1:Ins:T:4	9.08E-04	7.38E-04
1:Ins:T:5	1.18E-03	9.78E-04
2:Del:R:0	4.02E-04	2.36E-04
2:Del:R:1	1.99E-04	2.93E-04
2:Del:R:2	7.91E-05	1.14E-04
2:Del:R:3	2.51E-05	1.40E-04
2:Del:R:4	2.10E-05	7.93E-05
2:Del:R:5	9.36E-05	6.56E-05
3:Del:R:0	4.87E-04	2.67E-04
3:Del:R:1	1.39E-04	4.24E-04
3:Del:R:2	8.60E-05	1.10E-04
3:Del:R:3	4.02E-05	4.55E-05
3:Del:R:4	7.95E-05	8.11E-05
3:Del:R:5	6.12E-05	1.57E-04
4:Del:R:0	4.53E-04	2.34E-04
4:Del:R:1	1.32E-04	3.40E-04
4:Del:R:2	5.05E-05	5.75E-05
4:Del:R:3	8.08E-05	5.63E-05
4:Del:R:4	3.64E-05	4.45E-05
4:Del:R:5	2.45E-05	2.88E-05
5:Del:R:0	5.26E-03	3.09E-03
5:Del:R:1	3.84E-04	2.24E-04
5:Del:R:2	3.59E-05	2.65E-05
5:Del:R:3	2.29E-05	1.39E-05
5:Del:R:4	9.28E-06	6.78E-06
5:Del:R:5	2.38E-05	8.55E-06
2:Ins:R:0	1.02E-03	8.82E-04
2:Ins:R:1	9.08E-05	9.56E-05
2:Ins:R:2	1.86E-05	2.56E-05
2:Ins:R:3	8.31E-06	9.53E-06
2:Ins:R:4	8.23E-06	1.51E-05
2:Ins:R:5	7.33E-06	8.70E-06
3:Ins:R:0	1.04E-04	2.52E-04
3:Ins:R:1	1.35E-05	1.35E-05
3:Ins:R:2	2.81E-06	2.76E-06
3:Ins:R:3	1.76E-06	2.37E-06
3:Ins:R:4	3.07E-09	1.07E-08
3:Ins:R:5	3.07E-09	1.07E-08
4:Ins:R:0	1.06E-04	3.23E-04
4:Ins:R:1	2.58E-05	1.52E-05
4:Ins:R:2	1.46E-06	1.99E-06
4:Ins:R:3	1.59E-06	9.75E-07
4:Ins:R:4	5.10E-06	1.44E-06
4:Ins:R:5	3.07E-09	1.07E-08
5:Ins:R:0	5.81E-04	6.65E-04
5:Ins:R:1	2.01E-05	8.65E-06
5:Ins:R:2	1.13E-06	8.85E-07
5:Ins:R:3	3.07E-09	1.07E-08
5:Ins:R:4	3.07E-09	1.07E-08
5:Ins:R:5	3.07E-09	1.07E-08
2:Del:M:1	1.47E-04	3.90E-04
3:Del:M:1	5.38E-04	2.63E-04
3:Del:M:2	2.25E-04	2.19E-04
4:Del:M:1	3.88E-04	2.11E-04
4:Del:M:2	5.46E-04	3.15E-04
4:Del:M:3	1.83E-04	2.00E-04
5:Del:M:1	6.29E-03	4.22E-03
5:Del:M:2	8.93E-03	6.58E-03
5:Del:M:3	6.85E-03	5.03E-03
5:Del:M:4	3.63E-03	2.68E-03
5:Del:M:5	3.82E-03	2.81E-03
