MutationType	ID83A	ID83B
1:Del:C:0	0.04154087543487549	0.011172159579582513
1:Del:C:1	0.02293882068246603	0.005953252613544464
1:Del:C:2	0.012191523462533951	0.003550262902863324
1:Del:C:3	0.00669088052585721	0.003849369483068585
1:Del:C:4	0.0025795567687600853	0.006814350113272667
1:Del:C:5	0.001940082497894764	0.01668579738587141
1:Del:T:0	0.026548555716872216	0.008127130400389433
1:Del:T:1	0.01528430812060833	0.005449881479144096
1:Del:T:2	0.019313365519046784	0.0070510458573699
1:Del:T:3	0.018346610851585864	0.01621342692524195
1:Del:T:4	0.014040474891662597	0.0343462822586298
1:Del:T:5	0.03185825872446003	0.38874526023864747
1:Ins:C:0	0.030788308028131723	0.023258056230843066
1:Ins:C:1	0.005184056162834167	0.004327225838787854
1:Ins:C:2	0.0018236846529217487	0.0019161008298397065
1:Ins:C:3	0.0005219452070161878	0.000557505272445269
1:Ins:C:4	0.0002572639667511467	0.0003014880034606904
1:Ins:C:5	0.00015903278027803224	0.00026527012101723813
1:Ins:T:0	0.2056437024474144	0.1747255176305771
1:Ins:T:1	0.08825602740049363	0.07041515819728375
1:Ins:T:2	0.024630108196288348	0.02188346290960908
1:Ins:T:3	0.016205509118735792	0.012544628605246544
1:Ins:T:4	0.009582421872764826	0.009492960376664996
1:Ins:T:5	0.013234409131109714	0.012511023934930563
2:Del:R:0	0.009257170669734478	0.0033706906763836743
2:Del:R:1	0.012355996295809746	0.007156585063785315
2:Del:R:2	0.0037677930947393177	0.0022207787306979298
2:Del:R:3	0.0006613199424464255	0.0025151860201731322
2:Del:R:4	0.00023053387572872453	0.0012944362289272248
2:Del:R:5	0.0036543565057218074	0.0030795971117913725
3:Del:R:0	0.005328836850821972	0.0014807385753374547
3:Del:R:1	0.011353063061833382	0.005463130148127675
3:Del:R:2	0.0025406166911125182	0.0013424301380291581
3:Del:R:3	0.0006690688221715391	0.00047786107228603214
3:Del:R:4	0.0023669023578986527	0.0006610109863686376
3:Del:R:5	0.0029057303071022035	0.0009572747250786052
4:Del:R:0	0.004423773009330034	0.0010678601007384713
4:Del:R:1	0.007254461608827114	0.003058883869089186
4:Del:R:2	0.0013415693375281989	0.0005799447052413598
4:Del:R:3	0.0015142922941595316	0.0004901964342570864
4:Del:R:4	0.0010809228452853857	0.00040220860682893544
4:Del:R:5	0.0004914094804553315	0.0003282530253636651
5:Del:R:0	0.03953589577227831	0.01031996915320633
5:Del:R:1	0.0049088927358388905	0.0016723108105361462
5:Del:R:2	0.0007503234292380511	0.0002984983203350566
5:Del:R:3	0.00029337562387809157	0.00011023530838428996
5:Del:R:4	4.200146075705291e-05	8.290016281534917e-05
5:Del:R:5	0.00029919045569840817	4.8776455505930015e-05
2:Ins:R:0	0.01693145599216223	0.018279652670025827
2:Ins:R:1	0.0013715986744500697	0.0009690235066227615
2:Ins:R:2	0.00013028786069298803	0.00031990817748010157
2:Ins:R:3	3.0159310849402486e-05	0.00010929088210104965
2:Ins:R:4	2.5727729357143403e-05	9.760388253198471e-05
2:Ins:R:5	2.6315433370101003e-05	5.1819555792143035e-05
3:Ins:R:0	0.0057386642694473265	0.0030184245808050035
3:Ins:R:1	0.0002663511672290042	0.0001508696158998646
3:Ins:R:2	1.1070593012254549e-05	1.390323669614002e-05
3:Ins:R:3	3.563913120734341e-06	1.0936199604660857e-05
3:Ins:R:4	1.8809446316936374e-07	5.6066331097781586e-08
3:Ins:R:5	1.880944597587586e-07	5.606633994403865e-08
4:Ins:R:0	0.006580001711845398	0.002731243537273258
4:Ins:R:1	0.00027968049893388523	0.00012053279686102591
4:Ins:R:2	3.68529354889624e-06	5.780442247100837e-06
4:Ins:R:3	5.316099381413864e-06	2.773523269998801e-06
4:Ins:R:4	1.6056760611480314e-05	2.4773694809931966e-06
4:Ins:R:5	1.880944637377979e-07	5.606633582289078e-08
5:Ins:R:0	0.017130472362041474	0.0050349196384195235
5:Ins:R:1	0.00014432840740482788	2.6032384340819344e-05
5:Ins:R:2	3.6009016050631005e-06	3.0755061235510084e-06
5:Ins:R:3	1.880944637377979e-07	5.606633582289078e-08
5:Ins:R:4	1.8809446316936374e-07	5.6066331097781586e-08
5:Ins:R:5	1.880944597587586e-07	5.606633994403865e-08
2:Del:M:1	0.011121480725705624	0.005200735563412309
3:Del:M:1	0.005028040609322488	0.0011563374317483976
3:Del:M:2	0.006999828815460205	0.0029864109866321086
4:Del:M:1	0.004014750029891729	0.0010674512211699039
4:Del:M:2	0.006522187432274222	0.0019622788252308967
4:Del:M:3	0.005949954744428396	0.0023499532556161286
5:Del:M:1	0.04217144168913364	0.013139385098183994
5:Del:M:2	0.0550432348594768	0.02015162807372403
5:Del:M:3	0.04214708947460167	0.01546082413458862
5:Del:M:4	0.022244761666819716	0.008223424646421165
5:Del:M:5	0.02347049889169856	0.00871667466177314
