MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
2:Del:R:3	1.48E-07	2.54E-08	3.27E-04	8.05E-08	5.95E-08	4.10E-08	1.08E-07	1.70E-04	2.37E-07	1.96E-07	1.30E-08	2.27E-03	2.01E-03	9.68E-08	1.89E-03
2:Del:R:4	4.71E-08	6.74E-09	2.47E-04	6.94E-04	2.23E-08	0.00E+00	3.21E-04	7.66E-05	1.30E-04	7.12E-08	0.00E+00	0.00E+00	2.02E-03	0.00E+00	1.36E-03
2:Del:R:5	4.43E-08	5.30E-09	6.28E-06	1.90E-07	6.79E-08	8.21E-04	1.97E-07	3.11E-04	1.47E-04	4.97E-04	7.13E-04	2.94E-07	6.62E-05	1.66E-03	4.39E-07
3:Del:R:0	3.29E-08	0.00E+00	1.60E-04	1.27E-08	6.10E-04	4.18E-03	1.94E-03	2.00E-03	1.99E-07	1.03E-02	1.45E-02	2.62E-04	4.98E-07	1.45E-02	4.87E-03
3:Del:R:1	1.04E-03	1.72E-04	7.57E-04	7.18E-07	2.83E-03	0.00E+00	7.15E-04	2.08E-08	3.53E-03	2.37E-03	4.20E-05	9.66E-03	3.99E-02	9.31E-03	2.26E-02
3:Del:R:2	9.73E-09	1.29E-08	7.85E-04	2.22E-07	3.34E-04	2.40E-08	2.03E-04	1.53E-04	6.46E-10	1.20E-03	4.96E-07	2.05E-03	3.61E-03	3.14E-04	7.32E-07
3:Del:R:3	5.47E-07	1.40E-46	7.03E-08	5.04E-02	7.36E-04	1.32E-03	4.09E-03	2.75E-07	5.65E-02	4.55E-03	1.93E-02	2.19E-02	2.51E-03	4.66E-03	3.13E-03
3:Del:R:4	1.42E-08	2.08E-08	1.87E-08	4.28E-08	5.41E-08	4.17E-08	9.42E-08	6.34E-08	1.38E-07	1.10E-07	1.13E-07	1.72E-07	1.61E-07	1.44E-07	2.95E-07
3:Del:R:5	4.01E-08	3.35E-08	3.56E-08	9.66E-08	1.29E-06	1.08E-04	2.99E-04	8.41E-08	1.04E-07	2.09E-04	3.56E-04	2.24E-07	2.64E-07	2.02E-04	2.14E-04
4:Del:R:0	4.11E-08	8.37E-08	0.00E+00	5.29E-05	1.64E-07	1.69E-03	2.43E-03	1.77E-03	1.18E-07	2.91E-03	6.72E-03	4.66E-06	5.72E-03	2.49E-03	6.74E-03
4:Del:R:1	1.25E-07	1.27E-04	9.25E-04	1.12E-04	1.18E-03	4.63E-04	3.19E-03	8.23E-04	0.00E+00	3.17E-03	2.68E-03	9.22E-04	4.02E-03	3.83E-03	4.23E-03
4:Del:R:2	2.69E-08	1.94E-04	1.29E-04	2.12E-05	8.16E-05	4.84E-08	1.27E-03	1.26E-08	9.46E-08	2.31E-04	8.84E-04	9.35E-08	1.32E-03	7.81E-06	6.53E-04
4:Del:R:3	5.96E-08	1.20E-04	6.84E-05	4.47E-08	6.39E-08	3.39E-08	7.96E-08	6.21E-08	8.23E-04	5.42E-08	1.20E-08	3.01E-04	5.61E-07	2.98E-04	1.07E-06
4:Del:R:4	1.42E-08	2.08E-08	1.87E-08	4.28E-08	5.41E-08	4.17E-08	9.42E-08	6.34E-08	1.38E-07	1.10E-07	1.13E-07	1.72E-07	1.61E-07	1.44E-07	2.95E-07
4:Del:R:5	3.91E-08	2.70E-08	3.52E-08	5.53E-08	1.70E-07	1.11E-04	9.59E-05	5.20E-05	9.04E-08	2.05E-07	6.11E-04	1.89E-07	2.98E-04	1.43E-07	8.48E-07
5:Del:R:0	1.46E-07	6.09E-07	2.61E-07	5.96E-09	3.04E-08	1.27E-02	2.51E-07	2.59E-02	1.41E-07	8.97E-03	3.39E-02	7.85E-03	1.28E-03	3.73E-02	1.62E-02
5:Del:R:1	1.24E-08	1.40E-05	7.77E-04	0.00E+00	4.18E-05	6.40E-04	4.13E-05	0.00E+00	1.23E-03	2.59E-07	1.12E-04	4.22E-03	2.62E-03	2.74E-03	3.72E-03
5:Del:R:2	2.62E-08	3.03E-08	1.08E-04	3.75E-08	3.56E-08	3.86E-07	3.20E-04	4.71E-05	9.32E-09	2.70E-04	2.39E-04	0.00E+00	2.17E-07	2.96E-04	4.30E-04
5:Del:R:3	1.42E-08	2.08E-08	1.87E-08	4.28E-08	5.41E-08	4.17E-08	9.42E-08	6.34E-08	1.38E-07	1.10E-07	1.13E-07	1.72E-07	1.61E-07	1.44E-07	2.95E-07
5:Del:R:4	5.88E-08	6.03E-05	1.69E-06	8.40E-05	3.34E-07	3.66E-08	2.20E-07	1.18E-07	5.04E-07	4.26E-04	1.02E-07	6.73E-04	5.95E-04	1.42E-07	3.45E-07
5:Del:R:5	1.42E-08	2.08E-08	1.87E-08	4.28E-08	5.41E-08	4.17E-08	9.42E-08	6.34E-08	1.38E-07	1.10E-07	1.13E-07	1.72E-07	1.61E-07	1.44E-07	2.95E-07
