Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
V1	39	5	66	14	133	31
V2	34	51	5	8	0	155
V3	0	55	21	0	72	107
V4	129	4	2	62	22	151
V5	41	0	28	13	190	0
V6	0	30	0	0	33	1
V7	27	93	19	100	1	9
V8	10	83	162	6	20	1
V9	7	162	17	0	41	0
V10	0	1	8	5	175	51
V11	101	11	13	79	52	36
V12	111	93	1	82	169	43
V13	42	18	110	15	6	27
V14	389	3	74	0	111	0
V15	0	80	19	86	2	19
V16	96	40	123	80	23	31
V17	123	8	42	9	72	136
V18	150	47	19	12	10	12
V19	126	32	34	31	9	23
V20	10	186	65	108	0	0
V21	53	0	4	15	107	168
V22	23	8	168	30	56	5
V23	150	6	8	20	8	7
V24	0	3	18	0	10	44
V25	16	104	40	14	15	8
V26	17	0	180	0	160	7
V27	0	12	1	115	4	16
V28	148	4	11	51	120	25
V29	174	1	19	43	0	83
V30	6	8	1	1	0	33
V31	0	202	15	420	39	0
V32	345	6	5	58	1	67
V33	8	3	74	8	16	91
V34	18	4	209	9	30	0
V35	46	285	36	0	11	143
V36	0	174	19	116	3	0
V37	0	11	3	273	5	53
V38	65	50	33	12	11	24
V39	78	91	38	0	25	177
V40	30	32	12	5	9	22
V41	5	70	60	20	0	160
V42	0	192	76	181	31	129
V43	55	1	57	9	104	105
V44	6	114	154	0	144	74
V45	96	105	10	93	0	16
V46	0	0	13	7	132	3
V47	334	14	88	0	6	2
V48	36	216	61	13	21	31
V49	22	8	26	28	191	129
V50	13	33	2	68	77	16
V51	218	19	4	25	0	24
V52	265	0	41	15	7	0
V53	3	592	41	0	22	47
V54	140	51	2	0	109	9
V55	52	45	303	0	8	13
V56	4	8	8	221	463	70
V57	0	13	15	227	1	20
V58	8	2	22	94	16	0
V59	14	0	17	7	523	0
V60	0	5	43	12	28	13
V61	16	62	15	88	11	16
V62	5	1	73	0	69	27
V63	65	35	216	0	2	52
V64	0	50	34	333	132	0
V65	0	0	4	30	31	15
V66	0	1	1	0	32	137
V67	94	9	3	0	3	9
V68	31	210	196	13	82	29
V69	18	16	14	130	50	0
V70	1	2	108	35	1	7
V71	104	16	109	10	0	34
V72	44	2	24	179	2	61
V73	5	27	4	25	7	133
V74	0	59	14	2	168	122
V75	1	0	9	8	0	42
V76	8	116	43	64	15	24
V77	122	101	14	5	19	66
V78	13	16	7	116	9	4
V79	64	117	94	71	0	2
V80	54	0	15	3	3	29
V81	2	0	2	0	2	2
V82	21	0	9	1	15	3
V83	0	6	11	16	30	97
V84	26	6	83	0	13	32
V85	0	120	1	2	3	3
V86	53	2	23	57	16	58
V87	0	0	443	2	63	4
V88	39	15	33	70	25	34
V89	8	31	92	106	16	19
V90	5	78	152	40	0	7
V91	80	70	22	44	0	126
V92	58	1	1	39	19	39
V93	34	2	0	35	23	26
V94	15	12	8	30	5	166
V95	3	70	48	30	4	7
V96	227	74	1	8	4	0
V97	0	33	83	142	10	22
V98	138	14	45	22	78	32
V99	64	5	21	74	50	6
V100	0	3	35	78	32	12
