Samples	ID83A	ID83B
V1	0	404
V2	1204	41
V3	69	112
V4	90	249
V5	137	32
V6	277	179
V7	73	45
V8	400	17
V9	7	133
V10	122	56
V11	152	173
V12	0	114
V13	498	23
V14	244	257
V15	161	203
V16	0	292
V17	379	0
V18	145	129
V19	2	198
V20	0	317
V21	142	198
V22	174	77
V23	188	1105
V24	380	15
V25	309	151
V26	180	48
V27	8	305
V28	12	286
V29	206	152
V30	514	113
V31	151	217
V32	79	222
V33	322	174
V34	26	41
V35	361	205
V36	593	39
V37	69	123
V38	0	497
V39	128	204
V40	12	11
V41	25	74
V42	192	0
V43	312	68
V44	167	183
V45	0	240
V46	48	159
V47	367	356
V48	477	12
V49	324	322
V50	91	64
V51	0	205
V52	1197	51
V53	444	116
V54	135	16
V55	151	412
V56	135	444
V57	59	228
V58	345	21
V59	177	150
V60	190	2
V61	553	33
V62	217	0
V63	345	156
V64	0	569
V65	204	14
V66	154	255
V67	197	159
V68	193	70
V69	84	361
V70	103	109
V71	97	90
V72	189	0
V73	188	76
V74	191	0
V75	166	771
V76	159	224
V77	755	49
V78	329	8
V79	184	164
V80	199	211
V81	158	141
V82	44	196
V83	119	285
V84	108	131
V85	69	71
V86	223	107
V87	163	34
V88	128	57
V89	124	241
V90	28	16
V91	645	33
V92	61	114
V93	158	11
V94	108	44
V95	119	41
V96	220	779
V97	11	157
V98	122	60
V99	284	125
V100	98	0
