Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
V1	0.00E+00	1.26E+01	4.53E-01	3.11E+00	0.00E+00	1.45E+00	1.44E+01	1.45E+00
V2	1.03E+01	3.19E+00	1.07E+01	1.12E+00	2.77E+00	1.81E+00	1.37E+01	1.07E+01
V3	8.97E-01	5.78E-01	0.00E+00	1.15E+00	2.77E+00	4.39E+00	3.70E+00	4.52E+00
V4	2.91E+00	4.20E+00	7.75E-01	3.40E+00	1.87E+00	4.98E+00	4.05E+00	5.46E+00
V5	4.27E-01	3.03E+00	1.97E+00	1.93E+00	3.45E+00	5.26E+00	5.80E+00	6.26E+00
V6	2.33E+00	5.31E+00	4.94E+00	1.46E+00	3.57E+00	4.07E-01	6.90E+00	4.42E-01
V7	2.08E+00	6.03E+00	3.32E+00	1.63E+00	2.01E+00	5.96E+00	7.46E+00	5.27E+00
V8	6.97E+00	0.00E+00	5.22E+00	2.89E+00	2.03E+00	0.00E+00	1.70E+00	6.42E+00
V9	1.35E+00	8.95E-01	0.00E+00	7.02E-01	0.00E+00	1.01E+00	0.00E+00	2.09E+00
V10	2.40E+00	3.54E+00	6.90E-01	2.04E+00	1.83E+00	3.65E-01	3.32E+00	9.07E-01
V11	3.63E+00	1.96E+00	6.28E+00	8.46E-01	1.17E+00	0.00E+00	8.02E+00	2.72E+00
V12	1.61E+00	2.61E+00	0.00E+00	1.67E+00	0.00E+00	3.27E-01	3.30E+00	2.82E+00
V13	0.00E+00	8.72E-01	3.50E+00	3.07E+00	8.49E+00	5.51E+00	1.30E+01	5.75E+00
V14	1.50E+00	7.14E+00	1.12E+00	7.61E-01	2.86E+00	2.03E+00	8.85E+00	1.90E+00
V15	8.72E+00	5.67E+00	2.58E+01	8.44E-01	2.19E+00	1.16E+00	3.46E+01	5.81E+00
V16	4.23E-01	4.40E+00	5.08E+00	2.13E+00	1.91E+00	3.73E+00	7.67E+00	1.79E+00
V17	3.31E+00	4.22E+00	2.31E+00	4.58E-01	3.06E-01	1.92E+00	4.99E+00	3.21E+00
V18	1.52E+00	5.43E+00	1.31E+00	5.67E-01	6.87E-01	9.26E+00	6.81E+00	1.08E+01
V19	1.25E+01	7.40E+00	2.21E-01	1.29E+00	1.05E+00	2.24E+00	9.21E+00	1.25E+01
V20	7.30E-01	7.85E+00	4.18E+00	2.08E+00	3.68E+00	1.09E+00	1.20E+01	3.39E+00
V21	1.09E+00	0.00E+00	2.34E+00	4.52E-01	2.82E+00	1.79E+00	3.86E+00	1.62E+00
V22	1.06E+00	9.55E+00	2.29E+00	1.38E+00	3.79E-01	1.65E+00	1.09E+01	1.91E+00
V23	2.11E+01	6.71E-01	1.81E+00	6.05E-01	8.19E+00	2.48E+00	9.67E+00	2.00E+01
V24	2.77E+00	8.33E-01	3.18E+00	1.46E+00	1.78E+00	1.54E+00	4.66E+00	3.52E+00
V25	3.84E+00	1.77E+00	6.51E-01	2.53E+00	7.42E-01	4.26E+00	1.68E+00	5.21E+00
V26	1.28E+00	4.79E+00	3.27E-01	0.00E+00	7.30E+00	3.34E+00	9.87E+00	3.44E+00
V27	0.00E+00	1.20E+00	8.62E-01	1.60E+00	5.33E+00	5.02E+00	6.39E+00	3.37E+00
V28	2.08E+00	2.07E+00	2.07E+00	3.89E+00	6.12E+00	2.76E+00	6.16E+00	2.69E+00
V29	1.74E+01	1.36E+01	4.37E+00	8.95E-01	8.97E-01	6.85E+00	1.75E+01	1.88E+01
V30	9.19E-01	0.00E+00	1.46E+00	2.16E+00	8.83E-01	1.63E+00	2.34E+00	2.90E+00
V31	1.20E+01	6.31E+00	5.45E+00	1.43E+00	1.38E+00	2.98E+00	7.23E+00	1.10E+01
V32	0.00E+00	3.72E+00	1.11E+00	3.59E+00	9.19E-01	4.01E-01	4.59E+00	3.09E+00
V33	1.14E+01	1.71E+01	2.43E+00	1.50E+00	2.34E+00	8.55E+00	1.77E+01	1.37E+01
V34	0.00E+00	2.25E+00	1.83E+00	6.63E-01	1.08E+00	3.71E-01	2.33E+00	0.00E+00
V35	2.84E+00	5.22E-01	7.30E-01	1.36E+00	2.95E+00	1.76E+00	4.51E+00	2.54E+00
V36	5.14E+00	2.90E+00	3.05E+00	1.87E+00	4.02E+00	7.16E-01	4.72E+00	6.54E+00
V37	2.37E+00	4.61E+00	5.93E-01	2.67E-01	5.78E-01	0.00E+00	6.15E+00	1.36E+00
V38	1.84E+01	1.16E+00	1.67E+00	2.61E+00	1.30E+00	7.72E+00	3.61E+00	1.90E+01
V39	3.47E+00	1.67E+01	1.92E+00	0.00E+00	1.65E+01	7.21E+00	2.36E+01	7.41E+00
V40	5.53E+00	4.40E+00	3.19E+00	1.10E+00	5.33E-01	9.94E-01	5.45E+00	6.94E+00
V41	1.14E+01	1.91E+00	1.20E+01	2.25E+00	4.31E+00	5.68E+00	1.36E+01	1.16E+01
V42	1.33E+01	3.48E+00	1.53E-01	1.65E+00	2.32E+00	6.84E+00	3.77E+00	1.58E+01
V43	4.35E+00	2.66E+00	6.86E+00	5.17E-01	7.86E-01	1.29E+00	1.02E+01	5.13E+00
V44	1.04E+01	1.13E+01	3.12E+00	3.13E+00	4.74E+00	2.12E+00	1.31E+01	1.07E+01
V45	3.92E+00	4.76E-01	1.48E+00	1.35E+00	7.25E+00	5.57E+00	7.12E+00	8.32E+00
V46	2.74E+00	5.00E+00	1.63E-01	4.77E-01	0.00E+00	1.65E+00	5.63E+00	2.09E+00
V47	1.00E-01	1.72E+01	1.14E+00	1.75E+00	4.76E+00	2.91E+00	1.98E+01	3.42E+00
V48	0.00E+00	8.62E-01	2.66E+00	2.18E+00	0.00E+00	8.19E-01	1.06E+00	0.00E+00
V49	3.89E+00	2.69E+00	2.32E+00	0.00E+00	1.52E+00	1.10E+00	3.05E+00	3.68E+00
V50	4.70E+00	6.93E+00	1.35E+01	1.36E+00	2.13E-01	1.16E+00	1.84E+01	4.48E+00
V51	5.42E+00	5.42E-01	8.08E+00	4.94E+00	1.97E+00	1.91E+00	9.27E+00	5.02E+00
V52	9.44E+00	8.57E-01	2.08E+00	1.44E+00	9.98E-01	2.61E+00	1.98E+00	1.01E+01
V53	4.47E+00	1.11E+00	3.11E+00	1.36E+00	1.32E+01	3.86E+00	1.51E+01	4.16E+00
V54	1.39E+00	2.40E+00	1.56E+00	2.67E-01	4.35E+00	8.84E-01	5.03E+00	3.01E+00
V55	5.51E+00	6.17E+00	7.77E+00	0.00E+00	4.28E-01	3.68E+00	1.26E+01	6.87E+00
V56	8.28E+00	1.13E+00	1.37E+01	0.00E+00	4.58E-01	9.07E-01	1.93E+01	8.51E+00
