Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
V1	40	0	13	3	22	32	19	0	12	0	25	4	12	7	1
V2	14	81	7	8	0	0	0	0	10	4	30	4	0	0	5
V3	57	18	5	68	0	13	1	0	15	6	2	5	3	0	1
V4	150	102	1	26	1	2	0	0	8	0	1	11	0	32	1
V5	0	12	10	12	42	16	3	36	45	0	48	0	37	1	4
V6	8	2	0	24	12	19	1	0	9	0	21	0	1	0	0
V7	1	0	42	7	2	0	0	0	4	0	0	3	0	0	0
V8	20	9	0	36	6	0	4	0	0	18	20	3	15	0	0
V9	1	2	23	11	1	4	14	0	18	16	26	2	0	0	0
V10	0	115	0	0	7	91	2	0	27	0	33	0	8	3	17
V11	87	16	18	5	21	0	13	0	0	25	0	27	3	0	1
V12	58	13	64	21	0	0	17	0	8	41	0	0	0	0	0
V13	0	11	19	9	5	0	22	17	6	10	0	7	0	3	0
V14	216	21	8	39	26	0	14	0	5	0	0	95	19	0	19
V15	0	140	1	18	0	2	5	0	0	0	0	0	0	53	0
V16	79	75	109	0	70	8	148	0	36	0	15	3	18	0	0
V17	205	2	7	70	2	3	0	30	0	7	17	11	1	24	1
V18	71	29	15	4	77	17	14	85	0	0	0	18	14	17	46
V19	4	84	22	2	36	0	20	0	2	4	0	7	0	23	0
V20	222	172	2	0	7	0	5	99	6	8	0	21	0	6	2
V21	53	56	3	18	18	71	0	0	15	0	41	18	75	22	90
V22	59	84	6	0	12	0	7	0	28	24	2	1	2	0	8
V23	36	6	10	14	1	3	6	16	0	0	2	14	0	6	0
V24	683	40	3	54	33	4	0	0	0	0	5	45	17	51	0
V25	30	17	27	5	0	25	19	0	24	31	1	5	0	0	0
V26	153	102	0	34	37	11	0	0	0	0	40	7	0	16	40
V27	35	113	24	0	0	3	23	0	3	0	8	5	3	15	0
V28	32	10	22	7	90	232	10	0	151	0	41	25	50	0	80
V29	70	11	2	8	36	101	0	0	231	0	90	0	0	0	0
V30	46	161	2	21	6	1	2	0	0	0	2	4	4	41	2
V31	523	11	24	111	2	92	18	0	63	0	15	0	2	4	19
V32	1	180	2	0	3	4	0	0	0	0	3	2	5	57	0
V33	68	110	26	1	1	0	35	36	0	0	0	0	6	13	0
V34	0	2	3	0	6	87	0	0	28	0	1	0	3	0	3
V35	0	50	3	18	27	13	11	0	43	27	8	0	22	0	20
V36	6	170	2	0	100	5	3	0	6	0	0	30	66	63	20
V37	7	5	14	26	22	0	8	0	0	0	0	14	30	0	4
V38	24	35	0	27	36	18	0	0	3	0	5	0	12	0	11
V39	1	78	34	1	33	0	15	0	1	7	0	4	4	6	23
V40	71	0	35	4	2	2	26	8	7	3	7	9	15	0	4
V41	104	0	56	0	21	156	33	3	15	36	13	3	3	3	5
V42	55	0	2	67	169	9	0	0	28	56	0	32	49	0	58
V43	0	14	5	0	50	0	17	18	3	0	9	13	25	9	18
V44	14	2	123	7	2	2	140	0	2	0	12	0	0	0	5
V45	16	19	62	4	0	2	41	0	1	39	0	4	1	0	0
V46	8	2	3	30	0	0	2	0	0	0	0	0	0	5	0
V47	33	41	125	0	15	30	47	141	35	31	5	2	0	14	11
V48	18	17	3	9	27	0	0	0	0	12	0	18	17	0	12
V49	122	21	3	19	0	0	0	7	0	0	0	16	2	0	3
V50	0	164	70	31	7	55	17	109	44	5	0	0	0	56	9
V51	0	1	7	25	150	22	2	145	8	0	5	12	8	1	41
V52	69	8	31	14	0	113	4	0	23	1	177	1	28	15	0
V53	0	0	0	0	38	10	1	0	11	0	10	2	2	0	19
V54	16	1	26	87	131	0	13	0	0	42	0	32	8	0	26
V55	86	161	31	65	38	0	17	0	0	32	12	0	4	20	26
V56	1	11	0	5	3	0	0	0	2	0	0	0	0	6	3
V57	0	73	15	0	13	0	7	0	0	22	0	0	9	0	5
V58	40	5	12	26	4	2	10	0	0	0	0	2	0	1	7
V59	16	7	16	7	4	26	9	3	0	0	20	5	2	1	0
V60	58	23	7	19	1	0	2	0	15	15	0	0	10	11	0
V61	107	1	26	33	1	13	24	0	17	0	16	7	0	26	0
V62	55	111	97	3	0	0	69	0	0	64	0	9	1	0	0
V63	97	9	24	7	59	1	4	0	3	28	0	6	58	0	4
V64	0	4	40	21	12	9	22	17	12	0	3	7	17	4	10
V65	209	41	53	73	0	0	58	0	0	52	0	11	7	1	0
V66	53	80	38	73	0	0	8	0	0	61	0	0	0	18	0
V67	53	13	3	0	3	65	7	0	38	0	145	0	16	10	3
V68	26	23	16	0	24	0	14	26	0	25	0	55	18	4	15
V69	0	180	3	0	22	0	0	0	1	24	0	5	8	0	8
V70	30	19	4	0	105	4	12	0	0	16	1	12	18	0	0
V71	65	7	9	45	0	8	5	0	30	0	14	5	3	0	0
V72	0	35	67	0	0	0	47	0	7	19	4	0	2	0	0
V73	27	20	22	0	0	23	0	111	24	0	4	27	0	22	7
V74	21	56	3	34	0	14	0	101	18	11	38	11	4	11	5
V75	97	0	0	22	7	0	0	107	12	7	3	15	15	26	6
V76	76	36	116	0	86	0	39	0	0	22	11	77	52	4	14
V77	136	40	81	0	7	3	54	0	6	57	3	39	3	0	0
V78	48	61	16	36	6	0	7	0	1	24	0	9	10	0	2
V79	39	91	0	12	4	32	4	0	1	1	42	8	4	0	0
V80	0	73	22	0	0	0	21	59	0	2	0	3	0	12	5
V81	0	122	81	4	4	3	79	3	0	0	0	7	2	18	6
V82	475	35	36	89	0	0	146	0	0	125	0	78	0	0	0
V83	1	0	35	1	3	1	18	0	4	0	0	8	0	0	0
V84	7	59	45	24	7	3	44	61	0	0	0	15	0	10	1
V85	136	33	0	152	7	8	0	0	33	18	32	0	11	0	0
V86	37	4	14	4	10	8	13	0	14	6	1	0	1	6	2
V87	77	30	90	85	4	22	40	0	13	22	8	3	2	0	0
V88	48	8	32	66	0	10	12	0	19	15	27	0	0	4	0
V89	0	50	115	2	9	8	50	48	9	10	0	8	0	10	20
V90	33	104	13	81	27	0	6	0	0	34	0	3	12	5	7
V91	0	7	5	0	4	36	13	0	8	30	20	2	5	0	0
V92	42	182	19	36	14	2	7	238	2	16	11	36	0	11	2
V93	38	84	1	0	8	9	0	9	0	0	6	4	0	1	3
V94	36	55	0	13	6	14	0	0	2	0	13	9	0	16	0
V95	7	3	20	72	9	43	51	0	0	3	22	5	9	0	2
V96	33	7	0	0	15	45	3	35	22	0	0	0	7	0	3
V97	69	245	0	35	63	0	0	0	2	6	0	0	9	27	15
V98	101	205	33	0	11	2	5	0	0	0	0	7	0	0	2
V99	2	20	0	3	0	1	0	22	0	0	0	4	0	1	0
V100	77	26	11	42	0	85	6	19	13	0	9	19	1	15	0
