NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	41.77	15.75	9.699	9.827	0.093	0.993	40000.0
2	40.501	15.524	9.053	9.215	0.096	0.994	60000.0
3	44.559	17.524	10.555	11.109	0.101	0.99	50000.0
4	39.209	14.946	8.531	8.911	0.094	0.994	30000.0
5	40.116	15.488	9.101	9.447	0.095	0.993	40000.0
6	44.646	17.202	10.697	10.862	0.1	0.991	30000.0
7	41.087	15.534	9.567	9.641	0.089	0.993	50000.0
8	41.057	15.804	9.36	9.833	0.096	0.993	60000.0
9	43.299	16.321	9.914	10.042	0.101	0.993	60000.0
10	41.738	15.99	9.428	9.591	0.101	0.993	40000.0
