NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	148.469	56.189	50.717	43.453	0.357	0.87	20000.0
2	134.776	50.332	39.609	36.219	0.331	0.901	30000.0
3	140.722	53.721	45.392	40.785	0.349	0.875	20000.0
4	135.485	52.442	44.166	39.507	0.339	0.881	20000.0
5	143.481	54.232	47.87	41.636	0.348	0.888	50000.0
6	148.131	55.393	53.159	42.866	0.337	0.873	30000.0
7	143.112	54.695	47.09	42.099	0.359	0.879	20000.0
8	146.266	55.813	48.434	42.798	0.363	0.885	20000.0
9	134.716	50.272	39.204	35.972	0.336	0.901	30000.0
10	135.546	52.046	44.845	39.487	0.343	0.882	20000.0
