De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-A, Signature ID1 (100.00%), 3.04,  0.44, 0.055, 1.00, 1.00
Signature 83-B, Signature ID9 (100.00%), 6.73,  3.60, 0.028, 1.00, 1.00
Signature 83-C, Signature 83-C, 0, 0, 0, 1, 1
Signature 83-D, Signature 83-D, 0, 0, 0, 1, 1
Signature 83-E, Signature ID8 (100.00%), 16.07,  7.61, 0.058, 1.00, 1.00
Signature 83-F, Signature ID2 (100.00%), 8.10,  1.55, 0.148, 1.00, 1.00
