NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	58.529	21.358	14.106	13.235	0.111	0.988	30000.0
2	58.653	20.961	14.184	12.776	0.11	0.989	50000.0
3	59.434	21.338	14.259	12.916	0.113	0.989	50000.0
4	58.588	21.459	14.107	13.19	0.114	0.988	20000.0
5	58.111	20.903	14.023	13.009	0.108	0.988	40000.0
6	58.85	21.136	14.408	13.137	0.112	0.988	30000.0
7	57.126	20.246	13.773	12.088	0.106	0.991	30000.0
8	59.083	21.856	14.108	13.318	0.118	0.987	40000.0
9	58.541	20.834	14.353	12.683	0.11	0.99	40000.0
10	57.815	21.058	13.998	12.97	0.109	0.989	60000.0
