NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	168.807	61.386	54.117	46.479	0.378	0.863	50000.0
2	170.746	61.95	54.036	46.442	0.388	0.861	20000.0
3	171.908	62.726	54.615	47.164	0.392	0.859	20000.0
4	184.555	63.997	66.499	50.033	0.388	0.838	40000.0
5	159.698	56.993	45.278	39.964	0.391	0.883	20000.0
6	169.099	60.977	54.209	46.077	0.381	0.863	30000.0
7	181.999	63.39	64.961	49.077	0.386	0.844	30000.0
8	166.317	58.72	54.211	44.922	0.383	0.865	20000.0
9	171.505	62.415	54.473	46.334	0.397	0.861	40000.0
10	175.378	60.01	60.739	48.446	0.392	0.858	40000.0
