NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	79.764	24.837	21.57	16.977	0.139	0.98	40000.0
2	93.666	28.391	27.642	19.748	0.144	0.975	20000.0
3	82.453	25.585	22.823	17.924	0.142	0.978	30000.0
4	81.162	25.136	22.041	17.322	0.14	0.979	20000.0
5	79.802	25.164	22.157	17.527	0.141	0.979	30000.0
6	89.84	27.484	26.592	19.33	0.149	0.976	20000.0
7	95.215	28.54	28.402	19.969	0.145	0.974	20000.0
8	96.103	28.563	29.313	20.345	0.142	0.973	30000.0
9	80.686	25.055	21.926	17.269	0.142	0.98	30000.0
10	95.036	29.031	28.915	20.507	0.144	0.972	30000.0
