NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	64.42	25.051	16.108	16.572	0.14	0.979	20000.0
2	60.624	23.672	14.889	15.527	0.127	0.982	30000.0
3	62.486	24.013	15.403	15.411	0.13	0.984	20000.0
4	63.646	24.132	15.524	15.523	0.134	0.984	40000.0
5	64.272	25.375	15.838	16.53	0.142	0.981	40000.0
6	62.682	24.312	15.409	16.027	0.135	0.981	30000.0
7	62.894	24.939	15.317	16.544	0.137	0.979	40000.0
8	64.463	24.835	15.921	16.008	0.138	0.981	30000.0
9	65.551	25.779	16.173	16.751	0.142	0.979	50000.0
10	64.849	25.136	15.858	16.256	0.14	0.982	30000.0
