NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	101.897	37.015	30.042	25.655	0.219	0.95	20000.0
2	106.283	38.507	31.145	26.576	0.224	0.949	30000.0
3	104.879	37.781	31.197	26.214	0.22	0.949	40000.0
4	106.729	39.168	31.893	28.022	0.232	0.942	20000.0
5	104.184	37.956	31.06	26.866	0.225	0.946	30000.0
6	103.979	37.626	30.663	26.254	0.223	0.948	20000.0
7	102.45	37.628	29.433	25.697	0.221	0.952	20000.0
8	103.407	37.333	30.301	25.847	0.223	0.951	40000.0
9	102.797	37.045	29.96	25.739	0.218	0.95	30000.0
10	102.778	37.04	29.981	25.535	0.218	0.95	40000.0
