Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.62,0.57,NO,N/A,68.52%,72.6%,140.58%,57.9%,89.27,0.4793,1.3085,0.198,0.492,0.784,0.471
3,0.81,0.7,NO,N/A,52.4%,61.33%,133.24%,49.06%,87.98,0.3972,1.4366,0.136,0.433,0.852,0.51
4,0.71,0.52,NO,N/A,38.37%,48.13%,96.65%,31.64%,88.34,0.2711,1.0414,0.071,0.435,0.922,0.508
5,0.8,0.17,NO,N/A,26.8%,35.25%,91.28%,25.13%,67.84,0.2183,0.9647,0.043,0.251,0.952,0.74
6*,1.0,0.99,YES,Most Stab Sigs,12.87%,25.07%,53.4%,15.18%,49.44,0.1368,0.7514,0.016,0.124,0.982,0.855
7,0.78,-0.36,NO,N/A,11.7%,24.15%,56.49%,13.83%,42.27,0.1344,0.7479,0.014,0.082,0.985,0.906
8,0.67,-0.31,NO,N/A,11.71%,23.87%,50.94%,12.69%,48.11,0.1378,0.7433,0.014,0.123,0.985,0.856
9,0.62,-0.41,NO,N/A,10.1%,21.0%,48.64%,11.91%,40.87,0.129,0.7108,0.011,0.083,0.988,0.903
10,0.58,-0.59,NO,N/A,9.45%,20.32%,54.83%,11.16%,42.65,0.1276,0.7081,0.01,0.094,0.989,0.891
11,0.53,-0.27,NO,N/A,8.65%,19.05%,48.52%,10.07%,41.23,0.1212,0.7219,0.009,0.085,0.991,0.909
12,0.47,-0.67,NO,N/A,8.06%,18.53%,56.43%,10.16%,41.74,0.1214,0.6936,0.008,0.089,0.991,0.896
13,0.45,-0.64,NO,N/A,8.04%,17.94%,44.49%,9.23%,40.42,0.1167,0.7038,0.007,0.085,0.992,0.901
14,0.41,-0.62,NO,N/A,7.49%,18.53%,62.12%,9.29%,38.34,0.1195,0.6544,0.006,0.07,0.993,0.919
15,0.43,-0.55,NO,N/A,7.52%,18.03%,52.15%,8.5%,31.79,0.1131,0.614,0.005,0.048,0.994,0.945
16,0.41,-0.6,NO,N/A,6.8%,16.06%,42.76%,8.16%,33.26,0.1056,0.6683,0.005,0.057,0.994,0.934
17,0.43,-0.57,NO,N/A,5.87%,15.36%,42.44%,7.48%,24.89,0.1008,0.6736,0.003,0.019,0.996,0.98
18,0.4,-0.74,NO,N/A,5.47%,14.75%,40.12%,7.4%,20.38,0.0995,0.7057,0.003,0.021,0.996,0.977
19,0.35,-0.72,NO,N/A,5.43%,14.47%,37.78%,7.39%,20.77,0.0973,0.5808,0.003,0.021,0.996,0.975
20,0.34,-0.74,NO,N/A,5.26%,14.48%,38.65%,7.51%,20.76,0.0945,0.6164,0.003,0.019,0.997,0.98
