NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	136.955	24.549	28.259	15.244	0.105	0.983	60000.0
2	136.447	24.904	27.675	15.299	0.108	0.982	90000.0
3	135.452	24.425	27.718	15.257	0.104	0.983	40000.0
4	139.326	25.079	28.9	15.701	0.106	0.982	100000.0
5	136.551	24.683	27.68	15.127	0.106	0.983	100000.0
6	135.164	24.898	27.536	15.523	0.108	0.982	80000.0
7	134.177	24.73	27.215	15.386	0.108	0.983	120000.0
8	137.279	25.228	28.261	15.753	0.109	0.981	70000.0
9	137.48	24.934	28.113	15.477	0.108	0.982	60000.0
10	137.404	24.843	28.884	15.417	0.107	0.982	50000.0
