Samples	ID1	ID2	ID8	ID9	ID83B	ID83D
V1	29	27	0	0	18	0
V2	0	137	0	0	89	128
V3	37	12	87	38	18	16
V4	0	168	0	0	78	40
V5	32	0	37	104	0	20
V6	0	32	0	222	198	0
V7	0	133	0	0	0	66
V8	39	59	0	69	0	0
V9	15	0	0	0	18	106
V10	0	349	0	0	72	0
V11	0	0	41	0	177	0
V12	43	0	0	0	52	0
V13	0	51	0	122	0	0
V14	0	119	0	498	224	0
V15	187	38	0	0	47	62
V16	32	0	0	54	0	25
V17	0	20	28	99	36	35
V18	13	0	0	0	119	18
V19	64	0	0	0	86	0
V20	0	24	69	89	0	0
V21	0	164	0	0	0	148
V22	0	53	0	117	170	0
V23	186	0	0	0	0	85
V24	50	165	0	0	0	0
V25	163	0	0	90	0	69
V26	0	70	0	27	33	0
V27	200	80	0	60	0	0
V28	54	0	0	0	21	12
V29	0	0	0	0	0	296
V30	0	84	136	0	0	266
V31	29	35	0	0	0	37
V32	116	0	0	0	95	33
V33	0	41	0	0	59	123
V34	34	0	188	110	0	0
V35	255	50	0	172	60	65
V36	205	0	0	79	83	0
V37	12	0	0	71	80	0
V38	0	22	0	29	0	42
V39	8	17	0	0	21	4
V40	15	42	0	0	82	22
V41	109	180	0	64	75	0
V42	537	0	141	0	73	0
V43	0	0	0	84	240	142
V44	105	0	0	149	63	177
V45	0	41	0	42	37	77
V46	0	0	158	0	491	0
V47	27	41	0	0	54	0
V48	0	0	0	62	0	9
V49	0	0	34	114	17	0
V50	0	0	0	53	50	72
V51	75	0	0	208	92	0
V52	74	23	0	0	0	0
V53	0	15	65	0	89	0
V54	0	57	0	0	141	0
V55	140	0	0	157	0	0
V56	0	0	0	42	92	0
V57	41	15	68	62	46	43
V58	16	0	0	59	0	91
V59	484	0	0	0	0	149
V60	73	0	0	0	0	44
V61	0	154	0	120	0	34
V62	187	141	0	0	553	0
V63	78	205	0	365	0	0
V64	72	13	0	0	0	0
V65	33	0	0	373	0	0
V66	0	0	0	0	479	0
V67	0	0	0	443	0	0
V68	72	0	0	105	25	35
V69	0	103	0	236	579	0
V70	0	0	35	0	0	58
V71	50	0	0	194	192	0
V72	195	0	0	99	0	0
V73	27	22	0	0	0	193
V74	179	0	0	70	0	106
V75	26	98	0	154	65	0
V76	99	118	96	0	0	0
V77	0	205	0	93	167	0
V78	27	0	44	0	0	0
V79	179	0	62	53	0	91
V80	101	0	152	0	52	147
V81	38	0	60	53	0	21
V82	223	0	160	241	0	233
V83	0	27	119	0	0	89
V84	427	0	0	0	0	0
V85	6	6	32	20	25	0
V86	0	0	60	0	0	191
V87	80	0	0	79	34	33
V88	0	0	0	65	0	202
V89	84	102	0	0	0	144
V90	0	0	0	414	122	0
V91	52	69	0	0	0	96
V92	37	153	0	0	63	159
V93	18	29	25	0	72	0
V94	0	0	223	0	52	73
V95	18	13	0	0	112	50
V96	21	0	0	0	80	126
V97	0	0	96	0	0	0
V98	53	94	81	49	28	0
V99	32	0	63	0	25	22
V100	0	61	0	173	0	45
