Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
X01b0848c.ae36.4ade.a3da.d297b003c99f..Panc.AdenoCA..DO51493	0	397	286	0	1113	52	58	410	0	33	0
X02c97e2b.914e.4afc.bf50.78f0cfbfa67b..Panc.AdenoCA..DO35184	0	63	32	17	11	11	20	25	19	36	0
X02e5c36f.5bec.45e2.a048.875653b85ca1..Panc.AdenoCA..DO34616	66	193	0	103	13	30	43	30	37	58	3
X03c3c692.8a86.4843.85ae.e045f0fa6f88..Panc.AdenoCA..DO32831	330	228	8	228	454	21	41	141	54	0	1
X046d7386.95c8.4501.9e55.c85bec272a7a..Panc.AdenoCA..DO34432	57	80	0	67	1	1	62	69	38	0	0
X05070acd.3ec1.44bb.9c32.26d3a483a72a..Panc.AdenoCA..DO32860	174	132	0	127	12	45	22	3	10	15	0
X0554ffe5.31f7.43f5.8372.2b73c9cf3527..Panc.AdenoCA..DO49076	7	314	0	69	14	30	46	25	21	32	1
X079bcb09.a075.4313.9a3e.dd67734a8c5d..Panc.AdenoCA..DO221540	120	418	23	67	12	23	85	69	2	31	33
X0972bfcf.c6c6.48cc.b820.cdfa6279a4f3..Panc.AdenoCA..DO51467	57	95	89	0	13	120	41	72	64	40	26
X09cb8bc5.13ac.44ac.9b7d.6de143373570..Panc.AdenoCA..DO51524	24	56	220	89	28	56	32	8	55	79	64
X09e1fe3e.bfd8.4175.ac42.0e1bf0ba5523..Panc.AdenoCA..DO51500	98	332	89	25	18	23	68	0	40	105	13
X0b29c893.03bf.4131.b192.c14a2788d411..Panc.AdenoCA..DO49418	571	253	0	111	20	231	56	65	18	106	7
X0cf9bbc2.cbd5.4b64.8d90.cfa416307b39..Panc.AdenoCA..DO33488	0	90	163	96	18	33	1	68	2	173	0
X0efee3f3.313b.44eb.b3b0.af975a1ded82..Panc.AdenoCA..DO49442	5	137	0	11	17	31	25	60	53	24	0
X0fbd94b1.bb34.4620.841b.861a0b5e0c12..Panc.AdenoCA..DO49087	0	56	137	138	21	15	19	41	23	78	6
X0fc63b79.7fff.441d.88fc.922d53c787ab..Panc.AdenoCA..DO51535	28	53	0	67	5	7	31	70	23	0	19
