Samples	ID1	ID2	ID8	ID9	ID83B	ID83C
V1	38	16	38	0	13	30
V2	0	379	0	0	77	160
V3	0	28	0	0	161	46
V4	0	16	0	49	57	37
V5	0	25	0	0	100	145
V6	34	18	43	26	36	15
V7	0	212	0	0	0	186
V8	68	39	164	0	0	0
V9	0	0	0	0	0	202
V10	18	20	56	143	0	0
V11	51	0	35	27	0	47
V12	232	275	0	0	0	55
V13	228	0	0	0	398	0
V14	53	0	170	0	121	0
V15	0	0	0	0	192	0
V16	132	40	0	59	59	30
V17	32	0	20	0	13	21
V18	0	0	242	0	0	29
V19	197	73	0	0	0	103
V20	0	129	0	0	0	292
V21	0	0	126	0	577	123
V22	33	100	0	75	60	60
V23	0	0	0	0	0	240
V24	29	0	32	0	20	55
V25	42	0	0	0	120	30
V26	0	85	0	229	0	54
V27	0	0	0	0	68	197
V28	330	188	0	99	0	0
V29	24	78	0	99	38	0
V30	0	0	42	0	104	18
V31	0	143	0	44	0	0
V32	35	0	43	80	47	0
V33	0	119	81	183	59	0
V34	24	0	0	279	0	0
V35	17	25	0	40	34	0
V36	0	57	299	0	0	0
V37	85	0	169	0	279	0
V38	420	191	0	0	0	252
V39	119	61	0	63	76	0
V40	304	0	0	131	104	0
V41	0	103	0	0	52	0
V42	0	0	17	22	0	41
V43	56	9	19	0	0	16
V44	0	0	218	160	0	0
V45	246	34	0	0	0	83
V46	217	122	0	0	0	174
V47	131	63	0	0	212	0
V48	0	56	0	38	132	0
V49	0	67	47	0	78	0
V50	0	148	66	0	0	0
V51	0	88	37	43	36	102
V52	0	34	0	147	175	0
V53	0	167	249	97	0	0
V54	0	27	94	32	19	0
V55	0	173	0	0	0	371
V56	43	103	0	0	34	0
V57	116	102	44	36	27	0
V58	26	0	79	27	0	0
V59	25	0	71	0	0	155
V60	0	31	0	97	25	0
V61	4	11	0	7	6	0
V62	36	84	91	0	0	84
V63	11	0	0	0	0	83
V64	0	37	72	0	0	0
V65	163	0	0	0	60	315
V66	18	0	36	0	56	0
V67	195	0	140	0	0	0
V68	37	0	24	0	0	93
V69	0	93	156	49	0	36
V70	127	0	0	0	86	0
V71	0	0	65	211	0	28
V72	0	0	0	0	0	154
V73	0	124	125	0	0	0
V74	0	0	770	0	0	0
V75	73	17	0	51	0	11
V76	0	0	0	0	0	279
V77	27	0	0	143	52	32
V78	0	0	0	0	303	48
V79	87	0	58	63	0	0
V80	232	66	64	83	41	0
V81	41	0	25	0	43	0
V82	0	48	0	0	51	10
V83	0	14	0	133	27	0
V84	38	22	0	0	0	57
V85	32	153	0	0	0	73
V86	0	23	0	16	0	25
V87	42	0	54	0	0	0
V88	61	0	0	249	0	102
V89	82	0	0	0	69	51
V90	0	78	0	0	105	0
V91	0	24	50	0	65	0
V92	0	0	0	370	269	0
V93	190	0	0	0	0	54
V94	0	146	55	66	0	27
V95	0	36	103	0	65	52
V96	0	25	67	0	0	0
V97	0	12	32	19	0	43
V98	38	82	37	0	0	0
V99	0	18	161	0	0	0
V100	20	65	0	0	0	172
