MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
1:Del:C:0	1.32E-03	5.79E-03	1.30E-02	3.13E-03	5.61E-04	3.90E-02	3.75E-03	4.24E-02	1.67E-03	2.31E-02	3.19E-02	1.99E-02
1:Del:C:1	2.80E-04	5.96E-04	9.84E-03	1.05E-04	4.84E-07	2.09E-02	4.16E-03	2.19E-02	1.83E-03	2.22E-02	2.64E-02	5.41E-03
1:Del:C:2	9.88E-05	3.47E-08	1.23E-07	0.00E+00	2.88E-08	9.45E-04	4.36E-04	2.07E-03	5.32E-04	3.22E-03	1.69E-03	3.90E-03
1:Del:C:3	0.00E+00	4.03E-04	1.78E-03	2.47E-03	5.64E-04	2.82E-03	7.52E-04	3.42E-03	3.27E-03	3.91E-03	4.68E-03	4.17E-03
1:Del:C:4	9.45E-05	0.00E+00	5.70E-06	3.09E-05	1.53E-03	3.24E-03	1.26E-04	2.39E-03	4.28E-03	2.65E-03	1.85E-02	1.15E-03
1:Del:C:5	1.10E-04	3.53E-04	2.36E-03	2.65E-04	1.21E-03	1.85E-05	0.00E+00	8.90E-04	3.18E-08	3.25E-03	1.65E-03	2.38E-03
1:Del:T:0	2.06E-04	2.99E-46	3.64E-03	4.21E-04	2.87E-03	2.28E-02	3.98E-03	1.95E-02	1.09E-02	8.34E-03	3.42E-02	2.07E-02
1:Del:T:1	0.00E+00	9.84E-05	1.26E-03	9.61E-06	1.69E-04	8.55E-03	2.02E-03	1.18E-02	4.19E-03	7.93E-03	8.64E-03	7.75E-03
1:Del:T:2	3.57E-04	8.70E-04	3.72E-03	2.87E-04	1.60E-03	1.92E-02	1.80E-03	1.85E-02	3.20E-03	4.49E-03	1.10E-02	1.59E-02
1:Del:T:3	5.73E-04	1.40E-03	4.04E-02	2.22E-03	4.57E-03	1.54E-02	0.00E+00	1.83E-02	4.24E-03	6.82E-03	1.88E-02	1.62E-02
1:Del:T:4	1.03E-04	6.25E-04	3.65E-02	0.00E+00	5.27E-03	2.57E-02	0.00E+00	3.08E-02	1.06E-03	5.38E-03	1.52E-02	1.34E-02
1:Del:T:5	7.44E-08	5.15E-08	1.08E-03	1.67E-08	8.94E-03	1.43E-07	1.49E-07	3.85E-03	7.06E-07	8.63E-02	1.58E-06	1.36E-06
1:Ins:C:0	2.98E-08	3.04E-08	5.89E-04	3.71E-07	1.68E-07	1.03E-08	3.15E-04	1.64E-08	2.27E-03	3.34E-04	9.91E-04	3.63E-05
1:Ins:C:1	2.62E-05	0.00E+00	1.02E-07	7.15E-08	2.38E-04	3.00E-04	2.56E-04	3.67E-04	5.74E-04	6.54E-04	1.88E-03	9.49E-04
1:Ins:C:2	5.57E-09	2.79E-07	3.41E-03	9.05E-04	0.00E+00	3.47E-04	2.18E-04	7.73E-08	8.44E-04	6.67E-07	9.23E-04	2.40E-03
1:Ins:C:3	3.52E-03	3.44E-04	1.31E-03	6.74E-08	2.10E-04	3.20E-05	2.45E-04	0.00E+00	3.78E-03	5.62E-03	3.98E-07	2.79E-07
