MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
1:Del:C:0	1.02E-02	0.00E+00	1.40E-46	3.54E-04	2.32E-02	2.70E-03	1.22E-02	7.20E-02	9.02E-03	4.72E-02	9.48E-04	1.08E-02	5.43E-02	1.59E-02	1.58E-02	2.22E-02	5.85E-02	7.57E-07	1.57E-02	2.40E-02
1:Del:C:1	6.35E-03	7.69E-04	1.36E-04	2.72E-04	2.10E-02	5.81E-03	2.45E-03	9.69E-03	2.45E-03	2.38E-02	3.20E-02	1.90E-02	1.87E-02	1.13E-02	1.49E-02	1.77E-02	3.01E-02	8.64E-03	3.30E-03	1.95E-03
1:Del:C:2	2.10E-05	1.53E-08	0.00E+00	1.04E-04	9.93E-04	1.17E-03	0.00E+00	1.46E-06	1.96E-04	2.27E-03	0.00E+00	2.77E-03	1.58E-03	2.19E-03	3.71E-03	2.70E-04	6.88E-04	3.62E-07	1.48E-07	1.24E-03
1:Del:C:3	2.03E-03	8.17E-04	0.00E+00	2.29E-04	2.88E-03	2.06E-03	0.00E+00	1.71E-03	2.25E-03	5.91E-03	3.21E-03	6.02E-03	5.85E-03	4.48E-03	2.34E-03	4.43E-04	1.46E-02	9.51E-03	1.49E-02	6.66E-08
1:Del:C:4	6.94E-04	7.64E-04	2.77E-04	1.17E-04	4.30E-03	4.40E-04	9.84E-03	3.10E-03	0.00E+00	4.47E-03	2.05E-04	7.91E-05	6.58E-03	1.31E-03	4.81E-04	6.09E-03	1.03E-02	2.80E-08	5.73E-03	4.59E-03
1:Del:C:5	5.51E-07	6.50E-04	3.94E-03	0.00E+00	7.16E-08	7.10E-04	2.19E-04	0.00E+00	3.63E-04	3.01E-08	2.80E-46	6.29E-07	8.77E-04	0.00E+00	2.84E-03	1.73E-07	0.00E+00	2.97E-02	3.58E-02	1.30E-02
1:Del:T:0	5.54E-04	5.60E-04	4.27E-05	1.76E-03	2.01E-02	8.45E-03	4.58E-02	2.90E-02	3.21E-03	1.96E-02	1.88E-02	4.38E-03	1.49E-02	2.32E-02	1.24E-02	8.54E-02	9.53E-03	1.31E-02	4.20E-46	1.21E-02
1:Del:T:1	0.00E+00	0.00E+00	3.27E-04	1.06E-04	1.07E-02	9.03E-04	8.68E-04	1.30E-02	1.63E-03	1.93E-02	4.47E-04	3.40E-03	3.21E-02	7.51E-03	3.15E-02	1.91E-02	1.68E-02	1.82E-02	1.39E-02	9.76E-03
1:Del:T:2	5.72E-03	4.18E-04	4.82E-04	0.00E+00	1.16E-02	1.68E-03	1.10E-02	1.76E-02	2.46E-03	3.32E-02	1.66E-07	1.09E-03	1.32E-02	5.32E-03	9.78E-03	1.70E-02	1.88E-02	1.64E-03	2.21E-03	2.04E-02
1:Del:T:3	1.78E-02	2.37E-03	1.25E-03	1.94E-03	2.23E-02	1.68E-03	9.15E-03	1.82E-02	7.55E-03	1.56E-02	7.35E-04	0.00E+00	2.18E-02	5.61E-46	6.66E-03	1.33E-02	4.09E-02	1.13E-02	2.03E-02	1.73E-02
1:Del:T:4	3.45E-03	4.25E-03	4.95E-03	2.92E-03	1.39E-02	7.48E-04	4.05E-03	1.99E-02	6.89E-04	2.49E-02	2.41E-03	4.95E-03	1.98E-02	1.02E-02	9.94E-03	1.85E-02	4.19E-02	1.59E-02	3.72E-03	1.30E-02
1:Del:T:5	1.92E-07	4.20E-46	9.24E-03	5.28E-03	8.73E-03	1.05E-06	1.65E-07	9.17E-08	5.45E-04	4.60E-07	1.52E-32	1.39E-07	9.53E-46	2.34E-03	8.88E-03	7.90E-03	4.93E-03	8.62E-02	8.31E-02	2.73E-02
1:Ins:C:0	0.00E+00	1.47E-08	6.98E-08	9.77E-06	3.68E-07	5.09E-04	9.63E-06	3.50E-03	2.89E-06	9.43E-04	8.16E-08	1.15E-03	2.22E-03	1.57E-03	5.91E-04	9.17E-04	3.66E-07	1.47E-03	1.24E-03	1.95E-03
1:Ins:C:1	2.09E-07	3.84E-08	2.64E-07	2.43E-08	4.29E-08	3.82E-04	0.00E+00	1.22E-04	6.32E-04	1.59E-04	8.70E-08	2.05E-03	1.53E-04	6.34E-04	1.15E-07	1.96E-06	1.13E-03	3.24E-04	1.02E-03	1.09E-03
1:Ins:C:2	2.74E-07	6.74E-09	3.19E-08	0.00E+00	1.08E-07	2.20E-04	2.08E-03	1.27E-03	8.34E-08	9.27E-07	2.82E-04	9.14E-04	1.16E-05	2.34E-04	3.30E-07	2.36E-03	1.93E-04	5.47E-08	3.17E-03	3.97E-07
1:Ins:C:3	8.11E-08	2.93E-08	6.32E-08	5.25E-07	6.37E-08	2.70E-08	7.09E-04	1.59E-04	1.14E-07	1.82E-04	1.09E-07	6.64E-07	9.50E-07	8.69E-04	6.29E-04	1.40E-03	1.23E-06	6.30E-04	2.39E-07	6.29E-04
1:Ins:C:4	2.26E-07	5.01E-04	3.87E-04	2.24E-05	0.00E+00	4.39E-04	6.53E-04	1.31E-04	2.52E-04	0.00E+00	1.67E-04	4.77E-03	5.72E-04	2.87E-04	2.07E-03	1.72E-03	3.57E-03	6.06E-03	1.23E-02	1.05E-03
1:Ins:C:5	8.75E-05	2.35E-03	1.59E-03	4.85E-08	0.00E+00	0.00E+00	6.33E-03	6.56E-03	1.25E-02	6.76E-04	2.71E-04	4.63E-03	4.00E-07	0.00E+00	1.79E-02	3.67E-04	1.60E-02	8.89E-03	3.29E-03	1.54E-02
1:Ins:T:0	0.00E+00	0.00E+00	1.39E-04	5.54E-08	5.40E-03	7.95E-04	3.56E-03	1.50E-02	6.08E-03	3.76E-03	1.31E-07	7.86E-04	3.99E-03	9.98E-03	5.47E-07	2.40E-02	8.56E-03	7.03E-04	9.82E-04	1.87E-02
1:Ins:T:1	1.60E-07	1.20E-04	0.00E+00	8.68E-05	3.91E-03	4.26E-04	2.23E-06	8.54E-03	1.92E-08	1.14E-03	3.65E-08	2.69E-03	8.11E-03	3.16E-07	4.28E-07	1.62E-03	6.23E-03	8.93E-07	9.59E-05	7.84E-03
1:Ins:T:2	1.56E-04	1.68E-08	8.19E-08	1.06E-08	4.37E-07	1.15E-07	1.83E-04	1.93E-03	3.67E-04	2.54E-04	2.27E-03	2.37E-05	5.31E-03	9.43E-03	1.18E-03	2.87E-03	5.13E-03	9.99E-04	1.73E-03	7.77E-04
