Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.73,0.66,NO,N/A,59.2%,68.4%,124.51%,58.22%,93.41,0.4073,1.1411,0.18,0.356,0.805,0.603
3,0.73,0.48,NO,N/A,45.92%,53.79%,115.3%,43.81%,91.28,0.3108,0.8922,0.12,0.399,0.87,0.585
4,0.98,0.97,NO,N/A,32.0%,35.33%,117.67%,27.81%,79.82,0.2383,1.0956,0.062,0.378,0.933,0.61
5,1.0,1.0,YES,3.59e-04,13.04%,21.65%,71.2%,11.5%,61.33,0.1305,0.6958,0.016,0.192,0.982,0.786
6*,1.0,0.99,YES,Most Stab Sigs,6.85%,15.96%,45.54%,8.32%,25.77,0.0885,0.4177,0.006,0.034,0.994,0.965
7,0.75,-0.73,NO,N/A,6.64%,15.82%,49.87%,8.22%,25.53,0.0891,0.4458,0.005,0.033,0.994,0.965
8,0.57,-0.75,NO,N/A,6.66%,15.82%,48.92%,8.37%,27.12,0.0898,0.4122,0.005,0.032,0.994,0.966
9,0.42,-0.86,NO,N/A,6.48%,15.48%,50.99%,7.96%,25.53,0.0871,0.4487,0.005,0.033,0.995,0.965
10,0.33,-0.73,NO,N/A,6.29%,14.67%,47.05%,7.72%,23.76,0.0873,0.3907,0.004,0.029,0.995,0.97
11,0.25,-0.84,NO,N/A,6.54%,15.23%,47.8%,8.31%,25.04,0.0882,0.442,0.005,0.032,0.995,0.967
12,0.23,-0.69,NO,N/A,6.27%,16.1%,57.39%,8.05%,25.72,0.0896,0.4242,0.004,0.027,0.996,0.972
13,0.14,-0.82,NO,N/A,6.9%,16.03%,51.63%,8.37%,25.56,0.0892,0.4279,0.004,0.032,0.995,0.966
14,0.18,-0.75,NO,N/A,5.91%,14.22%,48.2%,7.06%,24.17,0.0876,0.4478,0.004,0.029,0.996,0.969
15,0.1,-0.64,NO,N/A,6.35%,16.29%,45.83%,8.2%,24.22,0.0905,0.4018,0.004,0.03,0.996,0.969
16,0.12,-0.81,NO,N/A,5.43%,13.64%,49.34%,6.99%,21.99,0.0825,0.3864,0.003,0.022,0.997,0.976
17,0.12,-0.61,NO,N/A,5.89%,14.7%,48.63%,7.29%,20.48,0.0845,0.3456,0.003,0.016,0.997,0.982
18,0.11,-0.86,NO,N/A,5.09%,12.66%,43.94%,5.9%,22.03,0.0829,0.4034,0.003,0.024,0.997,0.975
19,0.06,-0.82,NO,N/A,6.02%,14.24%,46.21%,7.02%,22.7,0.0851,0.3527,0.003,0.021,0.997,0.978
20,0.05,-0.73,NO,N/A,6.09%,14.03%,38.52%,6.88%,18.61,0.0853,0.2888,0.002,0.017,0.998,0.98
