Samples	ID83A	ID83B	ID83C
V1	3.95E+00	7.18E+00	6.91E+00
V2	6.42E+00	1.99E+01	2.48E+01
V3	3.31E+01	3.56E+01	3.33E+01
V4	1.30E+01	1.00E+01	1.72E+01
V5	1.62E+01	1.87E+01	1.16E+01
V6	4.85E+01	4.52E+01	5.23E+01
V7	1.63E+01	1.64E+01	1.05E+01
V8	1.67E+01	1.75E+01	1.82E+01
V9	9.25E+00	5.81E+00	7.82E+00
V10	2.82E+01	2.97E+01	2.81E+01
V11	3.81E+01	3.26E+01	3.48E+01
V12	2.42E+01	2.75E+01	2.38E+01
V13	9.00E-01	9.11E+01	9.12E+01
V14	1.00E+01	8.91E+00	1.02E+01
V15	5.57E+01	5.18E+01	5.51E+01
V16	1.17E+01	2.66E+01	3.47E+01
V17	6.67E+00	6.86E+00	7.19E+00
V18	2.99E+00	1.83E+00	3.64E+00
V19	2.77E+00	2.45E+00	2.38E+00
V20	2.87E+00	2.35E+00	1.20E+00
V21	4.41E+01	4.14E+01	2.56E+01
V22	4.48E+01	4.62E+01	4.37E+01
V23	1.38E+01	1.09E+01	1.75E+01
V24	2.57E+01	2.05E+01	2.33E+01
V25	8.20E+01	9.44E+01	8.08E+01
V26	1.12E+01	1.00E+01	1.01E+01
V27	4.17E+00	7.69E+00	5.59E+00
V28	9.49E+00	7.35E+00	9.44E+00
V29	2.43E+00	1.20E+01	1.34E+01
V30	9.02E+00	6.45E+01	6.82E+01
V31	1.83E+01	1.75E+01	1.54E+01
V32	4.59E+01	4.70E+01	2.51E+01
V33	6.67E+00	3.67E+01	3.95E+01
V34	1.53E+01	1.56E+01	2.90E+00
V35	3.61E+01	3.15E+01	3.10E+01
V36	8.11E+00	5.47E+00	7.39E+00
V37	4.75E+00	6.35E+00	5.36E+00
V38	2.54E+01	2.06E+01	1.74E+01
V39	1.02E+01	9.26E+00	1.31E+01
V40	3.08E+01	1.62E+01	3.17E+01
V41	1.62E+01	1.82E+01	1.31E+01
V42	3.86E+01	3.04E+01	2.85E+01
V43	1.38E+00	1.74E+00	2.00E+00
V44	2.16E+00	4.04E+00	2.97E+00
V45	5.54E+00	5.41E+00	4.78E+00
V46	9.62E+00	1.37E+01	1.02E+01
V47	2.84E+00	2.38E+00	2.84E+00
V48	3.53E+01	3.88E+01	3.55E+01
V49	8.44E+00	5.82E+00	5.22E+00
V50	1.89E+01	1.94E+01	2.80E+01
V51	1.42E+01	1.32E+01	1.42E+01
V52	1.96E+01	2.57E+01	2.20E+01
V53	2.61E+01	2.31E+01	2.58E+01
V54	2.29E+01	2.60E+01	2.42E+01
V55	4.87E+00	3.92E+00	6.21E+00
V56	4.44E+00	5.00E+00	7.83E+00
V57	1.42E+01	1.67E+01	1.54E+01
V58	1.28E+01	1.66E+01	9.49E+00
V59	1.07E+01	9.33E+00	1.26E+01
V60	1.79E+01	1.95E+01	1.80E+01
V61	1.05E+01	1.10E+01	1.42E+01
V62	3.24E+00	2.63E+00	3.95E+00
V63	1.51E+01	1.41E+01	3.06E+00
V64	1.64E+01	1.05E+01	1.37E+01
V65	3.04E+00	1.67E+01	1.70E+01
V66	1.18E+01	1.19E+01	1.64E+01
V67	1.09E+01	1.06E+01	1.42E+01
V68	1.35E+01	1.70E+01	1.91E+01
V69	5.35E+01	5.51E+01	3.26E+01
V70	3.43E+01	5.00E+01	3.14E+01
V71	8.47E+00	7.09E+00	2.93E+00
V72	1.55E+01	1.52E+01	1.19E+01
V73	4.71E+00	7.04E+00	7.57E+00
V74	2.37E+01	1.45E+01	2.19E+01
V75	1.55E+01	1.43E+01	1.28E+01
V76	1.85E+00	4.00E-01	2.08E+00
V77	4.72E+00	5.11E+00	3.17E+00
V78	2.21E+01	2.23E+01	6.00E-01
V79	3.21E+01	3.32E+01	4.44E+00
V80	1.57E+01	9.73E+00	1.61E+01
V81	1.10E+01	1.66E+01	2.25E+01
V82	4.82E+00	4.12E+00	2.94E+00
V83	2.34E+00	2.34E+01	2.24E+01
V84	2.48E+01	3.72E+01	2.29E+01
V85	6.42E+00	9.20E+00	1.35E+01
V86	3.43E+01	4.45E+01	3.03E+01
V87	3.44E+00	6.10E+00	6.97E+00
V88	9.15E+00	2.98E+01	3.52E+01
V89	7.39E+00	7.37E+00	3.72E+00
V90	2.14E+01	2.14E+01	2.19E+01
V91	1.24E+01	1.26E+01	1.30E+01
V92	1.72E+01	1.93E+01	1.30E+01
V93	1.24E+01	1.29E+01	1.55E+01
V94	2.20E+00	2.60E+00	1.29E+00
V95	1.72E+01	1.29E+01	1.53E+01
V96	1.20E+01	1.26E+01	1.26E+01
V97	4.63E+00	8.43E+00	7.09E+00
V98	5.22E+01	5.11E+01	4.93E+01
V99	3.85E+01	3.98E+01	2.10E+01
V100	5.84E+00	6.87E+00	6.41E+00
