Samples	ID1	ID2	ID8	ID9	ID83C	ID83D
V1	85	0	0	0	265	115
V2	73	39	0	373	102	0
V3	626	0	0	0	147	68
V4	0	0	0	187	0	23
V5	106	30	0	55	0	0
V6	99	254	0	0	0	325
V7	0	21	0	45	0	54
V8	338	50	0	73	0	0
V9	33	0	0	0	59	105
V10	0	0	33	168	0	0
V11	61	0	0	89	15	58
V12	0	0	0	0	438	0
V13	380	0	173	0	120	0
V14	200	0	0	0	86	44
V15	48	132	0	190	0	0
V16	159	0	58	0	43	0
V17	0	61	203	0	0	21
V18	0	41	21	56	0	19
V19	0	134	319	59	0	0
V20	17	21	0	0	61	47
V21	0	0	0	0	861	163
V22	36	20	0	37	138	21
V23	7	0	0	0	0	27
V24	35	162	95	0	0	0
V25	146	0	0	0	656	0
V26	65	52	0	78	40	72
V27	0	0	0	0	424	0
V28	0	57	282	110	0	219
V29	44	0	0	0	0	111
V30	0	0	0	58	162	97
V31	126	0	126	103	0	36
V32	0	18	0	0	83	0
V33	0	0	148	0	0	0
V34	110	0	0	0	0	144
V35	335	0	0	0	0	117
V36	185	49	0	0	79	68
V37	113	108	0	0	0	532
V38	362	152	0	0	111	312
V39	287	60	0	0	270	0
V40	0	37	0	238	83	64
V41	270	113	0	287	0	0
V42	0	0	147	138	0	0
V43	0	19	214	59	44	22
V44	28	0	154	157	116	0
V45	195	177	0	0	398	0
V46	356	40	0	0	103	0
V47	0	69	0	62	32	0
V48	111	0	51	115	58	44
V49	232	0	125	351	0	59
V50	117	408	93	0	0	56
V51	175	0	119	0	0	86
V52	81	50	0	90	0	115
V53	31	0	0	0	34	0
V54	40	0	310	0	0	84
V55	0	0	0	0	0	307
V56	0	63	0	62	0	36
V57	0	131	0	144	0	0
V58	35	129	233	0	0	0
V59	105	50	151	200	36	160
V60	29	137	0	317	0	0
V61	72	95	0	64	65	19
V62	110	68	0	43	25	48
V63	0	0	0	0	173	41
V64	327	41	0	0	154	48
V65	0	193	114	99	62	78
V66	80	54	0	0	52	60
V67	31	0	27	77	0	90
V68	23	0	13	31	10	12
V69	13	0	34	153	0	16
V70	77	0	0	0	548	0
V71	44	0	44	44	0	41
V72	156	0	79	529	0	71
V73	192	43	0	87	91	0
V74	56	0	38	0	59	0
V75	454	0	0	0	0	0
V76	0	28	54	0	0	186
V77	20	0	0	69	202	122
V78	0	246	105	0	0	0
V79	28	59	0	32	0	0
V80	82	73	0	0	0	38
V81	15	0	0	133	0	71
V82	0	287	352	0	0	97
V83	40	0	0	70	78	52
V84	0	132	0	944	0	0
V85	256	0	0	187	0	296
V86	0	0	0	105	225	0
V87	0	0	146	446	388	0
V88	10	16	0	12	7	0
V89	99	207	0	0	55	38
V90	97	0	0	0	352	289
V91	0	0	0	105	16	0
V92	84	55	0	0	0	0
V93	235	0	134	0	55	0
V94	47	0	0	26	55	0
V95	14	33	0	0	0	56
V96	0	39	0	199	146	0
V97	0	0	259	69	137	72
V98	77	37	207	117	23	0
V99	0	0	10	7	0	7
V100	58	52	0	0	89	51
