Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
V1	38	0	11	32	3	20	0	14	21	4	7	3	9	12	0	4	12	0	0
V2	15	83	7	2	6	0	0	0	24	3	1	1	10	0	6	0	0	5	0
V3	49	18	5	14	61	1	16	1	3	4	1	4	10	2	0	0	2	2	1
V4	144	112	0	3	26	1	0	0	2	5	0	4	5	0	0	0	33	0	0
V5	10	9	9	23	6	38	28	4	40	2	0	3	35	36	8	10	0	0	5
V6	10	2	0	19	21	11	0	1	17	0	0	1	7	0	0	0	0	7	1
V7	1	0	40	0	6	2	0	0	0	3	1	0	3	0	0	0	1	0	2
V8	0	7	1	2	28	5	34	2	16	3	6	6	2	12	0	2	0	2	3
V9	4	3	22	9	9	3	0	10	24	4	14	0	15	0	0	0	0	1	0
V10	0	107	0	86	0	8	0	4	28	0	0	15	16	9	9	21	0	0	0
V11	82	15	16	0	4	17	5	9	0	23	6	1	0	0	6	0	0	32	0
V12	38	13	63	0	16	2	33	10	0	0	25	0	7	0	7	0	0	3	5
V13	5	12	17	0	4	5	12	12	0	7	13	0	5	0	6	0	0	0	11
V14	186	19	8	0	35	22	36	10	0	76	3	30	3	17	13	0	0	0	4
V15	0	105	0	1	15	0	0	3	1	0	4	0	0	0	0	90	0	0	0
V16	67	74	97	12	0	60	15	107	15	10	44	12	25	17	0	0	6	0	0
V17	81	0	7	4	45	0	198	1	12	10	0	2	0	0	0	13	0	4	3
V18	120	34	12	16	4	62	9	10	0	16	4	44	1	18	28	0	29	0	0
V19	5	89	19	0	2	29	0	14	0	7	7	7	1	0	0	7	10	4	3
V20	288	172	2	1	1	8	4	4	0	19	5	5	8	1	8	11	12	1	0
V21	52	63	3	66	17	14	0	1	31	12	0	63	11	79	44	0	24	0	0
V22	60	83	6	1	0	12	0	5	5	2	8	10	19	2	10	0	0	9	1
V23	47	3	9	3	13	1	3	4	2	13	2	0	0	0	1	12	0	1	0
V24	661	35	0	2	59	26	0	0	3	39	0	0	0	14	0	53	10	30	3
V25	28	19	26	27	5	0	10	11	2	8	26	0	15	3	3	0	0	0	1
V26	142	106	0	11	32	30	6	0	30	3	0	34	4	0	22	0	20	0	0
V27	33	116	21	4	0	0	0	15	7	4	7	0	2	3	0	2	5	0	13
V28	37	13	21	230	5	85	0	12	43	25	5	85	89	60	40	0	0	0	0
V29	77	14	2	132	5	48	2	1	88	1	0	5	164	6	4	0	0	0	0
V30	6	150	2	1	13	4	60	1	1	5	0	0	0	1	0	46	0	0	2
V31	502	1	21	93	107	8	11	15	19	0	7	3	36	8	28	25	0	0	0
V32	0	196	0	4	0	2	0	0	4	0	2	0	0	4	0	4	41	0	0
V33	79	108	22	0	0	0	16	25	0	0	11	0	0	6	1	12	10	0	6
V34	1	3	3	83	0	9	0	1	3	0	0	5	14	5	2	0	0	4	0
V35	0	49	2	18	15	23	0	7	8	0	11	19	27	20	10	0	3	30	0
V36	3	192	0	5	0	83	0	0	0	22	7	17	5	67	10	0	59	0	1
V37	3	6	14	0	23	18	9	7	0	13	1	4	0	27	4	0	0	1	0
V38	24	35	0	16	23	30	0	0	4	0	0	11	2	12	7	0	0	6	1
V39	1	75	30	0	0	25	0	9	0	4	9	20	0	6	12	1	3	2	10
V40	71	0	32	4	4	2	0	18	6	9	12	3	6	15	1	0	5	1	4
V41	102	1	52	150	0	24	0	27	14	1	22	18	1	5	6	0	21	0	7
V42	63	0	5	10	52	135	0	0	0	30	2	93	19	42	19	0	0	40	15
V43	15	17	4	1	0	38	0	13	7	13	1	13	3	23	16	1	0	16	0
V44	14	1	115	3	6	2	1	109	11	2	30	0	3	0	10	1	0	0	1
