Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
V1	8.05E+00	9.64E-01	4.66E+00	1.73E+00	1.61E+00	1.38E+00	2.28E+00	3.35E+00	1.14E+00	3.77E+00	1.70E+00	2.98E+00	2.30E+00	1.31E+00	2.37E+00	7.65E+00
V2	7.72E-01	5.64E+00	0.00E+00	1.00E+00	2.11E+00	2.24E-01	4.13E+00	2.69E+00	1.11E+00	3.06E-01	4.66E+00	7.96E+00	1.83E+00	9.16E+00	5.85E+00	7.22E-01
V3	2.18E+00	4.49E+00	3.27E+00	4.23E-01	8.03E-01	4.99E-01	4.31E+00	1.75E+00	6.83E-01	4.38E+00	5.96E-01	2.99E+00	4.37E+00	6.62E+00	1.45E+00	2.64E+00
V4	4.52E-01	1.19E+00	1.59E+00	2.93E+00	2.93E+00	4.78E+00	8.72E+00	4.08E+00	5.27E+00	1.14E+00	3.26E+00	1.65E+00	3.30E+00	1.21E+01	1.47E+00	3.78E+00
V5	2.71E+00	0.00E+00	7.30E+00	1.59E+00	1.37E+00	8.41E-01	4.16E-01	5.32E+00	9.07E-01	5.87E+00	1.21E+00	0.00E+00	6.57E+00	0.00E+00	5.47E-01	1.79E+00
V6	1.33E-01	4.11E+00	8.97E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.37E+00	4.01E-01	5.43E-01	9.80E-01	4.86E+00	4.23E-01	0.00E+00
V7	2.83E+00	4.13E+00	2.00E-01	1.97E+00	2.04E+00	3.78E+00	1.59E+00	4.08E+00	2.36E+00	3.35E-01	2.61E+00	1.81E+00	2.70E+00	5.24E+00	9.67E-01	2.66E+00
V8	5.48E+00	1.11E+01	1.35E+00	6.53E-01	7.15E-01	1.53E+00	4.07E-01	3.02E+00	6.37E-01	7.49E-01	5.12E-01	5.17E-01	2.69E-01	1.39E+01	6.84E-01	3.92E+00
V9	1.86E+00	1.38E+01	2.53E+00	6.70E-01	0.00E+00	1.28E+00	4.22E-01	3.41E+00	8.97E-01	4.38E+00	9.91E-01	2.00E-01	3.54E+00	1.40E+01	1.64E+00	2.96E+00
V10	1.48E+00	2.60E-01	3.90E+00	4.07E-01	6.70E-01	6.46E-01	2.80E+00	6.96E-01	1.00E-01	4.35E+00	1.40E+00	7.02E-01	2.79E+00	2.67E+00	1.29E+00	0.00E+00
V11	2.00E+00	1.24E+00	2.03E+00	5.54E+00	2.69E+00	3.67E+00	1.14E+00	8.64E+00	5.51E+00	2.59E+00	6.83E+00	3.30E+00	5.05E+00	2.57E+00	2.26E+00	4.05E+00
V12	4.73E-01	7.44E+00	5.61E+00	6.57E+00	2.93E+00	8.80E+00	2.31E+00	1.41E+01	6.49E+00	2.48E+00	9.40E+00	3.28E+00	8.67E+00	7.75E+00	2.75E+00	1.57E+00
V13	1.04E+01	2.22E+00	7.57E-01	3.95E+00	1.81E+00	2.00E+00	1.48E+00	2.28E+00	1.83E+00	1.63E-01	3.26E+00	1.92E+00	1.25E+00	3.12E+00	1.35E+00	1.03E+01
