Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
V1	42	4	78	17	20	9	10	0	0	44	6	16	0	0	2	40
V2	2	0	0	7	33	1	47	0	0	0	2	45	1	76	39	0
V3	20	50	36	2	0	2	57	0	0	46	0	16	14	0	12	0
V4	1	0	14	75	65	27	92	0	40	3	13	10	15	9	6	0
V5	29	0	125	25	11	13	0	0	0	28	0	0	41	0	0	0
V6	1	24	19	0	0	0	0	0	0	9	0	1	8	1	1	0
V7	16	78	0	15	8	68	8	24	0	0	20	5	5	2	0	0
V8	156	66	14	2	6	6	0	0	1	3	8	2	0	17	0	1
V9	7	130	13	5	0	1	0	0	2	34	0	0	17	0	1	17
V10	11	1	139	1	2	9	35	0	0	33	0	0	0	0	9	0
V11	9	0	24	19	51	12	6	0	51	27	56	16	10	7	4	0
V12	0	85	122	38	68	20	17	56	22	11	28	17	8	0	7	0
V13	102	14	2	22	8	0	15	24	2	0	20	9	0	0	0	0
V14	72	0	74	217	133	0	0	0	3	13	40	0	25	0	0	0
V15	12	38	0	0	0	34	2	59	0	0	0	8	2	51	0	0
V16	93	35	10	45	46	41	13	33	0	13	8	10	0	0	5	41
V17	32	0	35	38	59	0	13	0	0	13	9	57	40	7	87	0
V18	16	34	6	26	80	0	1	0	0	3	79	0	5	0	0	0
V19	27	22	3	41	50	2	4	10	19	3	46	13	11	1	3	0
V20	56	168	0	9	3	41	0	63	24	0	0	0	0	1	0	4
V21	2	0	67	35	20	7	74	16	0	14	0	45	28	0	39	0
V22	141	7	27	10	10	0	2	26	10	26	0	0	13	0	0	18
V23	5	3	2	70	51	8	3	15	0	4	26	1	9	0	2	0
V24	18	0	7	0	3	0	22	0	0	3	0	9	1	6	6	0
V25	36	84	9	10	4	9	0	3	5	2	3	11	3	12	3	3
V26	173	0	107	0	10	0	4	0	0	36	26	0	0	0	0	8
V27	0	0	0	0	2	37	4	53	22	0	0	13	1	16	0	0
V28	8	0	57	72	32	37	13	0	8	67	53	12	0	0	0	0
V29	15	0	0	45	98	14	19	0	9	0	56	20	2	0	42	0
V30	1	7	0	2	3	2	16	0	0	0	6	2	2	0	8	0
V31	0	178	10	0	2	195	5	262	0	2	0	7	15	0	0	0
V32	5	5	4	116	260	4	23	0	19	0	34	0	0	0	12	0
V33	60	2	6	1	11	2	25	5	0	13	0	26	0	0	47	2
V34	195	4	14	10	5	8	0	0	0	13	0	0	18	0	0	3
V35	33	190	6	37	7	4	62	7	10	5	8	1	0	114	37	0
V36	13	151	0	0	2	35	4	27	65	0	0	1	6	0	0	8
V37	0	9	0	0	0	96	31	82	96	1	0	30	0	0	0	0
V38	30	43	7	25	28	6	12	8	0	1	26	0	2	0	7	0
