Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
V1	1.04E+00	5.52E+00	5.20E+00	7.57E-01	2.77E-01	3.37E+00	4.77E+00	3.16E+00	7.65E+00
V2	4.39E+00	3.06E-01	5.51E+00	1.00E+01	1.02E+00	0.00E+00	2.57E+00	1.22E+01	1.07E+00
V3	2.90E+00	0.00E+00	4.02E+00	2.86E+00	0.00E+00	3.22E+00	2.00E-01	3.93E+00	3.10E+00
V4	3.22E+00	1.19E+00	9.29E-01	3.20E+00	0.00E+00	0.00E+00	1.25E+00	3.97E+00	1.30E+00
V5	4.92E+00	1.77E+01	5.33E-01	1.56E+00	2.49E+00	6.74E-01	1.88E+01	3.56E+00	3.00E-01
V6	1.76E+01	1.10E+01	6.35E+00	2.73E+00	3.27E-01	2.03E+00	1.42E+01	1.83E+01	6.41E+00
V7	2.66E+01	1.24E+01	4.49E+00	2.13E-01	7.87E+00	3.40E+00	1.76E+01	2.43E+01	4.02E+00
V8	1.04E+01	1.14E+01	1.78E+00	6.57E-01	6.66E+00	0.00E+00	1.30E+01	8.18E+00	6.40E-01
V9	2.85E+00	1.92E+00	2.23E+00	2.58E-01	7.78E-01	1.58E+00	2.74E+00	3.50E+00	2.62E+00
V10	3.32E+00	3.50E+00	1.00E-01	1.22E+00	2.78E+00	1.80E+00	3.53E+00	3.64E+00	3.49E+00
V11	1.04E+00	4.80E+00	1.92E+00	2.42E+00	2.81E+00	3.15E+00	4.98E+00	2.70E+00	2.37E+00
V12	1.46E+01	2.77E+00	3.44E+00	2.93E+00	1.84E+01	3.01E+00	1.52E+01	2.50E+01	3.63E+00
V13	1.00E+01	2.59E+00	4.47E+00	3.59E-01	1.95E+00	5.14E+00	6.19E+00	9.84E+00	5.00E+00
V14	3.76E+00	2.37E+01	3.98E+00	3.46E+00	1.19E+01	2.03E+00	2.25E+01	1.67E+01	4.10E+00
V15	4.00E-01	1.63E-01	3.40E+00	4.19E+00	1.08E+01	0.00E+00	1.29E+01	5.08E+00	1.53E+00
V16	4.04E+00	1.17E+01	3.18E+00	2.32E+00	9.04E+00	0.00E+00	1.25E+01	7.34E+00	2.34E+00
V17	3.81E+00	6.96E-01	3.99E+00	3.98E+00	1.78E+00	6.51E+00	1.95E+00	5.70E+00	9.61E+00
V18	1.98E+01	0.00E+00	3.14E+00	7.34E+00	0.00E+00	0.00E+00	1.22E+01	1.90E+01	2.00E+00
V19	1.85E+00	1.18E+00	4.30E+00	3.07E+00	4.39E+00	1.53E-01	5.10E+00	5.62E+00	6.00E-01
V20	8.41E-01	4.06E+00	3.00E-01	1.85E+00	3.03E+00	4.44E+00	3.31E+00	3.20E+00	4.03E+00
V21	1.37E+00	2.32E+00	2.91E+00	2.70E+00	7.46E-01	5.07E+00	1.96E+00	3.42E+00	4.34E+00
V22	1.28E+00	0.00E+00	6.01E+00	1.59E+00	5.19E+00	3.93E+00	5.97E-01	7.01E+00	6.51E+00
V23	6.34E+00	5.26E-01	8.23E-01	1.18E+00	1.89E+00	9.91E-01	3.27E+00	5.43E+00	1.50E+00
V24	2.75E+01	9.27E+00	5.01E+00	2.32E+00	4.43E+00	6.43E+00	2.08E+01	2.45E+01	8.84E+00
V25	9.55E+00	3.51E+01	2.74E+00	2.07E+00	6.01E+00	1.14E+01	3.58E+01	7.19E+00	1.05E+01
V26	2.00E-01	7.42E-01	4.24E+00	1.74E+00	9.75E-01	1.11E+01	2.13E-01	4.77E+00	1.03E+01
V27	9.48E-01	3.66E+00	1.65E+00	2.02E+00	4.54E+00	2.79E+00	7.72E+00	3.78E+00	3.67E+00
V28	2.42E+00	1.95E+01	1.07E+00	8.98E-01	3.35E+00	1.66E+00	1.93E+01	3.82E+00	2.37E+00
V29	2.80E+00	6.31E+00	1.02E+01	8.06E-01	2.32E+00	6.04E+00	8.24E+00	6.57E+00	9.14E+00
V30	6.59E+00	1.06E+01	3.46E+00	1.21E+00	5.57E+00	3.74E+00	1.11E+01	5.34E+00	6.59E+00
V31	2.23E+00	3.79E+00	7.94E+00	4.63E+00	4.96E-01	4.63E+00	4.50E+00	4.98E+00	8.68E+00
