Samples	ID83A	ID83B
V1	1.13E+01	1.13E+01
V2	8.29E+00	8.29E+00
V3	7.20E+00	7.20E+00
V4	4.38E+00	4.38E+00
V5	1.71E+01	1.71E+01
V6	1.61E+01	1.61E+01
V7	1.27E+01	1.27E+01
V8	1.67E+00	1.67E+00
V9	6.40E+00	6.40E+00
V10	4.51E+00	4.51E+00
V11	1.13E+01	1.13E+01
V12	6.22E+00	6.22E+00
V13	2.35E+00	2.35E+00
V14	1.84E+01	1.84E+01
V15	6.47E+00	6.47E+00
V16	1.08E+01	1.08E+01
V17	4.06E+00	4.06E+00
V18	2.87E+00	2.87E+00
V19	2.31E+01	2.31E+01
V20	9.43E+00	9.43E+00
V21	5.22E+00	5.22E+00
V22	7.24E+00	7.24E+00
V23	1.66E+01	1.66E+01
V24	1.86E+00	1.92E+00
V25	8.73E+00	8.73E+00
V26	4.16E+00	4.16E+00
V27	2.69E+01	2.69E+01
V28	2.86E+01	2.86E+01
V29	9.54E+00	9.54E+00
V30	1.17E+01	1.17E+01
V31	2.83E+00	2.83E+00
V32	4.79E+00	4.79E+00
V33	1.22E+01	1.22E+01
V34	2.09E+01	2.09E+01
V35	1.46E+01	1.46E+01
V36	1.61E+01	1.61E+01
V37	8.68E+00	8.68E+00
V38	7.51E+00	7.51E+00
V39	1.65E+01	1.65E+01
V40	6.19E+00	6.19E+00
V41	3.04E+00	3.04E+00
V42	1.26E+01	1.26E+01
V43	1.52E+01	1.52E+01
V44	1.86E+01	1.86E+01
V45	5.07E+00	5.07E+00
V46	6.22E+00	6.22E+00
V47	1.98E+01	1.98E+01
V48	8.10E+00	8.10E+00
V49	1.11E+01	1.11E+01
V50	6.18E+00	6.18E+00
V51	1.19E+01	1.19E+01
V52	7.75E+00	7.75E+00
V53	2.49E+01	2.49E+01
V54	5.38E+00	5.38E+00
V55	3.70E+01	3.70E+01
V56	9.82E+00	9.82E+00
V57	2.26E+00	2.26E+00
V58	1.52E+01	1.52E+01
V59	1.66E+01	1.66E+01
V60	1.82E+01	1.82E+01
V61	8.22E+00	8.22E+00
V62	4.50E+01	4.50E+01
V63	3.22E+01	3.22E+01
V64	8.54E+00	8.54E+00
V65	2.44E+00	2.44E+00
V66	4.30E+00	4.30E+00
V67	3.91E+01	3.91E+01
V68	1.89E+01	1.89E+01
V69	1.33E+01	1.33E+01
V70	3.97E+01	3.97E+01
V71	7.00E+00	7.00E+00
V72	3.72E+00	3.72E+00
V73	4.74E+00	4.74E+00
V74	2.57E+00	2.57E+00
V75	8.31E+00	8.31E+00
V76	2.12E+01	2.12E+01
V77	4.41E+00	4.41E+00
V78	8.58E+00	8.58E+00
V79	5.74E+00	5.74E+00
V80	5.58E+00	5.58E+00
V81	1.73E+00	1.73E+00
V82	2.46E+01	2.46E+01
V83	6.36E+00	6.36E+00
V84	2.10E+01	2.10E+01
V85	7.90E+00	7.90E+00
V86	1.12E+01	1.12E+01
V87	2.20E+01	2.20E+01
V88	5.40E+00	5.40E+00
V89	2.03E+01	2.03E+01
V90	1.89E+01	1.89E+01
V91	1.50E+01	1.50E+01
V92	1.41E+01	1.41E+01
V93	5.20E+00	5.20E+00
V94	1.05E+01	1.05E+01
V95	6.04E+00	6.04E+00
V96	8.31E+00	8.31E+00
V97	1.50E+01	1.50E+01
V98	2.80E+01	2.80E+01
V99	2.11E+00	2.11E+00
V100	6.14E+00	6.14E+00
