Samples	ID83A	ID83B	ID83C
V1	1.34E+01	1.85E+01	8.11E+00
V2	4.80E+00	3.27E+01	3.18E+01
V3	8.88E+00	5.04E+00	7.81E+00
V4	3.89E+00	8.60E+00	1.01E+01
V5	2.78E+00	2.12E+00	2.65E+00
V6	2.19E+00	1.61E+01	1.63E+01
V7	1.10E+01	7.34E+00	4.71E+00
V8	5.91E+00	8.97E+00	4.93E+00
V9	7.20E+00	1.10E+01	6.21E+00
V10	3.84E+00	1.18E+01	1.35E+01
V11	8.00E-01	5.30E+00	5.40E+00
V12	5.95E+00	6.74E+00	4.76E+00
V13	3.06E-01	7.36E+00	7.30E+00
V14	8.14E-01	2.02E+01	1.99E+01
V15	3.84E+00	1.38E+01	1.17E+01
V16	5.53E+00	1.22E+01	1.18E+01
V17	3.05E+00	4.81E+00	4.92E+00
V18	4.38E+00	8.45E+00	8.53E+00
V19	3.18E+00	2.99E+00	1.41E+00
V20	1.65E+00	1.41E+01	1.28E+01
V21	7.11E+00	6.50E+00	4.02E+00
V22	8.62E+00	1.69E+01	1.44E+01
V23	1.24E+00	7.94E+00	7.71E+00
V24	1.08E+01	1.45E+01	7.50E+00
V25	1.11E+01	1.74E+01	1.39E+01
V26	2.15E+00	6.81E+00	6.85E+00
V27	1.89E+00	1.75E+01	1.73E+01
V28	3.76E+00	2.44E+01	2.33E+01
V29	2.76E+00	4.14E+01	4.28E+01
V30	2.27E+01	2.57E+01	6.08E+00
V31	7.57E-01	2.83E+00	2.26E+00
V32	1.30E+00	5.10E+00	5.65E+00
V33	3.09E+00	3.77E+00	3.29E+00
V34	1.70E+00	1.17E+01	1.07E+01
V35	3.68E+00	1.22E+01	9.72E+00
V36	2.96E+00	1.38E+01	1.31E+01
V37	6.55E+00	1.40E+00	7.80E+00
V38	1.96E+00	1.96E+00	1.60E+00
V39	4.49E+00	1.68E+01	1.55E+01
V40	2.26E+00	2.04E+01	1.91E+01
V41	3.98E+00	5.67E+01	5.60E+01
V42	5.16E-01	2.74E+01	2.74E+01
V43	9.29E+00	2.06E+01	1.75E+01
V44	3.27E+00	9.17E-01	2.67E+00
V45	1.00E-01	3.23E+01	3.22E+01
V46	1.75E+00	7.12E+00	5.88E+00
V47	3.04E+00	1.68E+01	1.63E+01
V48	1.39E+00	2.88E+01	2.88E+01
V49	3.01E+00	6.41E+00	8.30E+00
V50	1.40E+00	2.48E+00	2.27E+00
V51	7.18E+00	9.39E+00	1.06E+01
V52	6.05E+00	3.10E+01	3.16E+01
V53	1.06E+01	1.27E+01	3.35E+00
V54	1.04E+01	1.15E+01	1.07E+01
V55	4.28E+00	1.27E+01	1.27E+01
V56	9.46E-01	4.65E+00	4.05E+00
V57	2.30E+00	2.19E+01	2.06E+01
V58	4.41E+00	1.36E+01	1.33E+01
V59	1.73E+00	2.09E+01	2.11E+01
V60	1.98E+00	2.19E+01	2.13E+01
V61	1.35E+01	4.08E+01	3.44E+01
V62	8.72E-01	1.26E+01	1.26E+01
V63	1.45E+01	2.14E+01	1.47E+01
V64	5.74E+00	6.87E+00	1.59E+00
V65	3.65E+00	1.39E+01	1.32E+01
V66	2.62E+01	2.81E+01	3.19E+00
V67	2.34E+00	3.23E+01	3.27E+01
V68	0.00E+00	1.34E+01	1.34E+01
V69	1.31E+00	2.10E+00	1.66E+00
V70	7.51E+00	4.55E+00	4.97E+00
V71	3.39E+00	7.58E+00	6.32E+00
V72	1.70E+00	2.63E+01	2.50E+01
V73	1.97E+00	2.14E+01	2.02E+01
V74	9.60E-01	1.16E+01	1.13E+01
V75	2.95E+00	5.03E+01	4.95E+01
V76	6.34E+00	1.86E+01	1.62E+01
V77	3.26E+00	6.72E+00	5.18E+00
V78	2.99E+00	2.80E+00	4.13E+00
V79	8.85E+00	1.14E+01	6.97E+00
V80	2.58E+00	2.75E+01	2.65E+01
V81	1.01E+01	3.73E+01	3.40E+01
V82	5.47E+00	5.98E+00	5.80E+00
V83	2.96E+00	2.59E+00	9.60E-01
V84	2.59E+00	1.25E+01	1.27E+01
V85	8.15E+00	1.20E+01	1.30E+01
V86	6.54E+00	1.80E+01	1.51E+01
V87	4.53E+00	1.86E+01	1.94E+01
V88	3.27E+00	3.97E+00	1.33E+00
V89	2.41E+00	4.66E+00	3.30E+00
V90	3.86E+00	2.48E+00	1.93E+00
V91	2.39E+00	2.08E+01	1.95E+01
V92	1.27E+01	1.20E+01	3.30E+00
V93	2.09E+00	1.71E+01	1.61E+01
V94	1.86E+00	3.66E+00	3.46E+00
V95	1.90E+00	2.15E+01	2.12E+01
V96	1.11E+00	2.72E+01	2.72E+01
V97	2.72E+00	4.16E+00	3.42E+00
V98	3.17E+00	1.16E+01	1.08E+01
V99	3.84E+00	8.39E+00	8.09E+00
V100	8.03E+00	8.94E+00	1.03E+00
