Samples	ID83A	ID83B	ID83C
V1	122	202	0
V2	100	259	27
V3	138	162	171
V4	37	158	44
V5	61	0	167
V6	42	141	13
V7	65	121	28
V8	88	108	0
V9	243	71	54
V10	73	232	55
V11	4	26	79
V12	83	21	106
V13	0	30	85
V14	21	151	31
V15	140	86	66
V16	51	147	32
V17	26	60	45
V18	281	0	163
V19	198	12	29
V20	11	207	0
V21	319	79	15
V22	156	185	387
V23	35	114	147
V24	291	89	32
V25	39	238	48
V26	19	30	106
V27	25	207	0
V28	208	151	26
V29	33	352	101
V30	120	221	6
V31	2	10	83
V32	4	75	69
V33	123	0	112
V34	13	56	72
V35	64	109	27
V36	102	85	31
V37	168	0	670
V38	171	0	24
V39	57	119	11
V40	12	278	0
V41	87	377	51
V42	0	183	48
V43	138	137	101
V44	187	0	46
V45	0	266	57
V46	12	0	379
V47	41	128	227
V48	8	207	88
V49	31	0	317
V50	23	29	25
V51	305	0	569
V52	211	215	34
V53	359	69	1
V54	248	102	13
V55	128	85	21
V56	5	0	121
V57	206	70	333
V58	348	95	14
V59	23	229	29
V60	39	108	94
V61	449	96	209
V62	3	88	12
V63	52	232	84
V64	27	59	0
V65	46	121	63
V66	228	141	3
V67	19	231	100
V68	0	139	0
V69	8	28	15
V70	519	76	62
V71	88	42	81
V72	4	47	418
V73	56	123	222
V74	2	123	14
V75	62	305	42
V76	147	138	24
V77	37	40	81
V78	79	18	92
V79	119	119	128
V80	87	156	62
V81	121	279	18
V82	193	0	135
V83	40	22	0
V84	38	0	356
V85	422	103	70
V86	138	148	12
V87	241	91	141
V88	96	27	0
V89	45	0	147
V90	210	40	0
V91	21	133	197
V92	305	73	39
V93	23	115	58
V94	32	0	46
V95	10	0	310
V96	15	268	28
V97	46	20	34
V98	236	39	83
V99	43	112	8
V100	486	17	2
