MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
1:Del:C:0	0.0006619290772505338	4.835785148316063e-07	1.4012984643248171e-46	0.020184110291302203	0.009421279485286505	0.009747708030045033	0.04459107238941685	0.3977967441082001	0.275542126595974	0.2432738445699215	0.01283362926915288	0.01602418368884173	0.019325801357626914	0.028629241697490215	0.1134535975754261	0.04149048123508692	0.04749569334089756
1:Del:C:1	0.0006119402367176008	1.94689212307253e-07	0.0	0.015688665304332973	0.002042538346722722	0.01488686048735417	0.007383321411907673	0.05070660702376699	0.05461679995059967	0.19924047887325286	0.008206107890759994	0.0029080942505970596	0.0006516891531646252	0.0077771564014256	0.10869402885437011	0.03540884293615818	0.009696380142122507
1:Del:C:2	0.2860326726437091	3.376551092060254e-08	3.3368628749030904e-07	0.0018320350105796024	0.0015875551774485078	0.0022827131673693658	0.003717623359159461	1.769825018982374e-07	0.0021092638373374937	4.203895392974451e-46	0.5594583660364151	0.007667556742603665	0.004919448702480622	2.4854941045759917e-06	0.0021203675365086385	0.013850833475589752	0.007443005757295396
1:Del:C:3	0.0008406471378634706	0.0002387194028472095	0.0	0.0006862152657504339	0.0	0.007152463910279039	0.01470467196777463	0.030152713879942894	0.02599587682634592	0.008171361172571778	0.009081887267529964	0.0061301601293962445	0.004044479504227638	0.001656055969613135	0.0020370780862322135	0.03791828634414287	0.008407220989465714
1:Del:C:4	0.0	5.393338824433158e-08	0.0018328338101440522	0.0011633655056357383	0.0015801089526576106	0.00037466317880898716	0.00047240150161087513	0.011409559508319945	0.00886211944743991	0.010973535561061	0.015562148485332727	0.001284091966226697	0.012735698372125626	0.011599841667339206	0.0017469633370637895	0.0008632521134359194	0.0033133918419480323
1:Del:C:5	5.105903255753219e-06	0.00041892159356393677	0.022263651156919195	8.956571377893851e-08	0.0	0.0	0.0024885138172209055	0.00165335753117688	0.0008728313725441695	0.009450615396397665	0.00038507374024447926	0.00489362514927052	2.740591380359092e-05	0.01380894910544157	0.002314807163202204	0.02668075361289084	0.013301939144730568
1:Del:T:0	0.0	0.0	0.007049751290622908	0.01656096437945962	0.0034943207632750274	0.028275915142148732	0.015114048146642745	0.14421698600053787	0.07086992841213942	0.07189312995615182	4.948420155415079e-07	0.008063672855496407	0.05903508067131043	0.01767802070826292	0.07177337519824505	0.029749979480038748	0.01886770928857686
1:Del:T:1	1.4012984643248171e-46	0.0	0.0004205602686852217	0.013021742057753726	0.0005015891872119482	0.0045331691857427355	0.015064434346459165	0.036213077651336786	0.01314749753405522	0.028360567021400128	0.00023430965375155212	0.005451974373585244	0.013102950471420627	0.007033544220030307	0.03906753980436406	0.011869273248316858	0.010719488929930776
1:Del:T:2	0.0004691079875669857	4.3914653815591007e-07	0.00277464697137475	0.0009037332609295845	0.0009824767521138256	0.014198566389410416	0.0036986688990367613	0.06613997324791399	0.11705386954708956	0.03617823166475773	0.001465910172510121	0.001461547054350376	0.008582618460059166	0.024686958174424945	0.021079248003661632	0.01926516517996788	0.0034407333361286875
1:Del:T:3	4.753344455821207e-07	0.004448316991329193	0.013261157870846318	0.002278161607682705	0.00028277614500211713	0.015616501867771148	0.006787518877536059	0.062275065761059525	0.21241190284490585	0.06395959928631782	0.0009457429096755732	0.0065607830416411165	0.004954078700393438	0.011397568874053831	0.026412651501595975	0.03238337641078033	0.006057222783056204
