NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	59.68	24.526	14.269	15.925	0.131	0.981	30000.0
2	61.81	25.505	14.58	16.545	0.132	0.981	40000.0
3	61.191	25.262	14.794	16.855	0.127	0.981	30000.0
4	60.807	24.921	14.466	16.203	0.131	0.983	40000.0
5	62.273	25.335	14.801	16.643	0.134	0.981	30000.0
6	59.846	24.758	14.072	16.178	0.132	0.982	40000.0
7	61.03	24.601	14.642	16.154	0.128	0.982	30000.0
8	61.907	25.49	14.718	16.733	0.13	0.981	70000.0
9	62.462	25.621	14.947	16.644	0.137	0.981	70000.0
10	63.086	25.359	15.492	16.881	0.131	0.981	40000.0
