MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
3:Ins:R:0	3.95E-08	1.40E-08	1.55E-04	2.72E-04	7.90E-09	5.45E-04	1.57E-08
3:Ins:R:1	2.12E-04	8.19E-04	6.24E-05	4.59E-04	1.07E-08	3.03E-03	2.66E-08
3:Ins:R:2	1.20E-08	1.75E-08	1.59E-08	1.40E-04	8.11E-05	6.86E-05	3.25E-08
3:Ins:R:3	1.41E-04	6.10E-07	2.30E-04	1.98E-04	1.11E-03	7.91E-03	8.53E-06
3:Ins:R:4	3.63E-08	7.92E-05	2.30E-08	9.32E-05	3.20E-08	3.90E-04	1.78E-04
3:Ins:R:5	2.09E-04	3.02E-05	2.03E-04	0.00E+00	2.21E-05	1.11E-04	1.46E-04
4:Ins:R:0	1.59E-08	4.93E-07	7.13E-09	7.64E-05	1.51E-08	2.00E-04	1.08E-04
4:Ins:R:1	8.55E-05	2.60E-04	3.39E-04	1.61E-04	9.31E-09	1.27E-08	1.95E-04
4:Ins:R:2	6.09E-05	3.73E-08	9.12E-05	5.22E-08	1.57E-07	4.82E-05	8.19E-08
4:Ins:R:3	7.38E-09	2.70E-04	2.25E-04	1.32E-07	7.14E-03	8.16E-03	2.32E-08
4:Ins:R:4	9.25E-05	9.08E-05	1.75E-07	2.54E-09	1.67E-08	4.41E-05	4.90E-08
4:Ins:R:5	2.78E-04	7.17E-05	1.74E-04	2.16E-04	9.66E-05	8.68E-04	3.31E-09
5:Ins:R:0	4.21E-08	3.38E-08	9.08E-05	1.39E-04	4.39E-08	7.85E-05	8.49E-08
5:Ins:R:1	1.42E-04	5.12E-05	1.98E-04	4.65E-04	0.00E+00	2.26E-03	4.45E-04
5:Ins:R:2	3.91E-08	2.18E-08	3.20E-08	5.32E-05	3.57E-08	6.26E-08	8.65E-08
5:Ins:R:3	7.00E-05	3.54E-08	3.47E-08	5.47E-08	3.93E-08	9.80E-08	6.38E-08
5:Ins:R:4	6.89E-05	2.45E-08	2.59E-08	3.69E-08	2.95E-08	6.61E-08	8.64E-05
5:Ins:R:5	3.54E-09	5.23E-05	1.14E-06	1.18E-08	8.59E-05	2.53E-07	3.11E-08
2:Del:M:1	5.36E-04	0.00E+00	2.83E-04	5.34E-04	2.27E-04	4.90E-04	7.62E-04
3:Del:M:1	4.67E-05	2.91E-04	2.32E-04	8.51E-04	2.21E-04	3.36E-03	6.07E-04
3:Del:M:2	2.93E-04	1.30E-04	5.08E-04	5.45E-04	0.00E+00	1.66E-03	9.18E-04
4:Del:M:1	5.56E-09	1.76E-08	1.98E-04	5.25E-04	1.07E-04	2.79E-04	3.68E-04
4:Del:M:2	1.99E-04	1.21E-08	5.22E-04	0.00E+00	1.07E-04	6.16E-04	4.00E-04
4:Del:M:3	7.85E-05	1.13E-08	1.01E-04	1.94E-04	7.27E-05	4.83E-04	3.85E-04
5:Del:M:1	5.56E-04	4.41E-04	0.00E+00	9.72E-03	0.00E+00	4.83E-03	4.03E-03
5:Del:M:2	1.76E-04	0.00E+00	8.40E-09	3.71E-03	4.23E-04	1.86E-02	1.59E-03
5:Del:M:3	2.95E-04	6.06E-05	5.14E-05	1.16E-03	2.52E-04	5.02E-03	2.14E-03
5:Del:M:4	1.61E-08	2.13E-04	3.04E-04	6.97E-04	1.97E-04	2.11E-03	4.20E-05
5:Del:M:5	4.61E-05	3.96E-05	4.95E-04	1.28E-03	3.14E-05	4.28E-03	5.80E-05
