MutationType	ID1	ID2	ID8	ID9	ID14	ID83F	ID83G
4:Ins:R:1	0.00074438	0.00120373	0.00110390	0.00071557	0.00132693	0.00086835	0.00029920
4:Ins:R:2	0.00007550	0.00001220	0.00007990	0.00004240	0.00008450	0.00000012	0.00011540
4:Ins:R:3	0.00015754	0.00013417	0.00000858	0.00002150	0.00071385	0.00000019	0.00008118
4:Ins:R:4	0.00031965	0.00024939	0.00020551	0.00000000	0.00166501	0.00000001	0.00008962
4:Ins:R:5	0.00100132	0.00219354	0.00088523	0.00000218	0.00027445	0.00025746	0.00027535
5:Ins:R:0	0.00000000	0.00000000	0.00031833	0.00016585	0.00271214	0.00025679	0.00036394
5:Ins:R:1	0.00144313	0.00013566	0.00976111	0.00125400	0.02645553	0.00054879	0.00527106
5:Ins:R:2	0.00025483	0.00000553	0.00010115	0.00010285	0.00048831	0.00021381	0.00000007
5:Ins:R:3	0.00023709	0.00009770	0.00007090	0.00008020	0.00010383	0.00000013	0.00014710
5:Ins:R:4	0.00026187	0.00000215	0.00000674	0.00005050	0.00015759	0.00000004	0.00012026
5:Ins:R:5	0.00011983	0.00011563	0.00019055	0.00000989	0.00002150	0.00000022	0.00000014
2:Del:M:1	0.00119782	0.00017555	0.00491367	0.00390097	0.00264093	0.00002991	0.00089447
3:Del:M:1	0.00008190	0.00000055	0.00929034	0.00301133	0.00157517	0.00039258	0.00724253
3:Del:M:2	0.00147959	0.00294406	0.00430269	0.00154330	0.00323693	0.00012703	0.00268938
4:Del:M:1	0.00008380	0.00014700	0.00580955	0.00192772	0.00000820	0.00027002	0.00500425
4:Del:M:2	0.00014548	0.00055061	0.00159159	0.00329745	0.00095049	0.00010060	0.00142039
4:Del:M:3	0.00016068	0.00069357	0.00109834	0.00254408	0.00223043	0.00016231	0.00160966
5:Del:M:1	0.00000082	0.00062496	0.28072426	0.00003540	0.00655171	0.55874467	0.00000186
5:Del:M:2	0.00000000	0.00011771	0.12361016	0.00022124	0.00449863	0.00060596	0.05239238
5:Del:M:3	0.00000000	0.00005670	0.04613041	0.00057091	0.00140449	0.00005948	0.02177190
5:Del:M:4	0.00003880	0.00046284	0.01636726	0.00044831	0.00010014	0.00018306	0.01104892
5:Del:M:5	0.00066512	0.00236732	0.01281488	0.00000000	0.00093151	0.00036888	0.00521286
