NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	57.493	22.677	14.07	14.829	0.12	0.984	50000.0
2	61.14	23.746	14.926	15.167	0.126	0.985	40000.0
3	58.317	22.85	13.904	14.572	0.121	0.985	30000.0
4	59.305	23.429	14.931	15.397	0.123	0.984	50000.0
5	58.686	23.126	13.993	14.591	0.123	0.986	60000.0
6	60.864	23.772	14.924	15.318	0.126	0.985	30000.0
7	59.643	23.636	14.809	15.737	0.125	0.982	30000.0
8	59.9	23.375	14.514	14.828	0.128	0.985	60000.0
9	62.239	24.526	15.477	16.045	0.127	0.983	40000.0
10	59.297	23.38	14.66	15.315	0.122	0.983	40000.0
