De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-A, Signature 83-A, 0, 0, 0, 1, 1
Signature 83-B, Signature ID2 (100.00%), 6.54,  1.59, 0.109, 1.00, 1.00
Signature 83-C, Signature ID9 (100.00%), 13.50,  10.66, 0.408, 0.99, 0.99
Signature 83-D, Signature ID1 (100.00%), 5.95,  1.24, 0.125, 1.00, 1.00
Signature 83-E, Signature ID8 (100.00%), 47.80,  49.16, 0.177, 0.87, 0.86
Signature 83-F, Signature 83-F, 0, 0, 0, 1, 1
