MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
2:Ins:R:0	1.01E-08	0.00E+00	1.65E-04	3.23E-05	7.47E-05	5.27E-04	1.89E-03	3.81E-05
2:Ins:R:1	5.46E-09	7.81E-05	8.81E-05	3.87E-05	2.81E-04	3.21E-04	8.02E-04	0.00E+00
2:Ins:R:2	2.99E-05	8.60E-09	3.31E-09	1.68E-04	2.39E-04	0.00E+00	3.56E-04	9.39E-04
2:Ins:R:3	1.22E-04	1.25E-08	1.11E-04	9.96E-05	1.83E-04	1.30E-04	6.70E-05	5.04E-04
2:Ins:R:4	6.48E-04	7.28E-09	1.83E-04	4.15E-04	1.07E-04	0.00E+00	2.69E-03	2.17E-03
2:Ins:R:5	1.30E-03	0.00E+00	3.69E-04	1.83E-03	2.31E-04	5.39E-04	3.55E-03	8.76E-03
3:Ins:R:0	8.10E-05	3.39E-05	2.68E-08	7.72E-09	3.72E-08	1.18E-04	1.18E-04	3.22E-04
3:Ins:R:1	5.67E-05	3.72E-04	5.41E-05	1.69E-04	3.99E-04	0.00E+00	1.01E-03	8.36E-04
3:Ins:R:2	2.97E-07	1.17E-05	2.13E-05	1.09E-04	2.84E-05	9.74E-09	1.63E-04	2.07E-04
3:Ins:R:3	2.67E-08	1.64E-04	2.86E-08	2.66E-08	4.47E-08	1.88E-08	4.42E-07	3.19E-04
3:Ins:R:4	1.02E-08	1.24E-08	4.56E-09	1.10E-08	1.17E-08	2.79E-08	1.31E-07	5.56E-08
3:Ins:R:5	3.93E-05	1.00E-04	0.00E+00	3.59E-04	3.88E-04	2.55E-04	1.39E-03	3.17E-04
4:Ins:R:0	1.77E-05	1.06E-07	1.44E-04	6.67E-05	2.45E-08	2.60E-04	1.62E-03	6.29E-04
4:Ins:R:1	2.29E-04	1.07E-04	1.42E-04	1.99E-04	8.54E-05	0.00E+00	2.10E-03	3.90E-04
4:Ins:R:2	5.35E-08	8.39E-08	2.13E-03	9.99E-08	6.39E-08	1.31E-04	2.98E-07	6.50E-02
4:Ins:R:3	4.58E-05	4.83E-08	3.68E-07	6.87E-08	5.95E-08	5.60E-05	8.65E-08	1.24E-04
4:Ins:R:4	1.12E-04	1.97E-08	1.53E-08	7.70E-05	1.39E-08	7.77E-09	5.40E-04	1.68E-04
4:Ins:R:5	2.33E-04	1.64E-04	1.26E-04	3.99E-04	1.44E-08	3.49E-04	2.98E-04	4.76E-03
5:Ins:R:0	3.52E-08	5.20E-08	3.10E-08	5.78E-08	1.78E-08	1.60E-04	1.52E-07	6.72E-08
5:Ins:R:1	3.28E-04	1.47E-04	8.21E-05	4.95E-04	3.35E-04	1.21E-03	3.65E-03	3.87E-03
5:Ins:R:2	6.95E-05	6.11E-09	1.64E-07	1.08E-04	1.22E-07	0.00E+00	1.51E-04	1.26E-08
5:Ins:R:3	3.29E-08	5.55E-05	2.62E-08	6.27E-08	6.92E-08	3.45E-08	9.50E-08	1.19E-07
5:Ins:R:4	4.51E-08	9.18E-05	2.14E-05	6.56E-08	9.94E-05	4.63E-08	1.61E-05	7.35E-05
5:Ins:R:5	4.36E-08	4.44E-08	8.43E-08	7.66E-05	2.16E-07	4.09E-08	3.81E-04	1.32E-04
2:Del:M:1	5.49E-04	0.00E+00	1.10E-04	2.50E-04	6.63E-04	6.65E-04	1.97E-03	6.94E-04
3:Del:M:1	1.76E-04	7.34E-05	1.75E-04	0.00E+00	6.58E-04	1.36E-03	2.41E-03	5.01E-04
3:Del:M:2	9.45E-05	2.17E-04	1.60E-04	4.04E-04	7.05E-04	8.14E-04	2.85E-03	6.67E-04
4:Del:M:1	2.52E-08	8.92E-06	2.03E-05	2.16E-08	9.99E-05	6.39E-04	6.81E-04	4.01E-04
4:Del:M:2	8.44E-09	1.04E-08	4.54E-05	3.37E-04	3.78E-04	4.23E-05	2.54E-03	8.34E-05
4:Del:M:3	2.26E-04	4.20E-04	2.23E-04	2.70E-04	3.57E-04	0.00E+00	1.16E-03	9.51E-04
5:Del:M:1	1.15E-04	8.45E-04	0.00E+00	1.08E-03	1.10E-07	1.27E-02	4.38E-02	5.89E-03
5:Del:M:2	3.42E-04	1.17E-07	2.83E-04	4.61E-04	2.99E-46	9.70E-03	3.31E-02	2.92E-03
5:Del:M:3	5.70E-09	4.16E-04	3.65E-04	4.16E-08	0.00E+00	2.09E-03	4.49E-03	7.66E-04
5:Del:M:4	3.48E-09	4.95E-06	1.71E-04	0.00E+00	4.12E-04	1.59E-03	3.50E-03	2.23E-06
5:Del:M:5	0.00E+00	0.00E+00	3.63E-04	4.28E-04	4.96E-04	1.55E-03	5.52E-03	1.67E-03
