Sample Names	MutationType	ID1	ID2	ID8	ID9	ID20	ID83E
V1	1:Del:C:0	0.0	0.0	0.0418680386003939	0.9541905000754759	0.0	0.003941461324130052
V1	1:Del:C:1	0.0	0.0	0.08043009733221225	0.9113294173895378	0.0	0.008240485278250047
V1	1:Del:C:2	0.0	0.0	0.3135456771194366	0.6864543228805634	0.0	0.0
V1	1:Del:C:3	0.0	0.0	0.15418151560379645	0.8216753871286351	0.0	0.024143097267568504
V1	1:Del:C:4	0.0	0.0	0.03490328876574951	0.9265873906875852	0.0	0.03850932054666515
V1	1:Del:C:5	0.0	0.0	0.02464789386603106	0.003204839411100115	0.0	0.9721472667228689
V1	1:Del:T:0	0.0	0.0	0.10650821219361264	0.8859246480429606	0.0	0.007567139763426782
V1	1:Del:T:1	0.0	0.0	0.0792953313138916	0.9106588894402015	0.0	0.010045779245906872
V1	1:Del:T:2	0.0	0.0	0.03712858622565695	0.9607728766321195	0.0	0.002098537142223475
V1	1:Del:T:3	0.0	0.0	0.030652935895610786	0.9575193801587352	0.0	0.011827683945654014
V1	1:Del:T:4	0.0	0.0	0.004925273861089221	0.9893178313735307	0.0	0.005756894765380077
V1	1:Del:T:5	0.0	0.0	0.80821849752335	0.19176328638069576	0.0	1.8216095954340884e-05
V1	1:Ins:C:0	0.0	0.0	0.9624156155775158	5.10444583094187e-15	0.0	0.037584384422479286
V1	1:Ins:C:1	0.0	0.0	0.9975945447219543	0.0024054552780457122	0.0	0.0
V1	1:Ins:C:2	0.0	0.0	0.41394413763803795	0.25904942114052104	0.0	0.327006441221441
V1	1:Ins:C:3	0.0	0.0	0.13272631254830722	1.6699681961673017e-14	0.0	0.8672736874516761
V1	1:Ins:C:4	0.0	0.0	0.989466991264022	0.010451433350830295	0.0	8.157538514766694e-05
V1	1:Ins:C:5	0.0	0.0	0.7102113125638406	0.2897886874361593	0.0	0.0
V1	1:Ins:T:0	0.0	0.0	0.11126076829008791	0.8437211800801175	0.0	0.0450180516297946
V1	1:Ins:T:1	0.0	0.0	0.14747908962918524	0.8525209103708148	0.0	0.0
V1	1:Ins:T:2	0.0	0.0	0.18537347473484392	0.8133531918173453	0.0	0.0012733334478108255
V1	1:Ins:T:3	0.0	0.0	0.18190060719298398	0.7258047046591604	0.0	0.0922946881478558
