MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
5:Del:R:3	8.68E-08	2.42E-07	2.94E-02	1.04E-07	7.81E-07	9.23E-08	1.91E-07	6.65E-08	1.59E-07	2.04E-07	4.15E-02	2.34E-06	6.39E-08	5.78E-07	6.58E-07
5:Del:R:4	3.24E-08	4.08E-08	3.57E-08	6.63E-08	6.55E-08	8.09E-07	8.34E-05	2.45E-04	1.07E-07	9.65E-08	8.22E-08	6.72E-08	2.98E-07	6.84E-08	6.13E-07
5:Del:R:5	3.46E-08	3.72E-08	3.92E-08	5.48E-08	5.66E-08	6.86E-08	3.96E-07	1.04E-04	8.96E-08	7.76E-07	1.03E-07	6.12E-08	1.46E-04	3.50E-04	1.26E-07
2:Ins:R:0	7.78E-05	9.18E-05	0.00E+00	0.00E+00	1.07E-07	1.11E-04	5.87E-04	1.12E-03	2.08E-04	1.40E-03	0.00E+00	6.88E-04	1.18E-03	2.43E-03	8.20E-05
2:Ins:R:1	1.10E-08	9.32E-05	5.20E-04	6.47E-04	1.62E-04	4.77E-09	0.00E+00	7.46E-04	2.23E-04	4.16E-04	0.00E+00	6.94E-04	6.84E-08	0.00E+00	1.45E-04
2:Ins:R:2	9.20E-05	5.22E-05	3.42E-04	0.00E+00	2.52E-05	3.71E-08	2.86E-04	0.00E+00	4.68E-04	2.34E-03	5.75E-04	2.17E-04	6.68E-04	0.00E+00	4.25E-04
2:Ins:R:3	7.76E-05	2.97E-04	6.34E-08	2.15E-07	8.20E-05	1.98E-08	1.47E-04	1.62E-05	8.87E-04	3.41E-04	0.00E+00	2.06E-03	2.92E-07	4.20E-04	2.47E-03
2:Ins:R:4	8.18E-04	9.94E-05	6.00E-10	9.00E-09	5.54E-05	3.49E-08	0.00E+00	3.99E-04	0.00E+00	1.08E-03	0.00E+00	4.45E-03	1.35E-07	1.78E-03	8.65E-08
2:Ins:R:5	3.07E-03	3.71E-03	1.45E-04	1.40E-46	2.65E-03	4.45E-08	0.00E+00	0.00E+00	4.14E-04	4.45E-05	0.00E+00	1.56E-02	1.30E-03	1.32E-02	3.60E-02
3:Ins:R:0	4.65E-08	3.97E-05	2.59E-08	4.53E-07	6.22E-05	6.99E-08	0.00E+00	1.38E-07	4.00E-04	1.65E-07	5.87E-08	6.56E-08	1.04E-04	5.14E-05	7.10E-04
