Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
V1	1.57E+01	7.33E-01	9.71E-01	1.89E+00	3.59E-01	2.60E+00	3.71E-01	2.86E+00	3.23E+00	3.17E+00	1.59E+01
V2	9.59E+00	2.06E+01	2.22E+01	8.56E-01	1.90E+00	1.40E+01	3.42E+00	1.51E+01	1.59E+01	1.09E+01	1.06E+01
V3	3.85E+00	1.96E+00	2.38E+00	0.00E+00	0.00E+00	0.00E+00	4.77E+00	1.00E-01	5.23E+00	6.67E-01	4.06E+00
V4	1.46E+01	1.30E+00	8.17E-01	1.90E+00	4.22E+00	1.40E+00	7.02E+00	5.06E+00	5.42E+00	2.92E+00	1.72E+01
V5	2.75E+00	3.59E+00	4.23E+00	5.21E-01	5.47E-01	2.85E+00	6.11E-01	1.91E+00	1.71E+00	1.96E+00	2.37E+00
V6	4.79E+00	1.52E+00	1.49E+00	2.76E+00	4.94E+00	1.39E+01	3.74E+00	1.16E+01	1.16E+01	9.97E+00	5.60E+00
V7	8.06E-01	9.31E-01	6.57E-01	2.33E+00	0.00E+00	5.22E+00	0.00E+00	3.27E+00	5.21E+00	2.52E+00	1.41E+00
V8	1.86E+00	3.83E+00	3.53E+00	2.08E+00	5.56E+00	1.12E+01	3.00E+00	1.16E+01	7.22E+00	5.49E+00	8.38E+00
V9	1.41E+00	4.47E-01	4.07E-01	1.13E+00	0.00E+00	0.00E+00	4.07E-01	0.00E+00	0.00E+00	0.00E+00	1.27E+00
V10	1.88E+00	1.11E+00	0.00E+00	1.45E+00	5.69E+00	6.60E+00	2.60E-01	7.38E+00	6.34E+00	3.12E+00	1.55E+00
V11	5.03E+00	3.78E+00	4.27E+00	5.54E-01	1.37E+01	6.67E-01	9.94E-01	1.35E+01	8.59E-01	2.21E-01	6.55E+00
V12	2.75E+00	0.00E+00	4.76E-01	0.00E+00	0.00E+00	3.27E-01	2.78E+00	0.00E+00	2.67E+00	3.94E-01	3.10E+00
V13	1.41E+00	2.96E+00	1.30E+00	1.38E+00	3.06E+01	7.95E+00	4.05E+00	2.57E+01	5.09E+00	5.67E+00	1.16E+01
V14	6.29E+00	1.18E+00	1.25E+00	1.48E+00	3.48E+00	2.21E+01	5.63E-01	1.36E+01	3.01E+01	1.31E+01	7.32E+00
V15	3.92E+00	2.36E+00	2.39E+00	5.22E-01	6.98E+00	2.32E+00	4.99E+00	4.63E+00	3.98E+00	1.49E+00	8.02E+00
V16	1.27E+01	2.18E+00	1.93E+00	1.67E+00	1.28E+00	8.70E-01	1.25E+00	8.88E-01	1.30E+00	1.79E+00	1.22E+01
V17	3.27E-01	1.59E+01	1.49E+01	1.00E-01	1.02E+00	2.56E+00	7.31E-01	6.18E-01	2.30E+00	0.00E+00	1.20E+00
V18	7.33E+00	1.10E+00	5.54E-01	9.36E-01	9.13E+00	3.26E+00	9.02E+00	6.90E+00	5.26E+00	0.00E+00	7.10E+00
V19	6.56E+00	3.06E-01	8.44E-01	2.97E+00	2.55E+00	1.27E+00	4.07E-01	2.45E+00	0.00E+00	1.46E+00	6.44E+00
V20	1.73E+01	0.00E+00	2.49E-01	7.72E-01	0.00E+00	6.96E-01	3.00E-01	6.00E-01	0.00E+00	1.59E+00	1.85E+01
V21	4.45E+00	3.92E+00	3.55E+00	3.71E+00	4.14E+00	1.50E+00	1.08E+00	3.86E+00	8.23E-01	5.86E-01	5.68E+00
V22	5.10E+00	2.50E+00	1.47E+00	1.13E+00	4.06E+00	3.66E+00	1.40E+00	3.41E+00	3.17E+00	4.14E+00	4.70E+00
V23	5.91E+01	8.34E+00	9.37E+00	1.20E+00	3.00E-01	1.08E+00	5.54E+00	4.61E+00	3.82E+00	8.96E+00	6.50E+01
V24	3.12E+00	7.01E+00	5.00E+00	5.93E-01	2.20E+00	4.11E+00	2.09E+00	1.71E+00	1.67E+00	4.01E+00	2.43E+00
V25	1.33E+00	6.26E+00	5.98E+00	3.38E+00	4.29E+00	1.63E+00	8.68E+00	5.54E+00	9.20E+00	3.65E-01	3.13E+00
V26	2.75E+00	2.18E+00	1.23E+00	1.79E+00	1.04E+01	2.00E+00	1.63E+00	9.70E+00	1.68E+00	1.49E+00	6.08E+00
V27	1.26E+01	1.51E+00	6.36E-01	9.87E-01	1.83E+00	5.70E+00	2.15E+00	4.53E+00	6.18E+00	4.71E+00	1.53E+01
V28	1.72E+01	8.47E-01	8.36E-01	1.87E+00	4.29E+00	5.67E-01	1.84E+00	5.03E+00	8.84E-01	5.59E+00	1.83E+01
V29	8.56E+00	1.96E+00	2.98E+00	1.18E+00	3.96E+00	1.15E+01	6.00E-01	7.58E+00	7.48E+00	8.65E+00	8.86E+00
V30	1.31E+00	3.38E+00	5.00E+00	8.47E-01	1.41E+00	7.10E+00	1.84E+01	8.55E+00	1.03E+01	7.14E+00	3.55E+00
V31	2.00E+00	3.10E+00	3.52E+00	2.68E+00	3.69E+00	3.48E-01	9.31E-01	2.96E+00	6.40E-01	4.27E-01	4.95E+00
V32	5.27E+00	1.58E+00	5.82E-01	0.00E+00	9.59E+00	1.52E+00	3.31E+00	8.72E+00	2.94E+00	9.17E-01	6.66E+00
V33	4.94E+00	3.23E+00	4.61E+00	1.84E+00	6.59E+00	2.52E+00	1.48E+01	7.77E+00	1.88E+01	2.22E+00	4.73E+00
V34	0.00E+00	5.47E-01	8.46E-01	1.36E+00	0.00E+00	0.00E+00	9.24E-01	0.00E+00	7.77E-01	0.00E+00	1.00E-01
V35	8.79E-01	7.15E+00	6.73E+00	3.88E+00	9.17E-01	7.10E+00	3.17E+00	4.60E+00	7.12E+00	4.14E+00	1.96E+00
V36	1.74E+00	1.17E+01	1.16E+01	2.50E+00	1.86E+00	2.11E+01	0.00E+00	1.79E+01	2.41E+01	1.13E+01	2.14E+00
V37	3.21E+00	1.66E+00	1.59E+00	6.53E-01	2.67E+00	1.22E+00	2.02E+00	2.70E+00	1.87E+00	1.00E-01	3.84E+00
V38	2.31E+01	9.48E-01	1.21E+00	2.89E+00	3.38E+00	1.47E+00	4.67E-01	3.21E+00	9.57E-01	2.59E+00	2.69E+01
V39	7.66E+00	9.94E-01	0.00E+00	1.27E+00	2.09E+00	3.23E+00	6.37E+00	2.03E+00	4.42E+00	2.02E+00	9.38E+00
V40	0.00E+00	0.00E+00	0.00E+00	5.62E-01	8.70E-01	6.50E-01	6.80E-01	9.94E-01	7.27E-01	3.06E-01	2.13E-01
V41	2.64E+00	1.00E-01	9.48E-01	1.38E+00	7.18E-01	2.79E+00	9.20E-01	1.63E+00	1.41E+00	1.37E+00	1.99E+00
V42	0.00E+00	2.63E+00	1.56E+00	1.14E+00	8.50E+00	2.57E+00	5.67E-01	9.33E+00	3.08E+00	2.34E+00	1.87E+00
V43	6.37E+00	7.01E+00	8.19E+00	1.62E+00	0.00E+00	2.17E+00	1.14E+00	4.00E-01	1.13E+00	1.19E+00	6.89E+00
V44	6.55E+00	1.07E+00	1.19E+00	1.35E+00	2.38E+00	1.94E+01	9.68E-01	2.03E+01	1.88E+01	1.31E+01	6.76E+00
V45	1.44E+01	3.27E-01	0.00E+00	8.23E-01	8.83E-01	2.21E-01	6.36E-01	4.67E-01	6.29E-01	2.74E+00	1.66E+01
