Samples	ID83A	ID83B	ID83C
V1	1.05E+01	1.11E+01	4.50E+00
V2	5.21E+01	5.73E+01	1.42E+01
V3	1.57E+01	1.69E+01	3.06E+00
V4	9.03E+00	1.01E+01	6.79E+00
V5	1.72E+01	1.97E+01	6.68E+00
V6	9.52E+00	1.11E+01	1.24E+01
V7	7.88E+01	3.54E+00	8.06E+01
V8	4.13E+00	6.81E+00	4.69E+00
V9	2.91E+01	3.30E+01	1.00E+01
V10	5.13E+01	8.94E-01	5.15E+01
V11	8.56E+00	9.82E+00	3.59E+00
V12	1.16E+01	1.12E+01	3.69E+00
V13	1.53E+01	8.33E+00	2.24E+01
V14	2.45E+01	2.41E+01	4.76E-01
V15	8.44E+01	5.33E-01	8.41E+01
V16	1.11E+01	5.36E+00	1.40E+01
V17	9.64E+00	2.81E+00	1.07E+01
V18	4.69E+00	1.05E+00	4.47E+00
V19	1.52E+01	1.52E+01	1.15E+00
V20	9.55E+00	9.17E+00	7.95E+00
V21	1.03E+01	5.28E+00	1.31E+01
V22	2.26E+01	2.25E+01	2.08E+00
V23	2.46E+01	2.52E+01	2.51E+00
V24	7.57E+00	6.88E+00	3.40E+00
V25	7.54E+00	3.99E+00	9.20E+00
V26	1.98E+01	2.17E+01	2.22E+00
V27	4.93E+01	2.27E+00	4.94E+01
V28	7.60E-01	1.28E+00	7.92E-01
V29	1.54E+01	1.37E+01	2.44E+01
V30	6.04E+00	1.43E+00	6.80E+00
V31	1.52E+01	1.50E+01	4.28E-01
V32	7.99E+00	8.81E+00	6.31E+00
V33	6.94E+00	7.81E+00	1.00E+00
V34	2.35E+01	2.13E+01	5.37E+00
V35	9.32E+00	8.37E+00	2.05E+00
V36	3.66E+01	3.65E+01	2.56E+00
V37	6.80E+00	7.57E+00	3.33E+00
V38	7.05E+00	1.04E+01	7.64E+00
V39	1.11E+01	6.06E+00	1.31E+01
V40	4.97E+00	7.61E+00	4.20E+00
V41	1.85E+01	1.85E+01	1.68E+01
V42	2.71E+00	2.55E+00	3.77E+00
V43	5.58E+01	1.04E+01	5.61E+01
V44	1.56E+01	1.64E+01	1.19E+00
V45	8.57E+00	9.77E+00	4.25E+00
V46	9.18E+00	7.34E+00	1.11E+01
V47	2.46E+01	1.18E+00	2.54E+01
V48	1.37E+01	1.36E+01	6.05E-01
V49	8.40E+01	1.15E+00	8.37E+01
V50	1.82E+01	7.17E+00	1.87E+01
V51	1.88E+01	1.78E+01	1.89E+00
V52	1.38E+01	1.47E+01	3.92E+00
V53	4.62E+01	4.40E+01	2.54E+00
V54	2.13E+00	4.19E+00	2.61E+00
V55	7.99E+00	8.18E+00	8.58E+00
V56	7.73E+00	4.84E+00	5.36E+00
V57	3.29E+00	2.40E+00	3.66E+00
V58	4.01E+01	4.17E+00	4.30E+01
V59	2.45E+01	2.45E+01	1.04E+00
V60	1.42E+01	1.45E+01	1.15E+01
V61	1.53E+01	1.62E+01	2.31E+00
V62	1.65E+01	7.10E+00	1.71E+01
V63	4.81E+00	6.65E+00	3.08E+00
V64	6.36E+00	6.14E+00	1.09E+01
V65	1.31E+01	1.28E+01	6.60E+00
V66	5.23E+00	6.81E+00	7.65E+00
V67	2.21E+01	2.20E+01	2.01E+00
V68	5.32E+00	1.79E+00	6.16E+00
V69	1.04E+01	1.09E+01	5.57E+00
V70	1.98E+00	1.87E+00	2.12E+00
V71	2.34E+00	2.48E+00	2.67E-01
V72	9.07E+00	1.08E+01	2.08E+00
V73	1.84E+01	1.83E+01	4.00E-01
V74	1.57E+01	5.07E+00	1.76E+01
V75	1.18E+01	1.39E+01	6.49E+00
V76	3.52E+00	4.35E+00	2.44E+00
V77	2.18E+01	2.27E+01	1.01E+01
V78	1.65E+01	6.19E+00	2.03E+01
V79	1.32E+00	2.02E+00	2.53E+00
V80	2.49E+01	1.66E+01	2.65E+01
V81	1.90E+01	7.81E+00	2.26E+01
V82	9.29E-01	1.56E+00	1.64E+00
V83	1.44E+01	9.56E+00	1.75E+01
V84	5.06E+00	4.72E+00	9.80E-01
V85	1.61E+00	9.45E-01	1.91E+00
V86	1.14E+01	3.61E+00	1.25E+01
V87	1.43E+01	7.47E+00	1.06E+01
V88	4.25E+00	5.13E+00	2.47E+00
V89	1.41E+01	1.47E+01	7.28E+00
V90	2.02E+01	2.24E+01	1.62E+01
V91	5.73E+00	5.11E+00	6.71E+00
V92	3.55E+01	3.73E+01	3.52E+00
V93	5.30E+00	3.44E+00	3.51E+00
V94	6.65E+00	7.73E+00	2.50E+00
V95	2.09E+00	2.03E+00	1.53E-01
V96	1.23E+01	1.60E+01	7.20E+00
V97	1.53E+01	1.56E+01	1.79E+00
V98	1.57E+01	1.81E+01	6.66E+00
V99	3.79E+01	4.10E+01	3.58E+00
V100	2.89E+00	3.10E+00	1.49E+00
