Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
V1	0.00E+00	2.54E+00	1.54E+01	1.40E+00	5.90E+00	0.00E+00	1.55E+01	0.00E+00	1.45E+01	0.00E+00	4.38E+00
V2	4.68E+00	0.00E+00	1.30E+01	2.86E+00	1.29E+00	2.84E+00	1.05E+01	2.80E+00	5.60E+00	6.09E+00	3.58E+00
V3	3.72E+00	2.61E+00	1.43E+01	1.04E+00	1.92E+00	3.00E-01	1.59E+01	4.99E-01	6.24E+00	3.30E+00	2.11E+00
V4	3.89E+00	9.20E-01	6.97E+00	1.19E+00	3.01E+00	9.22E-01	7.32E+00	5.12E-01	5.82E+00	2.20E+00	3.45E+00
V5	3.32E+00	1.00E-01	2.21E+00	2.99E+00	4.60E+00	8.24E+00	3.70E+00	7.15E+00	3.65E+00	2.68E+00	2.92E+00
V6	1.69E+00	5.79E+00	1.38E+00	1.50E+00	2.67E-01	0.00E+00	1.36E+00	3.00E-01	5.46E+00	1.79E+00	9.71E-01
V7	1.27E+01	3.98E+00	1.32E+00	1.73E+00	6.55E+00	1.86E+00	4.27E-01	1.79E+00	1.93E+00	7.46E+00	1.18E+01
V8	0.00E+00	4.42E-01	1.25E+01	5.58E-01	1.73E+00	5.80E+00	1.46E+01	3.91E+00	1.33E+01	1.39E+00	3.91E+00
V9	7.22E+00	1.20E+01	2.30E+01	5.92E+00	1.36E+00	7.90E-01	2.20E+01	3.50E+00	1.49E+01	1.00E+01	8.75E+00
V10	1.15E+00	3.35E-01	1.16E+00	1.73E+00	8.57E-01	5.67E-01	7.30E-01	9.55E-01	8.09E-01	4.99E-01	1.15E+00
V11	3.96E-01	1.39E+00	1.02E+00	2.08E+00	4.07E-01	4.42E+00	1.39E+00	4.54E+00	2.03E+00	8.14E-01	3.28E+00
V12	9.06E+00	2.21E-01	3.40E-01	3.35E-01	1.91E+00	8.59E-01	1.65E+00	2.39E+00	5.16E-01	7.19E+00	1.23E+00
V13	4.19E+00	2.80E+00	1.58E+01	1.73E+00	1.03E+01	1.00E-01	1.61E+01	1.59E+00	8.10E+00	5.95E+00	5.77E+00
V14	9.73E+00	2.77E+00	3.80E+00	9.95E+00	8.27E-01	3.37E+00	3.53E+00	4.01E+00	3.27E+00	8.74E+00	1.03E+01
V15	6.46E+00	3.32E+00	1.33E+01	4.54E+00	3.68E+00	4.73E+00	1.27E+01	4.26E+00	8.79E+00	5.42E+00	9.35E+00
V16	0.00E+00	2.09E+00	1.97E+00	3.11E+00	6.18E-01	2.16E+00	1.43E+00	1.07E+00	1.97E+00	4.00E-01	2.17E+00
V17	0.00E+00	6.78E+00	1.90E+00	1.47E+01	6.69E+00	3.97E+00	7.16E-01	3.07E+00	6.93E+00	8.23E-01	2.20E+01
V18	1.63E+00	3.11E+00	4.88E+00	4.23E+00	1.28E+00	0.00E+00	2.93E+00	8.94E-01	2.65E+00	6.40E-01	5.24E+00
V19	9.57E+00	2.23E+00	1.59E+00	1.63E+00	5.10E+00	1.00E-01	3.38E+00	2.13E-01	1.66E+00	1.06E+01	1.01E+01
V20	5.37E-01	2.84E+00	1.04E+01	2.04E+00	1.73E+00	4.41E+00	1.00E+01	4.20E+00	4.43E+00	8.94E-01	3.68E+00
V21	2.82E+00	7.35E+00	2.00E-01	1.45E+00	1.92E+00	2.62E+00	0.00E+00	1.72E+00	6.94E+00	2.88E+00	3.04E+00
V22	3.89E-01	1.49E+00	2.66E+00	1.14E+00	1.34E+01	1.00E+00	1.46E+01	1.10E+00	1.25E+00	0.00E+00	2.12E+00
V23	2.75E+01	3.39E+00	9.42E+00	1.31E+00	8.03E-01	1.43E+01	8.66E+00	1.69E+01	5.48E+00	2.53E+01	3.81E+00
V24	4.74E+00	1.18E+00	7.92E-01	8.43E+00	0.00E+00	6.69E+00	1.17E+00	6.66E+00	3.06E-01	4.65E+00	1.09E+01
V25	2.89E+01	1.01E+00	3.75E+00	4.43E+00	5.99E+00	7.06E+00	3.21E+00	9.47E+00	2.88E+00	3.14E+01	1.09E+01
V26	5.26E-01	1.83E+00	6.88E+00	3.86E+00	2.73E+00	5.93E+00	5.60E+00	7.32E+00	5.62E+00	1.00E+00	4.65E+00
V27	1.00E+00	1.18E+01	1.19E+01	2.42E+00	0.00E+00	1.77E+01	1.05E+01	1.63E+01	1.06E+01	2.13E+00	7.02E+00
V28	5.95E+00	7.92E-01	3.40E-01	1.39E+00	2.63E+00	6.19E-01	3.00E-01	1.19E+00	1.98E+00	7.56E+00	3.15E+00
V29	1.52E+00	5.28E+00	3.38E+00	2.18E+00	2.77E-01	1.52E+01	3.40E+00	1.42E+01	7.30E+00	2.13E+00	7.07E+00
V30	1.09E+01	7.61E-01	2.34E+01	3.42E-01	1.43E+00	9.22E-01	2.21E+01	9.52E-01	1.15E+01	1.41E+01	1.95E+00
V31	2.49E+00	5.06E+00	3.05E+00	2.40E+00	3.13E+00	5.58E-01	4.61E+00	5.67E-01	6.19E+00	3.14E+00	4.12E+00
V32	1.13E+01	1.02E+00	2.84E+00	1.31E+00	4.79E+00	1.30E+01	2.01E+00	1.35E+01	5.59E+00	9.42E+00	6.01E+00
V33	8.73E+00	2.93E+00	7.80E+00	2.52E+00	3.19E+00	6.97E+00	6.40E+00	8.80E+00	3.42E+00	8.67E+00	2.16E+00
