NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	217.287	77.563	74.338	62.523	0.498	0.759	20000.0
2	215.472	77.18	74.019	62.315	0.491	0.759	20000.0
3	221.401	81.415	76.387	65.057	0.539	0.75	30000.0
4	220.731	80.227	78.965	64.675	0.526	0.731	30000.0
5	221.426	80.629	76.804	65.363	0.532	0.747	20000.0
6	215.651	77.521	73.388	62.261	0.495	0.76	30000.0
7	214.773	76.76	73.41	61.955	0.492	0.762	20000.0
8	221.186	80.779	78.751	65.251	0.525	0.728	40000.0
9	221.901	81.514	76.786	65.338	0.532	0.74	20000.0
10	216.715	77.458	74.283	62.517	0.501	0.758	20000.0
