De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-A, Signature ID9 (100.00%), 5.82,  3.79, 0.033, 1.00, 1.00
Signature 83-B, Signature ID1 (100.00%), 3.37,  0.70, 0.068, 1.00, 1.00
Signature 83-C, Signature 83-C, 0, 0, 0, 1, 1
Signature 83-D, Signature 83-D, 0, 0, 0, 1, 1
Signature 83-E, Signature ID8 (100.00%), 16.15,  8.35, 0.050, 1.00, 1.00
Signature 83-F, Signature ID2 (100.00%), 7.08,  1.41, 0.129, 1.00, 1.00
