Samples	ID83A	ID83B
V1	2.31E+01	2.31E+01
V2	2.51E+01	2.51E+01
V3	2.06E+01	2.06E+01
V4	2.21E+01	2.21E+01
V5	3.09E+01	3.09E+01
V6	4.98E+00	4.98E+00
V7	2.21E+01	2.21E+01
V8	2.37E+01	2.37E+01
V9	1.97E+01	1.97E+01
V10	3.46E+01	3.46E+01
V11	1.37E+01	1.37E+01
V12	2.72E+01	2.72E+01
V13	1.31E+01	1.31E+01
V14	2.10E+01	2.10E+01
V15	2.27E+01	2.27E+01
V16	1.36E+01	1.36E+01
V17	2.08E+01	2.08E+01
V18	6.38E+00	6.38E+00
V19	5.52E+00	5.52E+00
V20	3.37E+01	3.37E+01
V21	3.45E+01	3.45E+01
V22	2.15E+01	2.15E+01
V23	2.93E+00	2.93E+00
V24	3.39E+00	3.39E+00
V25	1.63E+01	1.63E+01
V26	3.35E+01	3.35E+01
V27	1.35E+01	1.35E+01
V28	2.44E+01	2.44E+01
V29	8.24E+00	8.24E+00
V30	4.94E+00	4.94E+00
V31	6.27E+01	6.27E+01
V32	4.62E+00	4.62E+00
V33	4.26E+00	4.26E+00
V34	3.19E+01	3.19E+01
V35	5.81E+01	5.81E+01
V36	3.66E+01	3.66E+01
V37	3.38E+01	3.38E+01
V38	7.06E+00	7.06E+00
V39	2.56E+01	2.56E+01
V40	6.53E+00	6.53E+00
V41	2.12E+01	2.12E+01
V42	4.77E+01	4.77E+01
V43	2.01E+01	2.01E+01
V44	1.43E+01	1.43E+01
V45	2.52E+01	2.52E+01
V46	2.28E+01	2.28E+01
V47	8.59E+00	8.59E+00
V48	3.35E+01	3.35E+01
V49	4.30E+01	4.30E+01
V50	1.49E+01	1.49E+01
V51	2.83E+00	2.83E+00
V52	4.72E+00	4.72E+00
V53	9.83E+01	9.83E+01
V54	1.29E+01	1.29E+01
V55	4.34E+01	4.34E+01
V56	8.87E+01	8.87E+01
V57	2.49E+01	2.50E+01
V58	8.47E+00	8.47E+00
V59	8.30E+01	8.30E+01
V60	4.83E+00	4.83E+00
V61	1.61E+01	1.61E+01
V62	1.40E+01	1.40E+01
V63	3.29E+01	3.29E+01
V64	3.29E+01	3.29E+01
V65	8.07E+00	8.07E+00
V66	2.21E+01	2.21E+01
V67	1.38E+00	1.38E+00
V68	2.83E+01	2.83E+01
V69	1.16E+01	1.16E+01
V70	1.64E+01	1.64E+01
V71	1.50E+01	1.50E+01
V72	2.16E+01	2.16E+01
V73	1.98E+01	1.98E+01
V74	3.63E+01	3.63E+01
V75	5.55E+00	5.55E+00
V76	2.26E+01	2.26E+01
V77	1.62E+01	1.62E+01
V78	1.06E+01	1.06E+01
V79	2.23E+01	2.23E+01
V80	2.18E+00	2.18E+00
V81	9.67E-01	9.67E-01
V82	4.48E+00	4.48E+00
V83	1.51E+01	1.51E+01
V84	1.13E+01	1.13E+01
V85	1.89E+01	1.89E+01
V86	9.18E+00	9.18E+00
V87	7.36E+01	7.36E+01
V88	7.71E+00	7.71E+00
V89	1.47E+01	1.47E+01
V90	2.04E+01	2.04E+01
V91	2.32E+01	2.32E+01
V92	9.68E+00	9.68E+00
V93	8.57E+00	8.57E+00
V94	2.34E+01	2.34E+01
V95	1.21E+01	1.21E+01
V96	1.41E+01	1.41E+01
V97	1.84E+01	1.84E+01
V98	1.09E+01	1.09E+01
V99	8.98E+00	8.98E+00
V100	7.74E+00	7.74E+00
