De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-A, Signature 83-A, 0, 0, 0, 1, 1
Signature 83-B, Signature 83-B, 0, 0, 0, 1, 1
Signature 83-C, Signature ID9 (100.00%), 13.21,  7.92, 0.102, 1.00, 1.00
Signature 83-D, Signature ID2 (100.00%), 7.68,  1.48, 0.054, 1.00, 1.00
Signature 83-E, Signature ID1 (100.00%), 9.19,  1.83, 0.093, 1.00, 1.00
Signature 83-F, Signature ID8 (100.00%), 22.65,  12.87, 0.091, 0.99, 0.99
