NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	103.385	42.17	32.743	32.75	0.249	0.922	20000.0
2	103.591	41.959	29.063	29.191	0.253	0.936	20000.0
3	101.384	40.883	28.325	27.778	0.246	0.944	20000.0
4	110.971	43.021	35.689	32.411	0.257	0.925	30000.0
5	101.056	40.544	28.834	28.538	0.244	0.938	40000.0
6	111.83	43.21	36.366	32.593	0.255	0.931	20000.0
7	101.804	41.924	32.552	32.577	0.254	0.918	30000.0
8	101.863	41.964	32.287	32.9	0.253	0.919	20000.0
9	102.399	41.845	29.51	29.74	0.254	0.933	20000.0
10	100.494	40.57	28.306	27.774	0.246	0.943	30000.0
