NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	144.241	25.556	29.582	15.788	0.11	0.982	40000.0
2	144.908	26.059	29.687	15.955	0.115	0.981	50000.0
3	144.253	25.681	29.852	15.978	0.11	0.982	50000.0
4	143.444	25.93	29.427	16.137	0.114	0.981	40000.0
5	141.886	25.647	29.196	15.87	0.114	0.982	40000.0
6	141.191	25.894	29.015	16.218	0.116	0.98	50000.0
7	142.399	25.855	29.298	15.963	0.115	0.981	50000.0
8	143.96	26.018	29.533	16.158	0.114	0.981	50000.0
9	146.021	26.133	30.01	16.264	0.115	0.98	70000.0
10	146.634	26.214	30.421	16.346	0.114	0.98	50000.0
