De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-A, Signature ID1 (100.00%), 7.79,  1.33, 0.147, 1.00, 1.00
Signature 83-B, Signature ID8 (100.00%), 21.82,  12.17, 0.078, 0.99, 0.99
Signature 83-C, Signature ID2 (100.00%), 8.22,  1.68, 0.168, 1.00, 1.00
Signature 83-D, Signature ID9 (100.00%), 11.30,  5.73, 0.092, 1.00, 1.00
Signature 83-E, Signature 83-E, 0, 0, 0, 1, 1
Signature 83-F, Signature 83-F, 0, 0, 0, 1, 1
