MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
1:Del:C:0	1.17E-03	6.00E-04	5.15E-04	4.43E-03	9.45E-03	2.02E-03	8.25E-03	3.72E-02
1:Del:C:1	7.57E-04	7.14E-04	3.11E-04	3.11E-03	5.92E-03	4.78E-04	7.73E-03	1.62E-02
1:Del:C:2	3.28E-04	0.00E+00	4.20E-04	6.35E-04	4.77E-04	4.94E-04	1.31E-03	3.03E-03
1:Del:C:3	1.95E-04	2.79E-04	1.64E-04	7.62E-04	1.63E-03	5.72E-04	2.24E-03	1.17E-02
1:Del:C:4	0.00E+00	0.00E+00	9.99E-04	9.48E-05	1.74E-03	1.51E-04	2.10E-03	5.77E-03
1:Del:C:5	1.16E-04	2.05E-04	1.03E-03	4.01E-04	4.85E-09	2.00E-03	2.87E-03	3.32E-03
1:Del:T:0	4.55E-04	4.97E-04	7.69E-04	2.03E-03	3.68E-03	6.61E-04	1.79E-03	2.01E-02
1:Del:T:1	6.39E-05	1.53E-04	0.00E+00	7.70E-04	2.44E-03	6.79E-04	1.99E-03	1.05E-02
1:Del:T:2	2.17E-04	1.55E-03	1.13E-03	1.83E-03	4.15E-03	0.00E+00	1.31E-02	2.84E-02
1:Del:T:3	2.03E-03	7.31E-04	2.43E-03	1.80E-03	6.23E-03	3.41E-03	3.13E-02	1.79E-02
1:Del:T:4	1.83E-04	9.06E-04	2.71E-03	1.18E-03	2.26E-03	1.64E-03	3.43E-03	1.59E-02
1:Del:T:5	5.59E-08	1.17E-07	7.48E-03	2.35E-07	9.89E-08	3.19E-07	7.93E-02	8.30E-02
1:Ins:C:0	2.30E-08	3.72E-08	1.12E-04	3.56E-04	4.46E-08	1.24E-04	8.20E-04	7.06E-04
1:Ins:C:1	1.41E-08	2.31E-04	1.17E-04	4.89E-04	0.00E+00	0.00E+00	7.83E-04	2.84E-03
1:Ins:C:2	0.00E+00	6.58E-05	0.00E+00	4.16E-04	3.18E-04	4.25E-04	1.74E-03	1.21E-03
1:Ins:C:3	4.21E-05	9.30E-05	9.59E-09	6.22E-09	1.37E-04	7.00E-05	1.11E-04	8.29E-04
1:Ins:C:4	1.70E-04	2.37E-08	3.77E-04	3.24E-04	1.97E-08	0.00E+00	1.31E-03	1.93E-04
1:Ins:C:5	2.06E-04	6.59E-04	1.13E-03	0.00E+00	7.28E-05	9.72E-06	4.04E-03	2.14E-03
1:Ins:T:0	9.06E-05	1.20E-04	2.15E-09	1.11E-03	2.39E-03	2.17E-04	2.01E-03	9.57E-03
1:Ins:T:1	1.54E-03	0.00E+00	3.41E-04	1.17E-03	8.37E-04	5.19E-04	1.84E-02	3.12E-03
1:Ins:T:2	6.89E-05	2.72E-04	2.08E-04	7.32E-04	1.30E-04	3.46E-04	2.52E-03	2.21E-03
1:Ins:T:3	3.51E-05	5.18E-04	7.03E-05	2.11E-04	1.37E-04	7.10E-04	1.83E-03	4.31E-03
