Sample Names	MutationType	ID1	ID2	ID8	ID9	ID83D	ID83E
V1	1:Del:C:0	0.00013229455696515044	0.0	0.06355398646944063	0.9303793715034229	0.0013698598257035188	0.004564487644467746
V1	1:Del:C:1	0.0020172035326046296	0.0	0.12028172167353958	0.8754296140221417	0.0011609334339888746	0.0011105273377252226
V1	1:Del:C:2	2.093355037259719e-16	0.0	0.40622542901309594	0.5712717334820205	0.011629944162220721	0.010872893342662728
V1	1:Del:C:3	0.039044403286472566	0.0	0.213280676960604	0.7301032489801689	0.0	0.017571670772754604
V1	1:Del:C:4	0.015538607089892392	0.0	0.054150302070756516	0.9233911802562814	0.005330274515519331	0.0015896360675502201
V1	1:Del:C:5	0.623990354089148	0.0	0.33341852921083587	0.027847165231752586	0.014743951468263562	0.0
V1	1:Del:T:0	0.003106704260551382	0.0	0.15642749717750257	0.8357792592706366	0.0041888078636786365	0.0004977314276308774
V1	1:Del:T:1	1.9460125636703758e-17	0.0	0.118510255229999	0.8742363289178133	3.754744101264308e-05	0.007215868411174864
V1	1:Del:T:2	0.0030297316843031813	0.0	0.05610630381148927	0.9325857679962847	0.004082816822223514	0.0041953796856994754
V1	1:Del:T:3	0.0056806712670938505	0.0	0.046884088697547496	0.9407316976004007	0.005630632929507243	0.0010729095054507161
V1	1:Del:T:4	0.01316447071471808	0.0	0.007535851531078029	0.9723051578681738	0.0024626599680030985	0.004531859918026765
V1	1:Del:T:5	1.3949363928436692e-16	0.0	0.8631785544381638	0.13155341389613784	0.005233538846333768	3.449281936443283e-05
V1	1:Ins:C:0	5.86820647960218e-16	0.0	0.9451347665657376	3.2199155407174068e-15	7.37755400048403e-07	0.05486449567885882
V1	1:Ins:C:1	7.57226322288262e-16	0.0	0.9570107483888866	0.0014822615385146362	0.041504865313887425	2.1247587106885496e-06
V1	1:Ins:C:2	6.912944946313096e-16	0.0	0.6150492170728151	0.24723819407159436	0.13771258885558962	0.0
V1	1:Ins:C:3	0.6719209117010047	0.0	0.178486796345692	1.4425207493995547e-14	0.0376065180969871	0.11198577385630176
V1	1:Ins:C:4	0.5629767665829101	0.0	0.3369835978819622	0.002286378409851325	0.03846787460265129	0.0592853825226251
V1	1:Ins:C:5	0.9061403825267482	0.0	0.03520706244465454	0.009227593099322012	0.0	0.049424961929275237
V1	1:Ins:T:0	0.042793062183468976	0.0	0.1629027234603283	0.7935056890969332	0.0007985252592695842	0.0
V1	1:Ins:T:1	0.0009089847984737612	0.0	0.211787322960883	0.7863924869147204	0.00091109731011115	1.0801581150633787e-07
V1	1:Ins:T:2	0.015394224358219051	0.0	0.22007240743297313	0.6202431575663265	0.015416240211439851	0.1288739704310414
V1	1:Ins:T:3	0.3433812090539715	0.0	0.16968978138477675	0.43491673922558216	0.028960923520710776	0.02305134681495864
V1	1:Ins:T:4	0.6864426762513827	0.0	0.06541039118412773	0.21943664701029506	0.0049248703897363695	0.023785415164458208
V1	1:Ins:T:5	0.9381505985187732	0.0	0.040944312983570146	0.020406696581216476	3.789110962373867e-07	0.0004980130053440502
V1	2:Del:R:0	0.011072677918175488	0.0	0.27295815593847234	0.7138575171207898	0.002111649022562331	0.0
V1	2:Del:R:1	0.03795082981191891	0.0	0.6183674137286519	0.3340367314637802	0.009645024995648826	0.0
V1	2:Del:R:2	0.0830355876521865	0.0	0.1802196864990783	0.7015196387184374	0.031291558404553325	0.003933528725744579
V1	2:Del:R:3	0.4784642236528496	0.0	0.05860187216220574	0.3609897750399206	0.10194412914502403	0.0
V1	2:Del:R:4	0.0936115662650611	0.0	0.9060787677403576	3.1138949442984154e-14	0.0002635827333711611	4.608326117878418e-05
V1	2:Del:R:5	4.608222932904113e-17	0.0	0.022368012801782973	2.528555988669678e-16	3.861407597806111e-06	0.9776281257906189
V1	3:Del:R:0	0.00027413285931519713	0.0	0.04526965945993681	0.020542105433686824	1.4523736118259485e-06	0.9339126498734494
V1	3:Del:R:1	0.22136133839003805	0.0	0.11491450767383277	0.637971304702816	0.02575284923331319	0.0
V1	3:Del:R:2	0.12146444495861465	0.0	0.11465399292752236	0.6761308453355892	2.468764413352809e-07	0.08775046990183259
V1	3:Del:R:3	0.1961682547242166	0.0	0.2583356590958027	0.5359079136445807	0.009588172535399966	0.0
V1	3:Del:R:4	6.017378917959538e-13	0.0	0.9396148867146141	3.301767236662865e-12	0.0389262261105006	0.021458887170981666
V1	3:Del:R:5	4.1572432016491105e-15	0.0	0.22042180721734708	2.281101054992057e-14	0.011693677442512682	0.7678845153401133
V1	4:Del:R:0	0.005554192515408153	0.0	0.7189067888553137	0.26796204576039245	2.433558328073687e-07	0.0075767295130527886
V1	4:Del:R:1	0.04593843901161969	0.0	0.15967365863656102	0.786814575588023	0.007573326763796361	0.0
V1	4:Del:R:2	0.0008748854347423583	0.0	0.14241209820092174	0.8147758137691417	0.025817687158162097	0.01611951543703225
V1	4:Del:R:3	2.4378563967265108e-14	0.0	0.4090800893600635	0.5884734927445564	0.001577041276903422	0.000869376618452165
V1	4:Del:R:4	1.7608053642310826e-14	0.0	0.9982330108699776	9.661630987549358e-14	0.0011390591930328954	0.0006279299368753521
V1	4:Del:R:5	0.33046638521496324	0.0	0.13981521458501583	0.5259201815123945	0.0024484564392961905	0.0013497622483302368
V1	5:Del:R:0	1.800227460082269e-05	0.0	0.9894982225723935	0.005588011370191403	0.001439575748577933	0.003456188034236491
V1	5:Del:R:1	0.06366500471149408	0.0	0.3684949878447537	0.5375382412712364	0.0	0.030301766172515784
V1	5:Del:R:2	0.04917393762747865	0.0	0.3879115578776305	0.34618435966869043	0.014865935996964605	0.2018642088292357
V1	5:Del:R:3	0.07316698221987941	0.0	0.060922711725940416	0.0795379847533111	0.00016353915501807244	0.786208782145851
