NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	39.632	18.73	9.67	12.304	0.098	0.988	70000.0
2	41.614	19.705	9.989	12.742	0.104	0.987	50000.0
3	39.566	18.44	9.49	11.924	0.098	0.989	40000.0
4	40.676	19.416	9.86	12.851	0.105	0.987	30000.0
5	42.377	20.135	9.892	12.973	0.105	0.986	40000.0
6	39.534	18.852	9.488	12.009	0.101	0.988	50000.0
7	43.993	20.702	10.498	13.188	0.106	0.987	60000.0
8	45.262	21.808	11.128	14.193	0.112	0.985	40000.0
9	42.021	19.558	9.996	12.69	0.101	0.987	50000.0
10	41.145	19.755	9.967	12.795	0.106	0.987	40000.0
