MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
2:Del:R:5	4.36E-08	9.42E-05	3.17E-08	1.24E-04	1.88E-05	5.67E-09	3.78E-04	8.82E-07	8.48E-06	5.18E-04	5.57E-04	2.60E-03	1.24E-03	1.03E-03
3:Del:R:0	1.62E-07	9.41E-08	8.92E-05	0.00E+00	1.86E-03	4.87E-04	2.66E-03	5.25E-04	3.51E-03	2.71E-03	4.62E-03	1.57E-03	1.04E-03	1.69E-03
3:Del:R:1	8.64E-05	2.32E-03	2.08E-05	8.89E-04	1.05E-03	1.66E-03	7.07E-04	7.21E-03	3.09E-03	3.50E-04	1.09E-04	6.93E-03	9.19E-03	2.32E-03
3:Del:R:2	2.08E-08	8.76E-05	7.98E-05	3.21E-04	3.56E-04	2.96E-04	1.94E-03	2.80E-04	1.25E-03	1.83E-04	9.41E-04	1.93E-04	1.43E-03	2.61E-03
3:Del:R:3	1.46E-04	1.89E-04	1.22E-04	1.76E-04	9.78E-05	2.21E-04	3.52E-07	2.12E-04	4.45E-04	2.93E-08	4.58E-04	2.33E-03	7.08E-05	4.39E-04
3:Del:R:4	7.44E-08	3.83E-08	1.46E-08	2.25E-08	2.62E-08	6.46E-08	5.30E-08	6.18E-08	2.06E-07	7.04E-08	1.06E-07	8.67E-08	5.10E-08	1.40E-07
3:Del:R:5	7.44E-08	3.83E-08	1.46E-08	2.25E-08	2.62E-08	6.46E-08	5.30E-08	6.18E-08	2.06E-07	7.04E-08	1.06E-07	8.67E-08	5.10E-08	1.40E-07
4:Del:R:0	0.00E+00	1.44E-04	2.09E-08	2.82E-08	6.80E-04	3.38E-04	2.01E-03	6.20E-04	2.97E-03	2.24E-03	2.58E-03	4.57E-04	5.52E-04	3.96E-03
4:Del:R:1	6.52E-03	4.09E-04	1.72E-04	2.35E-04	1.57E-03	2.94E-04	7.49E-03	5.59E-04	3.89E-03	1.90E-03	4.14E-03	1.80E-03	8.83E-04	1.05E-03
4:Del:R:2	1.28E-08	0.00E+00	3.15E-08	2.93E-07	2.01E-04	5.61E-04	1.61E-03	2.02E-08	1.01E-03	3.03E-07	7.90E-04	1.83E-04	1.11E-07	1.84E-07
4:Del:R:3	8.91E-08	3.00E-08	2.28E-08	3.40E-08	2.59E-08	2.86E-07	7.46E-05	4.36E-08	2.38E-07	1.46E-04	1.61E-04	8.97E-08	8.06E-08	1.46E-07
4:Del:R:4	7.58E-04	4.55E-05	1.33E-08	2.69E-04	1.65E-04	1.30E-05	1.16E-07	1.22E-04	5.57E-06	1.35E-07	1.78E-05	2.96E-03	8.70E-04	0.00E+00
4:Del:R:5	7.44E-08	3.83E-08	1.46E-08	2.25E-08	2.62E-08	6.46E-08	5.30E-08	6.18E-08	2.06E-07	7.04E-08	1.06E-07	8.67E-08	5.10E-08	1.40E-07
5:Del:R:0	1.23E-03	2.40E-03	9.21E-09	5.41E-08	3.84E-04	7.63E-07	2.85E-02	1.02E-07	9.92E-03	2.42E-02	6.86E-02	1.80E-02	1.13E-02	2.56E-02
5:Del:R:1	2.03E-02	5.31E-07	5.90E-04	2.34E-07	1.40E-46	1.40E-46	2.67E-03	5.79E-02	2.34E-02	1.73E-03	8.33E-08	8.44E-02	2.27E-02	1.22E-02
5:Del:R:2	4.35E-08	6.56E-05	2.33E-08	1.06E-04	7.28E-05	1.26E-04	6.75E-04	6.63E-05	8.08E-04	4.88E-05	5.40E-04	2.90E-08	1.03E-03	1.04E-03
5:Del:R:3	5.36E-08	1.20E-08	4.97E-05	8.22E-05	0.00E+00	1.82E-08	6.22E-04	1.60E-04	2.26E-04	1.40E-04	2.02E-04	8.87E-04	6.24E-04	1.65E-08
5:Del:R:4	4.19E-04	9.64E-09	1.12E-04	0.00E+00	3.13E-04	1.10E-07	5.70E-08	5.11E-05	5.84E-04	9.47E-08	5.49E-04	1.26E-03	0.00E+00	1.52E-03
5:Del:R:5	7.44E-08	3.83E-08	1.46E-08	2.25E-08	2.62E-08	6.46E-08	5.30E-08	6.18E-08	2.06E-07	7.04E-08	1.06E-07	8.67E-08	5.10E-08	1.40E-07
2:Ins:R:0	1.97E-08	3.71E-04	1.08E-04	1.38E-08	3.90E-04	8.38E-04	8.17E-04	3.69E-04	1.61E-03	4.38E-04	3.16E-03	3.47E-04	1.92E-04	8.38E-04
2:Ins:R:1	1.92E-02	3.95E-04	5.39E-08	0.00E+00	2.00E-03	5.54E-03	3.39E-03	3.71E-03	2.09E-03	4.74E-04	2.89E-03	4.16E-02	4.79E-04	4.38E-07
2:Ins:R:2	1.41E-08	1.28E-04	8.26E-05	1.12E-04	7.01E-05	4.80E-04	0.00E+00	2.33E-04	1.03E-03	3.69E-04	1.59E-04	3.23E-04	4.67E-04	6.52E-04
2:Ins:R:3	1.08E-04	2.48E-04	7.39E-09	1.49E-04	5.03E-05	1.75E-04	2.08E-04	4.02E-04	3.64E-04	1.47E-03	6.06E-04	1.53E-04	2.39E-07	1.27E-04
2:Ins:R:4	6.10E-08	1.10E-03	7.31E-08	1.19E-04	1.32E-05	9.70E-06	4.83E-08	8.33E-04	2.71E-05	1.16E-03	1.81E-07	3.82E-03	1.10E-03	8.18E-03
2:Ins:R:5	1.62E-04	3.07E-03	5.97E-04	3.43E-03	0.00E+00	8.79E-07	0.00E+00	5.22E-03	1.40E-46	6.05E-03	0.00E+00	3.33E-03	5.94E-03	1.05E-02
3:Ins:R:0	2.17E-08	2.34E-04	4.78E-08	2.63E-08	2.58E-04	2.38E-07	4.26E-04	1.08E-04	2.87E-08	2.52E-04	2.89E-04	9.60E-04	2.81E-08	1.71E-04
3:Ins:R:1	1.09E-08	0.00E+00	9.23E-05	3.62E-08	5.91E-04	7.00E-04	2.96E-04	7.03E-05	1.78E-03	2.77E-08	5.25E-04	5.81E-04	7.18E-04	1.19E-03
3:Ins:R:2	3.28E-05	1.82E-07	4.31E-08	4.88E-08	3.41E-08	7.73E-08	9.59E-08	1.34E-07	2.27E-07	6.19E-08	1.20E-07	6.18E-05	9.71E-08	5.87E-08
3:Ins:R:3	2.68E-05	8.30E-05	4.41E-08	4.69E-08	4.52E-08	7.86E-08	9.29E-08	7.01E-05	2.37E-07	5.30E-08	9.53E-08	1.06E-04	1.23E-04	4.93E-08
3:Ins:R:4	1.12E-03	2.77E-05	1.48E-04	8.98E-05	8.56E-09	7.35E-08	1.71E-04	6.36E-04	2.60E-03	0.00E+00	8.79E-05	4.60E-03	2.37E-06	4.10E-03
3:Ins:R:5	0.00E+00	3.41E-04	1.75E-04	6.05E-04	1.16E-08	2.17E-08	4.02E-04	2.99E-04	1.66E-04	8.67E-07	2.61E-04	5.67E-08	3.46E-03	1.33E-03
4:Ins:R:0	2.22E-08	3.38E-08	2.17E-08	7.54E-08	1.93E-07	6.19E-05	1.40E-04	5.62E-08	8.14E-05	7.60E-05	1.61E-04	2.26E-04	1.89E-07	1.79E-07
4:Ins:R:1	2.00E-07	1.87E-46	3.31E-02	2.32E-07	8.03E-08	1.95E-07	2.89E-07	4.37E-02	2.39E-02	6.31E-07	3.53E-07	6.65E-07	8.59E-03	5.84E-03
4:Ins:R:2	7.89E-09	1.02E-04	2.73E-04	2.94E-04	0.00E+00	0.00E+00	5.48E-09	4.15E-04	5.16E-05	6.84E-09	0.00E+00	1.63E-08	2.85E-04	1.24E-04
4:Ins:R:3	3.68E-08	1.38E-04	3.76E-08	4.53E-08	8.79E-05	4.32E-08	4.70E-07	2.64E-04	4.45E-08	3.65E-05	2.73E-06	8.67E-04	3.27E-04	2.68E-04
4:Ins:R:4	4.17E-08	5.40E-05	3.04E-08	5.68E-08	2.96E-08	7.28E-08	4.62E-07	1.78E-04	1.30E-07	7.83E-08	1.36E-07	4.07E-07	5.01E-04	1.81E-07
4:Ins:R:5	7.53E-05	1.35E-04	1.64E-04	3.58E-04	3.65E-04	1.27E-04	1.93E-04	1.51E-03	5.38E-04	2.00E-06	9.59E-04	2.65E-03	9.62E-04	8.69E-04
5:Ins:R:0	3.19E-08	9.00E-05	3.99E-08	3.67E-08	9.50E-07	6.22E-05	9.48E-08	2.04E-04	1.83E-04	0.00E+00	3.37E-07	8.53E-08	9.06E-08	6.96E-04
5:Ins:R:1	4.55E-06	3.50E-04	5.46E-05	1.23E-07	0.00E+00	3.31E-03	4.11E-03	1.27E-03	4.63E-05	7.82E-03	2.62E-03	2.92E-03	1.74E-03	3.77E-03
5:Ins:R:2	6.23E-08	7.06E-08	3.70E-08	4.71E-08	2.38E-08	9.07E-08	6.44E-05	6.54E-05	2.28E-07	2.47E-04	1.33E-04	5.69E-05	1.25E-07	8.09E-04
