MutationType	ID2	ID6	ID8	ID83B	ID83C	ID83E
5:Ins:R:3	0.00009770	0.00002880	0.00007090	0.00000002	0.00000057	0.00000002
5:Ins:R:4	0.00000215	0.00004830	0.00000674	0.00000002	0.00000057	0.00000002
5:Ins:R:5	0.00011563	0.00006170	0.00019055	0.00000002	0.00000057	0.00000002
2:Del:M:1	0.00017555	0.00063287	0.00491367	0.00170272	0.03198381	0.00031504
3:Del:M:1	0.00000055	0.00099010	0.00929034	0.00003343	0.00805880	0.00017873
3:Del:M:2	0.00294406	0.00443363	0.00430269	0.00063940	0.01771458	0.00040603
4:Del:M:1	0.00014700	0.00274539	0.00580955	0.00005576	0.00701533	0.00000001
4:Del:M:2	0.00055061	0.00868271	0.00159159	0.00079257	0.01100269	0.00000000
4:Del:M:3	0.00069357	0.00477309	0.00109834	0.00044809	0.01478896	0.00082695
5:Del:M:1	0.00062496	0.07106658	0.28072426	0.00140489	0.02789860	0.00039714
5:Del:M:2	0.00011771	0.25310835	0.12361016	0.00371439	0.00261910	0.00065173
5:Del:M:3	0.00005670	0.21680603	0.04613041	0.00007956	0.00171613	0.00090491
5:Del:M:4	0.00046284	0.12048394	0.01636726	0.00085530	0.00009328	0.00000000
5:Del:M:5	0.00236732	0.09928300	0.01281488	0.00190395	0.00284403	0.00043609
