MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
2:Ins:R:0	1.14E-04	1.92E-04	6.93E-09	3.95E-04	6.66E-04	5.45E-04	4.20E-07	8.67E-04
2:Ins:R:1	1.13E-08	1.11E-04	0.00E+00	4.39E-04	7.54E-04	5.37E-04	2.48E-04	1.56E-03
2:Ins:R:2	1.42E-08	1.07E-05	8.95E-05	1.32E-04	1.86E-04	9.78E-09	3.88E-08	4.37E-04
2:Ins:R:3	1.66E-04	1.69E-04	3.31E-08	2.16E-08	2.17E-04	3.31E-05	7.79E-10	7.75E-04
2:Ins:R:4	2.75E-04	3.83E-04	3.42E-04	1.05E-08	1.84E-04	0.00E+00	2.23E-08	1.82E-03
2:Ins:R:5	1.91E-03	3.33E-03	5.36E-04	4.45E-04	3.14E-08	9.47E-04	2.09E-04	2.39E-02
3:Ins:R:0	2.69E-08	3.07E-08	6.83E-08	6.41E-08	8.07E-08	4.52E-05	6.54E-08	4.39E-05
3:Ins:R:1	1.01E-04	7.57E-04	6.15E-04	1.31E-08	3.00E-03	1.92E-07	1.56E-02	2.56E-03
3:Ins:R:2	3.16E-08	1.79E-04	4.45E-05	1.00E-07	4.25E-05	3.09E-05	6.31E-08	3.46E-05
3:Ins:R:3	9.11E-05	6.74E-09	1.41E-05	5.73E-05	3.66E-04	8.49E-05	2.42E-08	5.87E-04
3:Ins:R:4	0.00E+00	1.26E-04	4.87E-05	3.21E-08	1.52E-08	2.46E-08	1.41E-08	1.18E-03
3:Ins:R:5	5.03E-04	5.39E-04	4.37E-03	3.70E-04	4.23E-04	2.05E-04	6.23E-04	4.38E-03
4:Ins:R:0	1.28E-08	6.08E-08	9.65E-05	1.87E-08	1.53E-04	1.96E-04	8.51E-08	4.91E-05
4:Ins:R:1	0.00E+00	9.05E-05	1.73E-04	2.26E-04	1.85E-04	1.95E-04	2.43E-04	5.32E-04
4:Ins:R:2	9.11E-05	3.48E-08	3.96E-08	4.04E-08	2.29E-07	1.62E-06	2.94E-08	1.97E-04
4:Ins:R:3	2.27E-08	4.13E-08	4.81E-08	5.03E-08	1.39E-06	1.02E-04	5.21E-08	7.80E-05
4:Ins:R:4	2.99E-05	2.38E-08	7.26E-05	8.03E-05	1.02E-04	5.17E-05	1.61E-08	9.40E-05
4:Ins:R:5	3.03E-04	3.66E-04	2.05E-08	4.05E-05	2.91E-04	2.71E-04	1.11E-04	9.13E-04
5:Ins:R:0	1.82E-08	1.68E-08	1.64E-08	2.54E-08	1.11E-04	2.10E-04	9.17E-05	3.07E-04
5:Ins:R:1	7.38E-05	3.48E-04	1.87E-04	9.19E-04	2.27E-03	1.46E-03	3.61E-04	3.55E-03
5:Ins:R:2	2.10E-08	7.01E-08	5.07E-08	3.35E-04	1.16E-05	7.93E-05	5.37E-05	6.10E-05
5:Ins:R:3	2.09E-08	8.90E-08	4.41E-08	1.14E-04	1.88E-04	1.02E-04	4.82E-08	6.74E-08
5:Ins:R:4	3.35E-05	5.96E-08	9.51E-05	3.96E-05	1.30E-04	1.32E-04	3.12E-08	4.87E-05
5:Ins:R:5	2.97E-08	1.13E-04	6.29E-08	4.91E-08	4.51E-08	6.19E-08	4.63E-08	5.58E-07
2:Del:M:1	2.65E-04	0.00E+00	3.24E-04	7.69E-04	7.51E-04	9.49E-04	3.24E-05	9.95E-04
3:Del:M:1	1.40E-46	2.95E-04	2.73E-05	8.33E-04	2.73E-03	2.08E-03	3.23E-04	3.00E-03
3:Del:M:2	2.02E-04	2.90E-04	2.27E-04	5.95E-04	1.53E-03	1.02E-03	1.95E-04	1.13E-03
4:Del:M:1	9.23E-09	1.97E-04	0.00E+00	2.48E-04	1.54E-03	1.49E-03	1.54E-04	2.24E-03
4:Del:M:2	8.95E-05	3.03E-04	0.00E+00	7.12E-04	7.90E-04	5.35E-04	2.73E-05	1.17E-03
4:Del:M:3	0.00E+00	2.60E-04	3.28E-04	4.48E-04	6.88E-04	2.15E-04	5.29E-05	5.76E-04
5:Del:M:1	1.36E-08	0.00E+00	9.73E-08	1.50E-03	1.80E-03	7.56E-02	2.65E-02	1.33E-03
5:Del:M:2	8.76E-09	1.25E-03	4.56E-07	5.15E-04	2.61E-02	2.21E-02	1.43E-03	3.62E-02
5:Del:M:3	0.00E+00	3.33E-08	6.10E-04	3.94E-06	1.08E-02	7.90E-03	2.70E-04	1.30E-02
5:Del:M:4	0.00E+00	4.23E-04	6.20E-04	0.00E+00	3.12E-03	2.85E-03	1.60E-05	4.67E-03
5:Del:M:5	6.82E-05	4.80E-04	2.28E-08	1.96E-04	2.04E-03	1.78E-03	1.54E-04	3.22E-03
