Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
V1	17	0	30	0	23	199
V2	10	17	0	29	14	0
V3	11	21	0	77	13	12
V4	48	244	6	24	36	11
V5	2	3	162	138	43	1
V6	27	3	1	2	40	160
V7	116	102	0	0	0	247
V8	137	0	0	26	13	20
V9	35	60	67	41	13	9
V10	22	62	72	148	198	386
V11	181	24	24	0	0	19
V12	182	43	18	33	90	0
V13	96	20	18	0	0	11
V14	11	31	39	54	0	0
V15	0	0	78	0	31	21
V16	2	154	21	4	3	17
V17	0	0	10	0	147	19
V18	45	14	1	48	55	21
V19	112	0	0	88	0	0
V20	191	85	43	72	39	0
V21	9	39	44	83	36	27
V22	4	104	345	69	30	8
V23	6	81	145	69	48	112
V24	0	258	69	79	0	21
V25	10	197	0	27	0	14
V26	12	24	95	15	24	11
V27	9	179	12	6	100	45
V28	34	36	2	34	31	138
V29	147	0	0	0	0	0
V30	103	0	6	12	8	32
V31	26	0	0	105	21	0
V32	22	15	18	15	60	14
V33	26	30	0	0	25	5
V34	3	3	148	49	67	122
V35	152	36	12	0	0	129
V36	107	309	37	116	0	0
V37	39	17	109	67	46	1
V38	62	6	1	19	11	91
V39	3	57	39	55	77	34
V40	463	85	20	45	18	88
V41	10	35	6	47	0	0
V42	161	2	44	2	217	34
V43	15	391	34	103	3	11
V44	12	20	102	22	19	6
V45	65	243	28	8	5	49
V46	0	0	0	284	0	220
V47	111	0	0	0	14	34
V48	9	61	0	148	0	0
V49	47	37	16	1	54	25
V50	12	10	56	305	163	18
V51	0	0	273	0	0	135
V52	3	2	139	9	54	7
V53	0	33	66	0	199	51
V54	5	23	203	30	1	168
V55	62	0	123	0	16	0
V56	9	45	1	7	6	87
V57	13	55	0	22	43	7
V58	6	4	21	22	5	28
V59	173	1	163	93	73	26
V60	6	0	14	77	19	8
V61	429	0	59	32	0	0
V62	5	70	30	2	238	18
V63	5	3	64	12	1	69
V64	0	0	4	13	5	2
V65	0	0	52	21	89	54
V66	67	0	26	121	25	0
V67	19	123	32	27	49	16
V68	409	255	226	54	18	89
V69	90	137	1	11	27	65
V70	22	63	27	0	0	36
V71	3	15	4	26	3	21
V72	257	1	3	50	1	12
V73	30	0	15	0	0	0
V74	36	14	10	107	18	141
V75	137	136	5	2	13	31
V76	39	169	1	12	123	2
V77	0	16	116	14	0	0
V78	1	11	36	81	29	6
V79	0	7	0	26	8	20
V80	36	10	11	0	0	12
V81	119	21	0	0	19	35
V82	0	75	0	0	53	31
V83	36	12	182	7	2	5
V84	87	201	21	18	35	13
V85	6	11	2	3	7	2
V86	23	115	17	108	582	27
V87	38	11	6	447	14	28
V88	46	0	30	0	51	45
V89	17	37	0	38	37	0
V90	2	15	3	80	2	2
V91	5	38	36	1	19	13
V92	71	3	5	48	275	27
V93	0	0	0	84	0	286
V94	21	35	241	12	90	24
V95	52	18	4	43	1	9
V96	117	35	41	35	15	56
V97	9	0	21	0	122	0
V98	11	39	107	42	22	0
V99	76	1	54	58	240	1
V100	2	24	138	118	9	49
