Samples	ID83A	ID83B	ID83C
V1	4.81E+00	3.70E+00	3.50E+00
V2	2.83E+00	3.22E+00	1.18E+00
V3	2.10E+01	1.80E+01	1.54E+01
V4	7.08E+00	6.77E+00	2.88E+00
V5	1.98E+00	3.67E+00	2.80E+00
V6	8.03E-01	1.18E+00	8.72E-01
V7	1.92E+00	5.12E+00	3.93E+00
V8	3.16E+00	6.16E+00	7.53E+00
V9	1.51E+01	1.55E+01	1.48E+00
V10	5.63E+00	3.35E+01	3.14E+01
V11	1.03E+01	9.93E+00	6.07E+00
V12	3.40E+00	1.00E+01	9.76E+00
V13	1.22E+01	1.22E+01	0.00E+00
V14	6.70E+00	3.83E+01	4.14E+01
V15	1.52E+01	1.51E+01	1.40E+01
V16	2.72E+00	1.92E+00	3.11E+00
V17	3.04E+00	3.14E+00	5.81E-01
V18	1.24E+00	1.92E+01	1.86E+01
V19	2.30E+01	2.26E+01	3.88E+00
V20	3.26E+01	3.18E+01	3.71E+01
V21	4.33E+00	4.09E+00	1.39E+00
V22	7.52E+00	1.37E+01	1.94E+01
V23	5.69E+00	5.96E+00	1.88E+00
V24	2.50E+00	7.34E+00	8.36E+00
V25	6.44E+00	7.30E+00	9.41E+00
V26	7.46E+00	1.05E+01	1.54E+01
V27	1.32E+01	2.57E+01	2.95E+01
V28	2.37E+00	0.00E+00	2.37E+00
V29	1.85E+00	8.10E+00	7.15E+00
V30	1.63E+01	1.61E+01	1.10E+00
V31	4.39E+00	3.99E+00	1.95E+00
V32	1.84E+01	1.88E+01	1.59E+00
V33	1.97E+00	6.04E+00	5.89E+00
V34	1.20E+01	1.20E+01	2.67E+00
V35	2.14E+00	2.86E+00	3.49E+00
V36	2.70E+01	2.35E+01	2.40E+01
V37	1.73E+00	1.18E+00	1.13E+00
V38	1.28E+01	1.32E+01	1.80E+00
V39	4.12E+00	2.94E+01	2.98E+01
V40	5.21E+01	4.94E+01	2.19E+01
V41	3.63E+00	3.45E+00	3.43E+00
V42	1.16E+01	1.32E+01	1.08E+01
V43	8.25E+00	9.44E+00	7.09E+00
V44	2.54E+01	1.60E+01	1.46E+01
V45	1.09E+01	1.11E+01	3.34E+00
V46	3.89E+00	4.27E+00	3.24E+00
V47	2.47E+00	6.65E+00	7.58E+00
V48	1.04E+01	1.19E+01	5.65E+00
V49	3.26E+00	8.00E+00	7.00E+00
V50	1.95E+01	2.07E+01	2.23E+01
V51	1.81E+01	1.76E+01	1.00E+01
V52	6.28E+01	6.17E+01	3.19E+01
V53	4.27E+00	2.14E+00	4.36E+00
V54	2.81E+00	6.46E+00	5.92E+00
V55	2.10E+01	2.00E+01	2.79E+00
V56	4.16E+00	4.60E+00	2.19E+00
V57	8.69E+00	9.25E+00	1.12E+01
V58	1.49E+01	1.51E+01	4.34E+00
V59	2.98E+01	2.79E+01	2.08E+01
V60	2.76E+00	1.16E+00	2.49E+00
V61	2.02E+01	1.97E+01	2.82E+00
V62	1.01E+01	7.95E+00	1.28E+01
V63	2.72E+00	2.63E+01	2.57E+01
V64	7.41E+00	6.19E+00	5.07E+00
V65	1.17E+01	1.13E+01	8.74E+00
V66	6.49E+00	4.85E+00	4.13E+00
V67	5.79E+00	7.03E+00	6.64E+00
V68	3.56E+01	3.63E+01	1.88E+01
V69	9.35E+00	9.18E+00	9.63E+00
V70	2.58E+01	2.62E+01	3.53E+00
V71	3.67E-01	8.33E-01	9.20E-01
V72	1.00E+01	9.97E+00	1.01E+01
V73	8.22E+00	1.31E+01	1.40E+01
V74	4.68E+00	2.90E+00	2.58E+00
V75	1.36E+01	1.00E+01	6.27E+00
V76	3.83E+00	1.11E+00	3.83E+00
V77	1.67E+00	1.13E+01	1.11E+01
V78	1.01E+00	2.78E+00	2.14E+00
V79	4.53E+00	4.85E+00	2.96E+00
V80	9.17E+00	7.16E+00	7.05E+00
V81	4.86E+01	4.95E+01	4.68E+01
V82	1.42E+01	1.81E+01	2.01E+01
V83	3.17E+00	2.38E+00	2.42E+00
V84	9.83E+00	1.10E+01	9.43E+00
V85	2.85E+01	2.84E+01	2.84E+01
V86	2.97E+00	6.70E-01	2.86E+00
V87	5.41E+00	2.04E+01	2.33E+01
V88	1.46E+00	2.32E+00	1.82E+00
V89	2.04E+00	1.44E+01	1.44E+01
V90	3.16E+00	3.18E+00	3.07E+00
V91	1.34E+01	1.27E+01	1.49E+01
V92	4.23E-01	7.48E-01	7.00E-01
V93	3.07E+01	3.07E+01	0.00E+00
V94	4.87E+00	3.93E+00	5.01E+00
V95	2.78E+01	3.06E+01	1.97E+01
V96	1.52E+00	5.46E+00	6.01E+00
V97	6.98E+00	7.36E+00	2.27E+00
V98	6.11E-01	7.15E-01	9.52E-01
V99	1.55E+00	6.89E+00	7.84E+00
V100	4.08E+00	3.82E+00	2.37E+00
