NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	117.657	39.882	37.635	29.066	0.241	0.941	20000.0
2	109.783	36.346	29.128	23.627	0.234	0.956	20000.0
3	108.192	35.635	28.857	23.201	0.225	0.958	50000.0
4	109.365	36.315	28.911	23.447	0.23	0.956	20000.0
5	117.137	40.108	38.038	29.501	0.238	0.941	20000.0
6	110.344	36.153	29.691	23.742	0.225	0.956	20000.0
7	115.609	39.697	38.26	29.772	0.246	0.935	30000.0
8	110.428	36.371	29.435	23.83	0.227	0.953	30000.0
9	120.018	38.945	38.586	28.56	0.238	0.941	30000.0
10	109.26	35.624	29.376	23.22	0.232	0.958	20000.0
